# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.0076688826
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	9.24426065e+48	0.00000000e+00
0.20	3.63723508e+49	0.00000000e+00
0.30	7.96864608e+49	0.00000000e+00
0.40	1.36670351e+50	0.00000000e+00
0.50	2.04317965e+50	0.00000000e+00
0.60	2.79457459e+50	0.00000000e+00
0.70	3.59022530e+50	0.00000000e+00
0.80	4.40241316e+50	0.00000000e+00
0.90	5.20736740e+50	0.00000000e+00
1.00	5.98551480e+50	0.00000000e+00
1.10	6.72121140e+50	0.00000000e+00
1.20	7.40220478e+50	0.00000000e+00
1.30	8.01903117e+50	0.00000000e+00
1.40	8.56448013e+50	0.00000000e+00
1.50	9.03319025e+50	0.00000000e+00
1.60	9.42138578e+50	0.00000000e+00
1.70	9.72673083e+50	0.00000000e+00
1.80	9.94826138e+50	0.00000000e+00
1.90	1.00863564e+51	0.00000000e+00
2.00	1.01427125e+51	0.00000000e+00
2.10	1.01202997e+51	0.00000000e+00
2.20	1.00232859e+51	0.00000000e+00
2.30	9.85692366e+50	0.00000000e+00
2.40	9.62740370e+50	0.00000000e+00
2.50	9.34167836e+50	0.00000000e+00
2.60	9.00726553e+50	0.00000000e+00
2.70	8.63203956e+50	0.00000000e+00
2.80	8.22402055e+50	0.00000000e+00
2.90	7.79116953e+50	0.00000000e+00
3.00	7.34119870e+50	0.00000000e+00
3.10	6.88140249e+50	0.00000000e+00
3.20	6.41851524e+50	0.00000000e+00
3.30	5.95859859e+50	0.00000000e+00
3.40	5.50696139e+50	0.00000000e+00
3.50	5.06811214e+50	0.00000000e+00
3.60	4.64574348e+50	0.00000000e+00
3.70	4.24274676e+50	0.00000000e+00
3.80	3.86125198e+50	0.00000000e+00
3.90	3.50268931e+50	0.00000000e+00
4.00	3.16786502e+50	0.00000000e+00
4.10	2.85704687e+50	0.00000000e+00
