# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 24.1282
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	1.20732952e+44	0.00000000e+00
0.20	4.61323706e+44	0.00000000e+00
0.30	9.53535360e+44	0.00000000e+00
0.40	1.50440232e+45	0.00000000e+00
0.50	2.02527369e+45	0.00000000e+00
0.60	2.45145957e+45	0.00000000e+00
0.70	2.74870444e+45	0.00000000e+00
0.80	2.90964482e+45	0.00000000e+00
0.90	2.94568579e+45	0.00000000e+00
1.00	2.87855354e+45	0.00000000e+00
1.10	2.73364334e+45	0.00000000e+00
1.20	2.53565917e+45	0.00000000e+00
1.30	2.30622260e+45	0.00000000e+00
1.40	2.06288480e+45	0.00000000e+00
1.50	1.81901588e+45	0.00000000e+00
1.60	1.58417462e+45	0.00000000e+00
1.70	1.36469483e+45	0.00000000e+00
1.80	1.16432791e+45	0.00000000e+00
1.90	9.84852446e+44	0.00000000e+00
2.00	8.26607829e+44	0.00000000e+00
2.10	6.88936759e+44	0.00000000e+00
2.20	5.70536906e+44	0.00000000e+00
2.30	4.69730174e+44	0.00000000e+00
2.40	3.84661585e+44	0.00000000e+00
2.50	3.13440350e+44	0.00000000e+00
2.60	2.54235240e+44	0.00000000e+00
2.70	2.05334844e+44	0.00000000e+00
2.80	1.65181665e+44	0.00000000e+00
2.90	1.32387396e+44	0.00000000e+00
3.00	1.05735123e+44	0.00000000e+00
3.10	8.41728992e+43	0.00000000e+00
3.20	6.68020549e+43	0.00000000e+00
3.30	5.28626102e+43	0.00000000e+00
3.40	4.17175549e+43	0.00000000e+00
3.50	3.28371140e+43	0.00000000e+00
3.60	2.57837614e+43	0.00000000e+00
3.70	2.01984203e+43	0.00000000e+00
3.80	1.57880651e+43	0.00000000e+00
3.90	1.23148073e+43	0.00000000e+00
4.00	9.58643244e+42	0.00000000e+00
4.10	7.44830628e+42	0.00000000e+00
4.20	5.77652746e+42	0.00000000e+00
4.30	4.47218878e+42	0.00000000e+00
4.40	3.45660913e+42	0.00000000e+00
4.50	2.66739951e+42	0.00000000e+00
4.60	2.05523923e+42	0.00000000e+00
4.70	1.58124926e+42	0.00000000e+00
4.80	1.21486331e+42	0.00000000e+00
4.90	9.32110978e+41	0.00000000e+00
5.00	7.14239036e+41	0.00000000e+00
5.10	5.46608835e+41	0.00000000e+00
5.20	4.17817841e+41	0.00000000e+00
5.30	3.19002186e+41	0.00000000e+00
5.40	2.43284669e+41	0.00000000e+00
5.50	1.85339227e+41	0.00000000e+00
5.60	1.41048249e+41	0.00000000e+00
5.70	1.07233681e+41	0.00000000e+00
5.80	8.14465193e+40	0.00000000e+00
5.90	6.18024353e+40	0.00000000e+00
6.00	4.68536727e+40	0.00000000e+00
6.10	3.54894532e+40	0.00000000e+00
6.20	2.68586787e+40	0.00000000e+00
6.30	2.03100563e+40	0.00000000e+00
6.40	1.53458070e+40	0.00000000e+00
6.50	1.15859305e+40	0.00000000e+00
6.60	8.74066984e+39	0.00000000e+00
6.70	6.58932168e+39	0.00000000e+00
6.80	4.96395766e+39	0.00000000e+00
6.90	3.73693528e+39	0.00000000e+00
7.00	2.81132892e+39	0.00000000e+00
7.10	2.11360775e+39	0.00000000e+00
7.20	1.58804031e+39	0.00000000e+00
7.30	1.19242339e+39	0.00000000e+00
7.40	8.94825681e+38	0.00000000e+00
7.50	6.71107729e+38	0.00000000e+00
7.60	5.03035343e+38	0.00000000e+00
7.70	3.76845702e+38	0.00000000e+00
