# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.05069
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	8.04673461e+48	0.00000000e+00
0.20	2.98269158e+49	0.00000000e+00
0.30	6.21545268e+49	0.00000000e+00
0.40	1.02259028e+50	0.00000000e+00
0.50	1.47702772e+50	0.00000000e+00
0.60	1.96307814e+50	0.00000000e+00
0.70	2.46106408e+50	0.00000000e+00
0.80	2.95318037e+50	0.00000000e+00
0.90	3.42348818e+50	0.00000000e+00
1.00	3.85806001e+50	0.00000000e+00
1.10	4.24519798e+50	0.00000000e+00
1.20	4.57565546e+50	0.00000000e+00
1.30	4.84280686e+50	0.00000000e+00
1.40	5.04272444e+50	0.00000000e+00
1.50	5.17413718e+50	0.00000000e+00
1.60	5.23826292e+50	0.00000000e+00
1.70	5.23852053e+50	0.00000000e+00
1.80	5.18014470e+50	0.00000000e+00
1.90	5.06973632e+50	0.00000000e+00
2.00	4.91478790e+50	0.00000000e+00
2.10	4.72322322e+50	0.00000000e+00
2.20	4.50298467e+50	0.00000000e+00
2.30	4.26169162e+50	0.00000000e+00
2.40	4.00638229e+50	0.00000000e+00
2.50	3.74334063e+50	0.00000000e+00
2.60	3.47800084e+50	0.00000000e+00
2.70	3.21491769e+50	0.00000000e+00
2.80	2.95778720e+50	0.00000000e+00
2.90	2.70950281e+50	0.00000000e+00
3.00	2.47223413e+50	0.00000000e+00
3.10	2.24751669e+50	0.00000000e+00
3.20	2.03634512e+50	0.00000000e+00
3.30	1.83926343e+50	0.00000000e+00
3.40	1.65644900e+50	0.00000000e+00
3.50	1.48778804e+50	0.00000000e+00
3.60	1.33294172e+50	0.00000000e+00
3.70	1.19140282e+50	0.00000000e+00
3.80	1.06254346e+50	0.00000000e+00
3.90	9.45654426e+49	0.00000000e+00
4.00	8.39977233e+49	0.00000000e+00
4.10	7.44729792e+49	0.00000000e+00
4.20	6.59126438e+49	0.00000000e+00
4.30	5.82393401e+49	0.00000000e+00
4.40	5.13780384e+49	0.00000000e+00
4.50	4.52568877e+49	0.00000000e+00
4.60	3.98077933e+49	0.00000000e+00
4.70	3.49667793e+49	0.00000000e+00
4.80	3.06741889e+49	0.00000000e+00
4.90	2.68747507e+49	0.00000000e+00
5.00	2.35175473e+49	0.00000000e+00
5.10	2.05559085e+49	0.00000000e+00
5.20	1.79472491e+49	0.00000000e+00
5.30	1.56528691e+49	0.00000000e+00
5.40	1.36377285e+49	0.00000000e+00
5.50	1.18702076e+49	0.00000000e+00
5.60	1.03218614e+49	0.00000000e+00
5.70	8.96717327e+48	0.00000000e+00
5.80	7.78331379e+48	0.00000000e+00
5.90	6.74990819e+48	0.00000000e+00
6.00	5.84881353e+48	0.00000000e+00
6.10	5.06390889e+48	0.00000000e+00
6.20	4.38089911e+48	0.00000000e+00
6.30	3.78713158e+48	0.00000000e+00
6.40	3.27142782e+48	0.00000000e+00
6.50	2.82392828e+48	0.00000000e+00
6.60	2.43595065e+48	0.00000000e+00
6.70	2.09986095e+48	0.00000000e+00
6.80	1.80895670e+48	0.00000000e+00
6.90	1.55736129e+48	0.00000000e+00
7.00	1.33992908e+48	0.00000000e+00
7.10	1.15216006e+48	0.00000000e+00
7.20	9.90123639e+47	0.00000000e+00
7.30	8.50390525e+47	0.00000000e+00
7.40	7.29972091e+47	0.00000000e+00
7.50	6.26266530e+47	0.00000000e+00
7.60	5.37011089e+47	0.00000000e+00
7.70	4.60239810e+47	0.00000000e+00
7.80	3.94246227e+47	0.00000000e+00
7.90	3.37550460e+47	0.00000000e+00
8.00	2.88870251e+47	0.00000000e+00
8.10	2.47095508e+47	0.00000000e+00
8.20	2.11266005e+47	0.00000000e+00
8.30	1.80551769e+47	0.00000000e+00
8.40	1.54235981e+47	0.00000000e+00
8.50	1.31700010e+47	0.00000000e+00
8.60	1.12410334e+47	0.00000000e+00
8.70	9.59071594e+46	0.00000000e+00
8.80	8.17944954e+46	0.00000000e+00
8.90	6.97315241e+46	0.00000000e+00
9.00	5.94251015e+46	0.00000000e+00
9.10	5.06232382e+46	0.00000000e+00
9.20	4.31094576e+46	0.00000000e+00
