# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.4008
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	9.99389733e+47	0.00000000e+00
0.20	3.56882886e+48	0.00000000e+00
0.30	7.12924440e+48	0.00000000e+00
0.40	1.11997685e+49	0.00000000e+00
0.50	1.53994019e+49	0.00000000e+00
0.60	1.94385157e+49	0.00000000e+00
0.70	2.31063125e+49	0.00000000e+00
0.80	2.62580461e+49	0.00000000e+00
0.90	2.88038433e+49	0.00000000e+00
1.00	3.06995359e+49	0.00000000e+00
1.10	3.19390506e+49	0.00000000e+00
1.20	3.25476022e+49	0.00000000e+00
1.30	3.25750570e+49	0.00000000e+00
1.40	3.20891976e+49	0.00000000e+00
1.50	3.11690116e+49	0.00000000e+00
1.60	2.98983820e+49	0.00000000e+00
1.70	2.83606170e+49	0.00000000e+00
1.80	2.66341465e+49	0.00000000e+00
1.90	2.47895253e+49	0.00000000e+00
2.00	2.28876926e+49	0.00000000e+00
2.10	2.09792991e+49	0.00000000e+00
2.20	1.91048533e+49	0.00000000e+00
2.30	1.72954281e+49	0.00000000e+00
2.40	1.55736957e+49	0.00000000e+00
2.50	1.39551181e+49	0.00000000e+00
2.60	1.24491577e+49	0.00000000e+00
2.70	1.10604296e+49	0.00000000e+00
2.80	9.78974285e+48	0.00000000e+00
2.90	8.63501089e+48	0.00000000e+00
3.00	7.59202244e+48	0.00000000e+00
3.10	6.65508056e+48	0.00000000e+00
3.20	5.81752078e+48	0.00000000e+00
3.30	5.07212156e+48	0.00000000e+00
3.40	4.41142304e+48	0.00000000e+00
3.50	3.82796892e+48	0.00000000e+00
3.60	3.31448446e+48	0.00000000e+00
3.70	2.86400259e+48	0.00000000e+00
3.80	2.46994896e+48	0.00000000e+00
3.90	2.12619433e+48	0.00000000e+00
4.00	1.82708176e+48	0.00000000e+00
4.10	1.56743502e+48	0.00000000e+00
4.20	1.34255254e+48	0.00000000e+00
4.30	1.14819158e+48	0.00000000e+00
4.40	9.80545242e+47	0.00000000e+00
4.50	8.36215060e+47	0.00000000e+00
4.60	7.12181100e+47	0.00000000e+00
4.70	6.05770911e+47	0.00000000e+00
4.80	5.14628455e+47	0.00000000e+00
4.90	4.36683853e+47	0.00000000e+00
5.00	3.70124423e+47	0.00000000e+00
5.10	3.13367386e+47	0.00000000e+00
5.20	2.65034511e+47	0.00000000e+00
5.30	2.23928735e+47	0.00000000e+00
5.40	1.89012833e+47	0.00000000e+00
5.50	1.59390089e+47	0.00000000e+00
5.60	1.34286895e+47	0.00000000e+00
5.70	1.13037172e+47	0.00000000e+00
5.80	9.50685059e+46	0.00000000e+00
5.90	7.98898428e+46	0.00000000e+00
6.00	6.70806413e+46	0.00000000e+00
6.10	5.62813216e+46	0.00000000e+00
6.20	4.71848985e+46	0.00000000e+00
6.30	3.95296667e+46	0.00000000e+00
6.40	3.30928364e+46	0.00000000e+00
6.50	2.76849954e+46	0.00000000e+00
6.60	2.31453132e+46	0.00000000e+00
6.70	1.93373958e+46	0.00000000e+00
6.80	1.61457067e+46	0.00000000e+00
6.90	1.34724872e+46	0.00000000e+00
7.00	1.12351108e+46	0.00000000e+00
7.10	9.36381269e+45	0.00000000e+00
7.20	7.79974680e+45	0.00000000e+00
7.30	6.49332461e+45	0.00000000e+00
7.40	5.40279758e+45	0.00000000e+00
7.50	4.49304914e+45	0.00000000e+00
7.60	3.73456677e+45	0.00000000e+00
7.70	3.10256853e+45	0.00000000e+00
7.80	2.57626132e+45	0.00000000e+00
7.90	2.13821283e+45	0.00000000e+00
8.00	1.77381922e+45	0.00000000e+00
8.10	1.47085532e+45	0.00000000e+00
8.20	1.21909432e+45	0.00000000e+00
8.30	1.00998717e+45	0.00000000e+00
8.40	8.36392037e+44	0.00000000e+00
8.50	6.92346577e+44	0.00000000e+00
8.60	5.72876287e+44	0.00000000e+00
8.70	4.73833383e+44	0.00000000e+00
8.80	3.91761483e+44	0.00000000e+00
8.90	3.23782014e+44	0.00000000e+00
9.00	2.67498981e+44	0.00000000e+00
9.10	2.20919160e+44	0.00000000e+00
9.20	1.82385277e+44	0.00000000e+00
9.30	1.50520109e+44	0.00000000e+00
9.40	1.24179735e+44	0.00000000e+00
9.50	1.02414492e+44	0.00000000e+00
9.60	8.44363600e+43	0.00000000e+00
9.70	6.95917623e+43	0.00000000e+00
9.80	5.73388756e+43	0.00000000e+00
9.90	4.72287220e+43	0.00000000e+00
10.00	3.88894237e+43	0.00000000e+00
10.10	3.20130928e+43	0.00000000e+00
10.20	2.63449295e+43	0.00000000e+00
10.30	2.16741519e+43	0.00000000e+00
10.40	1.78264630e+43	0.00000000e+00
10.50	1.46577905e+43	0.00000000e+00
10.60	1.20490914e+43	0.00000000e+00
10.70	9.90204016e+42	0.00000000e+00
10.80	8.13545331e+42	0.00000000e+00
10.90	6.68232426e+42	0.00000000e+00
11.00	5.48736730e+42	0.00000000e+00
11.10	4.50498281e+42	0.00000000e+00
11.20	3.69757289e+42	0.00000000e+00
11.30	3.03414738e+42	0.00000000e+00
11.40	2.48917093e+42	0.00000000e+00
11.50	2.04160922e+42	0.00000000e+00
11.60	1.67414110e+42	0.00000000e+00
11.70	1.37250741e+42	0.00000000e+00
11.80	1.12497315e+42	0.00000000e+00
11.90	9.21883413e+41	0.00000000e+00
12.00	7.55297016e+41	0.00000000e+00
12.10	6.18684107e+41	0.00000000e+00
12.20	5.06676823e+41	0.00000000e+00
12.30	4.14863705e+41	0.00000000e+00
12.40	3.39620233e+41	0.00000000e+00
12.50	2.77969245e+41	0.00000000e+00
12.60	2.27465927e+41	0.00000000e+00
12.70	1.86103126e+41	0.00000000e+00
12.80	1.52233407e+41	0.00000000e+00
12.90	1.24504918e+41	0.00000000e+00
13.00	1.01808604e+41	0.00000000e+00
13.10	8.32348300e+40	0.00000000e+00
13.20	6.80376828e+40	0.00000000e+00
13.30	5.56056430e+40	0.00000000e+00
13.40	4.54374826e+40	0.00000000e+00
13.50	3.71224650e+40	0.00000000e+00
13.60	3.03240740e+40	0.00000000e+00
13.70	2.47666654e+40	0.00000000e+00
13.80	2.02245001e+40	0.00000000e+00
13.90	1.65127467e+40	0.00000000e+00
14.00	1.34800993e+40	0.00000000e+00
14.10	1.10027202e+40	0.00000000e+00
14.20	8.97927317e+39	0.00000000e+00
14.30	7.32685111e+39	0.00000000e+00
14.40	5.97763658e+39	0.00000000e+00
14.50	4.87616617e+39	0.00000000e+00
14.60	3.97708793e+39	0.00000000e+00
14.70	3.24332484e+39	0.00000000e+00
14.80	2.64457015e+39	0.00000000e+00
14.90	2.15605554e+39	0.00000000e+00
15.00	1.75754230e+39	0.00000000e+00
15.10	1.43249602e+39	0.00000000e+00
15.20	1.16741054e+39	0.00000000e+00
15.30	9.51255329e+38	0.00000000e+00
15.40	7.75023080e+38	0.00000000e+00
15.50	6.31359819e+38	0.00000000e+00
15.60	5.14262345e+38	0.00000000e+00
15.70	4.18830869e+38	0.00000000e+00
15.80	3.41066853e+38	0.00000000e+00
15.90	2.77707666e+38	0.00000000e+00
16.00	2.26091598e+38	0.00000000e+00
16.10	1.84047455e+38	0.00000000e+00
16.20	1.49804440e+38	0.00000000e+00
16.30	1.21918514e+38	0.00000000e+00
16.40	9.92122619e+37	0.00000000e+00
16.50	8.07257998e+37	0.00000000e+00
16.60	6.56766926e+37	0.00000000e+00
16.70	5.34272324e+37	0.00000000e+00
16.80	4.34577401e+37	0.00000000e+00
16.90	3.53447749e+37	0.00000000e+00
17.00	2.87433563e+37	0.00000000e+00
17.10	2.33724613e+37	0.00000000e+00
17.20	1.90031966e+37	0.00000000e+00
17.30	1.54491520e+37	0.00000000e+00
17.40	1.25585332e+37	0.00000000e+00
17.50	1.02077487e+37	0.00000000e+00
17.60	8.29618263e+36	0.00000000e+00
17.70	6.74193274e+36	0.00000000e+00
17.80	5.47833748e+36	0.00000000e+00
17.90	4.45114631e+36	0.00000000e+00
18.00	3.61621424e+36	0.00000000e+00
18.10	2.93762314e+36	0.00000000e+00
18.20	2.38615201e+36	0.00000000e+00
18.30	1.93803080e+36	0.00000000e+00
18.40	1.57392567e+36	0.00000000e+00
18.50	1.27811274e+36	0.00000000e+00
18.60	1.03780541e+36	0.00000000e+00
18.70	8.42606751e+35	0.00000000e+00
18.80	6.84063770e+35	0.00000000e+00
18.90	5.55304623e+35	0.00000000e+00
19.00	4.50743462e+35	0.00000000e+00
19.10	3.65840192e+35	0.00000000e+00
19.20	2.96905068e+35	0.00000000e+00
19.30	2.40939720e+35	0.00000000e+00
19.40	1.95507827e+35	0.00000000e+00
19.50	1.58629967e+35	0.00000000e+00
19.60	1.28698062e+35	0.00000000e+00
19.70	1.04405848e+35	0.00000000e+00
19.80	8.46923199e+34	0.00000000e+00
19.90	6.86957681e+34	0.00000000e+00


#	f17-->o17	tau_cc (hr) = 4.00800000e-01
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
