# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.19384
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	1.89315411e+48	0.00000000e+00
0.20	6.75670510e+48	0.00000000e+00
0.30	1.35326940e+49	0.00000000e+00
0.40	2.13763294e+49	0.00000000e+00
0.50	2.96309780e+49	0.00000000e+00
0.60	3.77954101e+49	0.00000000e+00
0.70	4.54916565e+49	0.00000000e+00
0.80	5.24383401e+49	0.00000000e+00
0.90	5.84313939e+49	0.00000000e+00
1.00	6.33318022e+49	0.00000000e+00
1.10	6.70584794e+49	0.00000000e+00
1.20	6.95837870e+49	0.00000000e+00
1.30	7.09293254e+49	0.00000000e+00
1.40	7.11603666e+49	0.00000000e+00
1.50	7.03782697e+49	0.00000000e+00
1.60	6.87111261e+49	0.00000000e+00
1.70	6.63034965e+49	0.00000000e+00
1.80	6.33063450e+49	0.00000000e+00
1.90	5.98681637e+49	0.00000000e+00
2.00	5.61279539e+49	0.00000000e+00
2.10	5.22103450e+49	0.00000000e+00
2.20	4.82227795e+49	0.00000000e+00
2.30	4.42544704e+49	0.00000000e+00
2.40	4.03767182e+49	0.00000000e+00
2.50	3.66441587e+49	0.00000000e+00
2.60	3.30965729e+49	0.00000000e+00
2.70	2.97609541e+49	0.00000000e+00
2.80	2.66536210e+49	0.00000000e+00
2.90	2.37822253e+49	0.00000000e+00
3.00	2.11475815e+49	0.00000000e+00
3.10	1.87452679e+49	0.00000000e+00
3.20	1.65669924e+49	0.00000000e+00
3.30	1.46017305e+49	0.00000000e+00
3.40	1.28366528e+49	0.00000000e+00
3.50	1.12578671e+49	0.00000000e+00
3.60	9.85099861e+48	0.00000000e+00
3.70	8.60163541e+48	0.00000000e+00
3.80	7.49565981e+48	0.00000000e+00
3.90	6.51948837e+48	0.00000000e+00
4.00	5.66023665e+48	0.00000000e+00
4.10	4.90582549e+48	0.00000000e+00
4.20	4.24504047e+48	0.00000000e+00
4.30	3.66755621e+48	0.00000000e+00
4.40	3.16393381e+48	0.00000000e+00
4.50	2.72559852e+48	0.00000000e+00
4.60	2.34480360e+48	0.00000000e+00
4.70	2.01458481e+48	0.00000000e+00
4.80	1.72870914e+48	0.00000000e+00
4.90	1.48162022e+48	0.00000000e+00
5.00	1.26838309e+48	0.00000000e+00
5.10	1.08462933e+48	0.00000000e+00
5.20	9.26503927e+47	0.00000000e+00
5.30	7.90614648e+47	0.00000000e+00
5.40	6.73984398e+47	0.00000000e+00
5.50	5.74006875e+47	0.00000000e+00
5.60	4.88405670e+47	0.00000000e+00
5.70	4.15196794e+47	0.00000000e+00
5.80	3.52654690e+47	0.00000000e+00
5.90	2.99281423e+47	0.00000000e+00
6.00	2.53779033e+47	0.00000000e+00
6.10	2.15024789e+47	0.00000000e+00
6.20	1.82049100e+47	0.00000000e+00
6.30	1.54015955e+47	0.00000000e+00
6.40	1.30205562e+47	0.00000000e+00
6.50	1.09999089e+47	0.00000000e+00
6.60	9.28652116e+46	0.00000000e+00
6.70	7.83483307e+46	0.00000000e+00
6.80	6.60582608e+46	0.00000000e+00
6.90	5.56612377e+46	0.00000000e+00
7.00	4.68720823e+46	0.00000000e+00
7.10	3.94473959e+46	0.00000000e+00
7.20	3.31796579e+46	0.00000000e+00
