# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.49701702
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	1.06980616e+48	0.00000000e+00
0.20	3.96686642e+48	0.00000000e+00
0.30	8.20219328e+48	0.00000000e+00
0.40	1.32961811e+49	0.00000000e+00
0.50	1.88094552e+49	0.00000000e+00
0.60	2.43597607e+49	0.00000000e+00
0.70	2.96297127e+49	0.00000000e+00
0.80	3.43692895e+49	0.00000000e+00
0.90	3.83954367e+49	0.00000000e+00
1.00	4.15897244e+49	0.00000000e+00
1.10	4.38940723e+49	0.00000000e+00
1.20	4.53043043e+49	0.00000000e+00
1.30	4.58615385e+49	0.00000000e+00
1.40	4.56419150e+49	0.00000000e+00
1.50	4.47455865e+49	0.00000000e+00
1.60	4.32860433e+49	0.00000000e+00
1.70	4.13807192e+49	0.00000000e+00
1.80	3.91434901e+49	0.00000000e+00
1.90	3.66792957e+49	0.00000000e+00
2.00	3.40807915e+49	0.00000000e+00
2.10	3.14267293e+49	0.00000000e+00
2.20	2.87816657e+49	0.00000000e+00
2.30	2.61966033e+49	0.00000000e+00
2.40	2.37102114e+49	0.00000000e+00
2.50	2.13503525e+49	0.00000000e+00
2.60	1.91357109e+49	0.00000000e+00
2.70	1.70773904e+49	0.00000000e+00
2.80	1.51803970e+49	0.00000000e+00
2.90	1.34449613e+49	0.00000000e+00
3.00	1.18676864e+49	0.00000000e+00
3.10	1.04425154e+49	0.00000000e+00
3.20	9.16153478e+48	0.00000000e+00
3.30	8.01562451e+48	0.00000000e+00
3.40	6.99497655e+48	0.00000000e+00
3.50	6.08949848e+48	0.00000000e+00
3.60	5.28912112e+48	0.00000000e+00
3.70	4.58402670e+48	0.00000000e+00
3.80	3.96481145e+48	0.00000000e+00
3.90	3.42259596e+48	0.00000000e+00
4.00	2.94909389e+48	0.00000000e+00
4.10	2.53664868e+48	0.00000000e+00
4.20	2.17824506e+48	0.00000000e+00
4.30	1.86750225e+48	0.00000000e+00
4.40	1.59865384e+48	0.00000000e+00
4.50	1.36651827e+48	0.00000000e+00
4.60	1.16646311e+48	0.00000000e+00
4.70	9.94365981e+47	0.00000000e+00
4.80	8.46573586e+47	0.00000000e+00
4.90	7.19860683e+47	0.00000000e+00
5.00	6.11389845e+47	0.00000000e+00
5.10	5.18672911e+47	0.00000000e+00
5.20	4.39534421e+47	0.00000000e+00
5.30	3.72077645e+47	0.00000000e+00
5.40	3.14653142e+47	0.00000000e+00
5.50	2.65829957e+47	0.00000000e+00
5.60	2.24369524e+47	0.00000000e+00
5.70	1.89202066e+47	0.00000000e+00
5.80	1.59405475e+47	0.00000000e+00
5.90	1.34186415e+47	0.00000000e+00
6.00	1.12863583e+47	0.00000000e+00
6.10	9.48528772e+46	0.00000000e+00
6.20	7.96543455e+46	0.00000000e+00
6.30	6.68407179e+46	0.00000000e+00
6.40	5.60473825e+46	0.00000000e+00
6.50	4.69636275e+46	0.00000000e+00
6.60	3.93250292e+46	0.00000000e+00
6.70	3.29068461e+46	0.00000000e+00
6.80	2.75182967e+46	0.00000000e+00
6.90	2.29976182e+46	0.00000000e+00
7.00	1.92078083e+46	0.00000000e+00
7.10	1.60329601e+46	0.00000000e+00
7.20	1.33751162e+46	0.00000000e+00
7.30	1.11515722e+46	0.00000000e+00
7.40	9.29256890e+45	0.00000000e+00
7.50	7.73932065e+45	0.00000000e+00
7.60	6.44233398e+45	0.00000000e+00
7.70	5.35997448e+45	0.00000000e+00
7.80	4.45724842e+45	0.00000000e+00
7.90	3.70476726e+45	0.00000000e+00
8.00	3.07786892e+45	0.00000000e+00
8.10	2.55587358e+45	0.00000000e+00
8.20	2.12145318e+45	0.00000000e+00
8.30	1.76009855e+45	0.00000000e+00
8.40	1.45966910e+45	0.00000000e+00
8.50	1.21001301e+45	0.00000000e+00
8.60	1.00264692e+45	0.00000000e+00
8.70	8.30486082e+44	0.00000000e+00
8.80	6.87617529e+44	0.00000000e+00
8.90	5.69109081e+44	0.00000000e+00
9.00	4.70849077e+44	0.00000000e+00
9.10	3.89411764e+44	0.00000000e+00
9.20	3.21944457e+44	0.00000000e+00
9.30	2.66072921e+44	0.00000000e+00
9.40	2.19822146e+44	0.00000000e+00
9.50	1.81550032e+44	0.00000000e+00
9.60	1.49891964e+44	0.00000000e+00
9.70	1.23714444e+44	0.00000000e+00
9.80	1.02076396e+44	0.00000000e+00
9.90	8.41968518e+43	0.00000000e+00
10.00	6.94279973e+43	0.00000000e+00
10.10	5.72327050e+43	0.00000000e+00
10.20	4.71658058e+43	0.00000000e+00
10.30	3.88585010e+43	0.00000000e+00
10.40	3.20053792e+43	0.00000000e+00
10.50	2.63536261e+43	0.00000000e+00
10.60	2.16940420e+43	0.00000000e+00
10.70	1.78535858e+43	0.00000000e+00
10.80	1.46891759e+43	0.00000000e+00
10.90	1.20825461e+43	0.00000000e+00
11.00	9.93597660e+42	0.00000000e+00
11.10	8.16875125e+42	0.00000000e+00
11.20	6.71422205e+42	0.00000000e+00
11.30	5.51737492e+42	0.00000000e+00
11.40	4.53281370e+42	0.00000000e+00
11.50	3.72309042e+42	0.00000000e+00
11.60	3.05732313e+42	0.00000000e+00
11.70	2.51005257e+42	0.00000000e+00
11.80	2.06029609e+42	0.00000000e+00
11.90	1.69076559e+42	0.00000000e+00
12.00	1.38722099e+42	0.00000000e+00
12.10	1.13793617e+42	0.00000000e+00
12.20	9.33257807e+41	0.00000000e+00
12.30	7.65241075e+41	0.00000000e+00
12.40	6.27349057e+41	0.00000000e+00
12.50	5.14204548e+41	0.00000000e+00
12.60	4.21385531e+41	0.00000000e+00
12.70	3.45256354e+41	0.00000000e+00
12.80	2.82828624e+41	0.00000000e+00
12.90	2.31646600e+41	0.00000000e+00
13.00	1.89692690e+41	0.00000000e+00
13.10	1.55309693e+41	0.00000000e+00
13.20	1.27136718e+41	0.00000000e+00
13.30	1.04056458e+41	0.00000000e+00
13.40	8.51517948e+40	0.00000000e+00
13.50	6.96700938e+40	0.00000000e+00
13.60	5.69938338e+40	0.00000000e+00
13.70	4.66164590e+40	0.00000000e+00
13.80	3.81225247e+40	0.00000000e+00
13.90	3.11713768e+40	0.00000000e+00
14.00	2.54837454e+40	0.00000000e+00
14.10	2.08307274e+40	0.00000000e+00
14.20	1.70247386e+40	0.00000000e+00
14.30	1.39120855e+40	0.00000000e+00
14.40	1.13668647e+40	0.00000000e+00
14.50	9.28595733e+39	0.00000000e+00
14.60	7.58492170e+39	0.00000000e+00
14.70	6.19462155e+39	0.00000000e+00
14.80	5.05846276e+39	0.00000000e+00
14.90	4.13012545e+39	0.00000000e+00
15.00	3.37170555e+39	0.00000000e+00
15.10	2.75219075e+39	0.00000000e+00
15.20	2.24621168e+39	0.00000000e+00
15.30	1.83301848e+39	0.00000000e+00
15.40	1.49564238e+39	0.00000000e+00
15.50	1.22020882e+39	0.00000000e+00
15.60	9.95375044e+38	0.00000000e+00
15.70	8.11869485e+38	0.00000000e+00
15.80	6.62114741e+38	0.00000000e+00
15.90	5.39918918e+38	0.00000000e+00
16.00	4.40222996e+38	0.00000000e+00
16.10	3.58894221e+38	0.00000000e+00
16.20	2.92556919e+38	0.00000000e+00
16.30	2.38454269e+38	0.00000000e+00
16.40	1.94335096e+38	0.00000000e+00
16.50	1.58361426e+38	0.00000000e+00
16.60	1.29032818e+38	0.00000000e+00
16.70	1.05124547e+38	0.00000000e+00
16.80	8.56370833e+37	0.00000000e+00
16.90	6.97547703e+37	0.00000000e+00
17.00	5.68120976e+37	0.00000000e+00
17.10	4.62661272e+37	0.00000000e+00
17.20	3.76739726e+37	0.00000000e+00
17.30	3.06744048e+37	0.00000000e+00
17.40	2.49728354e+37	0.00000000e+00
17.50	2.03290481e+37	0.00000000e+00
17.60	1.65471881e+37	0.00000000e+00
17.70	1.34675882e+37	0.00000000e+00
17.80	1.09600970e+37	0.00000000e+00
17.90	8.91863480e+36	0.00000000e+00
18.00	7.25675128e+36	0.00000000e+00
18.10	5.90400114e+36	0.00000000e+00
18.20	4.80298694e+36	0.00000000e+00
18.30	3.90694777e+36	0.00000000e+00
18.40	3.17779188e+36	0.00000000e+00
18.50	2.58449317e+36	0.00000000e+00
18.60	2.10178280e+36	0.00000000e+00
18.70	1.70908311e+36	0.00000000e+00
18.80	1.38963855e+36	0.00000000e+00
18.90	1.12980698e+36	0.00000000e+00
19.00	9.18482242e+35	0.00000000e+00
19.10	7.46623727e+35	0.00000000e+00
19.20	6.06872826e+35	0.00000000e+00
19.30	4.93240648e+35	0.00000000e+00
19.40	4.00853482e+35	0.00000000e+00
19.50	3.25745519e+35	0.00000000e+00
19.60	2.64690042e+35	0.00000000e+00
19.70	2.15061890e+35	0.00000000e+00
19.80	1.74725530e+35	0.00000000e+00
19.90	1.41943882e+35	0.00000000e+00


#	f17-->o17	tau_cc (hr) = 4.97017020e-01
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	0.00000000e+00	1.95296450e+41
0.20	0.00000000e+00	7.04012219e+41
0.30	0.00000000e+00	1.41905569e+42
0.40	0.00000000e+00	2.24488315e+42
0.50	0.00000000e+00	3.09748443e+42
0.60	0.00000000e+00	3.90436743e+42
0.70	0.00000000e+00	4.60454048e+42
0.80	0.00000000e+00	5.14848710e+42
0.90	0.00000000e+00	5.49811707e+42
1.00	0.00000000e+00	5.62664813e+42
1.10	0.00000000e+00	5.51831167e+42
1.20	0.00000000e+00	5.16760924e+42
1.30	0.00000000e+00	4.57748708e+42
1.40	0.00000000e+00	3.75342641e+42
1.50	0.00000000e+00	2.68577865e+42
1.60	0.00000000e+00	1.17901456e+42
1.70	0.00000000e+00	1.66874152e+40
1.80	0.00000000e+00	2.65983841e+39
1.90	0.00000000e+00	0.00000000e+00
2.00	0.00000000e+00	0.00000000e+00
2.10	0.00000000e+00	0.00000000e+00
2.20	0.00000000e+00	0.00000000e+00
2.30	1.74462603e+32	0.00000000e+00
2.40	7.99750536e+28	0.00000000e+00
2.50	4.29673085e+34	0.00000000e+00
2.60	5.54534299e+30	0.00000000e+00
2.70	2.48773199e+40	0.00000000e+00
2.80	4.40997102e+40	0.00000000e+00
2.90	1.19379968e+41	0.00000000e+00
3.00	1.81511851e+41	0.00000000e+00
3.10	2.32302878e+41	0.00000000e+00
3.20	2.70415637e+41	0.00000000e+00
3.30	2.94354521e+41	0.00000000e+00
3.40	3.04160256e+41	0.00000000e+00
3.50	3.01394397e+41	0.00000000e+00
3.60	2.88612334e+41	0.00000000e+00
3.70	2.68730780e+41	0.00000000e+00
3.80	2.44520718e+41	0.00000000e+00
3.90	2.18308902e+41	0.00000000e+00
4.00	1.91868322e+41	0.00000000e+00
4.10	1.66435300e+41	0.00000000e+00
4.20	1.42791052e+41	0.00000000e+00
4.30	1.21363482e+41	0.00000000e+00
4.40	1.02324285e+41	0.00000000e+00
4.50	8.56704830e+40	0.00000000e+00
4.60	7.12877613e+40	0.00000000e+00
4.70	5.89971066e+40	0.00000000e+00
4.80	4.85876360e+40	0.00000000e+00
4.90	3.98387708e+40	0.00000000e+00
5.00	3.25345233e+40	0.00000000e+00
5.10	2.64721329e+40	0.00000000e+00
5.20	2.14667673e+40	0.00000000e+00
5.30	1.73535555e+40	0.00000000e+00
5.40	1.39878845e+40	0.00000000e+00
5.50	1.12446028e+40	0.00000000e+00
5.60	9.01659463e+39	0.00000000e+00
5.70	7.21302776e+39	0.00000000e+00
5.80	5.75749124e+39	0.00000000e+00
5.90	4.58614958e+39	0.00000000e+00
6.00	3.64599806e+39	0.00000000e+00
6.10	2.89326386e+39	0.00000000e+00
6.20	2.29197423e+39	0.00000000e+00
6.30	1.81269709e+39	0.00000000e+00
6.40	1.43144854e+39	0.00000000e+00
6.50	1.12875627e+39	0.00000000e+00
6.60	8.88864530e+38	0.00000000e+00
6.70	6.99064499e+38	0.00000000e+00
6.80	5.49134931e+38	0.00000000e+00
6.90	4.30877345e+38	0.00000000e+00
7.00	3.37732284e+38	0.00000000e+00
7.10	2.64463944e+38	0.00000000e+00
7.20	2.06902266e+38	0.00000000e+00
7.30	1.61732828e+38	0.00000000e+00
7.40	1.26326392e+38	0.00000000e+00
7.50	9.86010217e+37	0.00000000e+00
7.60	7.69109772e+37	0.00000000e+00
7.70	5.99574069e+37	0.00000000e+00
7.80	4.67167795e+37	0.00000000e+00
7.90	3.63836643e+37	0.00000000e+00
8.00	2.83251028e+37	0.00000000e+00
8.10	2.20442959e+37	0.00000000e+00
8.20	1.71517730e+37	0.00000000e+00
8.30	1.33425381e+37	0.00000000e+00
8.40	1.03779940e+37	0.00000000e+00
8.50	8.07166362e+36	0.00000000e+00
8.60	6.27793540e+36	0.00000000e+00
8.70	4.88320028e+36	0.00000000e+00
8.80	3.79888512e+36	0.00000000e+00
8.90	2.95598336e+36	0.00000000e+00
9.00	2.30076606e+36	0.00000000e+00
9.10	1.79142314e+36	0.00000000e+00
9.20	1.39543537e+36	0.00000000e+00
9.30	1.08752101e+36	0.00000000e+00
9.40	8.48032160e+35	0.00000000e+00
9.50	6.61703978e+35	0.00000000e+00
9.60	5.16679809e+35	0.00000000e+00
9.70	4.03751794e+35	0.00000000e+00
9.80	3.15769926e+35	0.00000000e+00
9.90	2.47182368e+35	0.00000000e+00
10.00	1.93678103e+35	0.00000000e+00
10.10	1.51909302e+35	0.00000000e+00
10.20	1.19275691e+35	0.00000000e+00
10.30	9.37571443e+34	0.00000000e+00
10.40	7.37837703e+34	0.00000000e+00
10.50	5.81350982e+34	0.00000000e+00
10.60	4.58618819e+34	0.00000000e+00
10.70	3.62254364e+34	0.00000000e+00
10.80	2.86505907e+34	0.00000000e+00
10.90	2.26891958e+34	0.00000000e+00
11.00	1.79918144e+34	0.00000000e+00
11.10	1.42857593e+34	0.00000000e+00
11.20	1.13580507e+34	0.00000000e+00
11.30	9.04218706e+33	0.00000000e+00
11.40	7.20787186e+33	0.00000000e+00
11.50	5.75303342e+33	0.00000000e+00
11.60	4.59762182e+33	0.00000000e+00
11.70	3.67878447e+33	0.00000000e+00
