# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.11442952
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	3.47589567e+48	0.00000000e+00
0.20	1.26306820e+49	0.00000000e+00
0.30	2.57929943e+49	0.00000000e+00
0.40	4.15858632e+49	0.00000000e+00
0.50	5.88815380e+49	0.00000000e+00
0.60	7.67513222e+49	0.00000000e+00
0.70	9.44219515e+49	0.00000000e+00
0.80	1.11244334e+50	0.00000000e+00
0.90	1.26675859e+50	0.00000000e+00
1.00	1.40274146e+50	0.00000000e+00
1.10	1.51698250e+50	0.00000000e+00
1.20	1.60712765e+50	0.00000000e+00
1.30	1.67190668e+50	0.00000000e+00
1.40	1.71111951e+50	0.00000000e+00
1.50	1.72556411e+50	0.00000000e+00
1.60	1.71690509e+50	0.00000000e+00
1.70	1.68749418e+50	0.00000000e+00
1.80	1.64016234e+50	0.00000000e+00
1.90	1.57800639e+50	0.00000000e+00
2.00	1.50419106e+50	0.00000000e+00
2.10	1.42178257e+50	0.00000000e+00
2.20	1.33362213e+50	0.00000000e+00
2.30	1.24224147e+50	0.00000000e+00
2.40	1.14981685e+50	0.00000000e+00
2.50	1.05815509e+50	0.00000000e+00
2.60	9.68703664e+49	0.00000000e+00
2.70	8.82577027e+49	0.00000000e+00
2.80	8.00592695e+49	0.00000000e+00
2.90	7.23311678e+49	0.00000000e+00
3.00	6.51079479e+49	0.00000000e+00
3.10	5.84065215e+49	0.00000000e+00
3.20	5.22297250e+49	0.00000000e+00
3.30	4.65694710e+49	0.00000000e+00
3.40	4.14094532e+49	0.00000000e+00
3.50	3.67274242e+49	0.00000000e+00
3.60	3.24970754e+49	0.00000000e+00
3.70	2.86895615e+49	0.00000000e+00
3.80	2.52747099e+49	0.00000000e+00
3.90	2.22219675e+49	0.00000000e+00
4.00	1.95011219e+49	0.00000000e+00
4.10	1.70828376e+49	0.00000000e+00
4.20	1.49390394e+49	0.00000000e+00
4.30	1.30431739e+49	0.00000000e+00
4.40	1.13703731e+49	0.00000000e+00
4.50	9.89754087e+48	0.00000000e+00
4.60	8.60338056e+48	0.00000000e+00
4.70	7.46837794e+48	0.00000000e+00
4.80	6.47475044e+48	0.00000000e+00
4.90	5.60637346e+48	0.00000000e+00
5.00	4.84869030e+48	0.00000000e+00
5.10	4.18861213e+48	0.00000000e+00
5.20	3.61441301e+48	0.00000000e+00
5.30	3.11562282e+48	0.00000000e+00
5.40	2.68292160e+48	0.00000000e+00
5.50	2.30803669e+48	0.00000000e+00
5.60	1.98364440e+48	0.00000000e+00
5.70	1.70327705e+48	0.00000000e+00
5.80	1.46123607e+48	0.00000000e+00
5.90	1.25251137e+48	0.00000000e+00
6.00	1.07270703e+48	0.00000000e+00
6.10	9.17973457e+47	0.00000000e+00
6.20	7.84945503e+47	0.00000000e+00
6.30	6.70686570e+47	0.00000000e+00
6.40	5.72638186e+47	0.00000000e+00
6.50	4.88574733e+47	0.00000000e+00
6.60	4.16563038e+47	0.00000000e+00
6.70	3.54926233e+47	0.00000000e+00
6.80	3.02211757e+47	0.00000000e+00
6.90	2.57162960e+47	0.00000000e+00
7.00	2.18693995e+47	0.00000000e+00
7.10	1.85867717e+47	0.00000000e+00
7.20	1.57876216e+47	0.00000000e+00
7.30	1.34023762e+47	0.00000000e+00
7.40	1.13711843e+47	0.00000000e+00
7.50	9.64260988e+46	0.00000000e+00
7.60	8.17249132e+46	0.00000000e+00
7.70	6.92294770e+46	0.00000000e+00
7.80	5.86151506e+46	0.00000000e+00
7.90	4.96039553e+46	0.00000000e+00
8.00	4.19580645e+46	0.00000000e+00
8.10	3.54741726e+46	0.00000000e+00
8.20	2.99786155e+46	0.00000000e+00
8.30	2.53231636e+46	0.00000000e+00
8.40	2.13813885e+46	0.00000000e+00
8.50	1.80455332e+46	0.00000000e+00
8.60	1.52238174e+46	0.00000000e+00
8.70	1.28381214e+46	0.00000000e+00
8.80	1.08219957e+46	0.00000000e+00
8.90	9.11895286e+45	0.00000000e+00
9.00	7.68100362e+45	0.00000000e+00
9.10	6.46740258e+45	0.00000000e+00
9.20	5.44357449e+45	0.00000000e+00
9.30	4.58019651e+45	0.00000000e+00
9.40	3.85241390e+45	0.00000000e+00
9.50	3.23917025e+45	0.00000000e+00
9.60	2.72263635e+45	0.00000000e+00
9.70	2.28772320e+45	0.00000000e+00
9.80	1.92166697e+45	0.00000000e+00
9.90	1.61367605e+45	0.00000000e+00
10.00	1.35463051e+45	0.00000000e+00
10.10	1.13682659e+45	0.00000000e+00
10.20	9.53759772e+44	0.00000000e+00
10.30	7.99940449e+44	0.00000000e+00
10.40	6.70737481e+44	0.00000000e+00
10.50	5.62245626e+44	0.00000000e+00
10.60	4.71173065e+44	0.00000000e+00
10.70	3.94746138e+44	0.00000000e+00
10.80	3.30628678e+44	0.00000000e+00
10.90	2.76853770e+44	0.00000000e+00
11.00	2.31765978e+44	0.00000000e+00
11.10	1.93972529e+44	0.00000000e+00
11.20	1.62302044e+44	0.00000000e+00
11.30	1.35769696e+44	0.00000000e+00
11.40	1.13547775e+44	0.00000000e+00
11.50	9.49408508e+43	0.00000000e+00
11.60	7.93648229e+43	0.00000000e+00
11.70	6.63292555e+43	0.00000000e+00
11.80	5.54224835e+43	0.00000000e+00
11.90	4.62990665e+43	0.00000000e+00
12.00	3.86692239e+43	0.00000000e+00
12.10	3.22899355e+43	0.00000000e+00
12.20	2.69574551e+43	0.00000000e+00
12.30	2.25010128e+43	0.00000000e+00
12.40	1.87775155e+43	0.00000000e+00
12.50	1.56670942e+43	0.00000000e+00
12.60	1.30693632e+43	0.00000000e+00
12.70	1.09002722e+43	0.00000000e+00
12.80	9.08946932e+42	0.00000000e+00
12.90	7.57808099e+42	0.00000000e+00
13.00	6.31685218e+42	0.00000000e+00
13.10	5.26458527e+42	0.00000000e+00
13.20	4.38682972e+42	0.00000000e+00
13.30	3.65478391e+42	0.00000000e+00
13.40	3.04437460e+42	0.00000000e+00
13.50	2.53548489e+42	0.00000000e+00
13.60	2.11130805e+42	0.00000000e+00
13.70	1.75780575e+42	0.00000000e+00
13.80	1.46325459e+42	0.00000000e+00
13.90	1.21786646e+42	0.00000000e+00
14.00	1.01347068e+42	0.00000000e+00
14.10	8.43248201e+41	0.00000000e+00
14.20	7.01509140e+41	0.00000000e+00
14.30	5.83506693e+41	0.00000000e+00
14.40	4.85281655e+41	0.00000000e+00
14.50	4.03532318e+41	0.00000000e+00
14.60	3.35505817e+41	0.00000000e+00
14.70	2.78907334e+41	0.00000000e+00
14.80	2.31824218e+41	0.00000000e+00
14.90	1.92662632e+41	0.00000000e+00
15.00	1.60094641e+41	0.00000000e+00
15.10	1.33014052e+41	0.00000000e+00
15.20	1.10499532e+41	0.00000000e+00
15.30	9.17838593e+40	0.00000000e+00
15.40	7.62282384e+40	0.00000000e+00
15.50	6.33009008e+40	0.00000000e+00
15.60	5.25592372e+40	0.00000000e+00
15.70	4.36349088e+40	0.00000000e+00
15.80	3.62214344e+40	0.00000000e+00
15.90	3.00638393e+40	0.00000000e+00
16.00	2.49500334e+40	0.00000000e+00
16.10	2.07036241e+40	0.00000000e+00
16.20	1.71779295e+40	0.00000000e+00
16.30	1.42509913e+40	0.00000000e+00
