trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms
2080.0,2.2531e-06,2.4195e-08,4.3522e-06,3.2061e-08,1.3764e-05,8.8161e-08,1.2398e-05,9.7177e-07,5.994,0.392,30.144,5.641,0.191,30.208,4.083,0.085,30.848
2081.0,8.9672e-08,1.7854e-08,1.6704e-07,1.8375e-08,1.0456e-06,4.8301e-08,4.1708e-06,7.1686e-07,1.222,0.256,-0.064,1.15,0.126,0.0,0.638,0.057,12.352
2083.0,5.47e-06,2.2929e-08,9.0178e-06,2.9653e-08,3.0502e-05,8.7983e-08,3.9117e-05,6.477e-07,46.554,0.924,1.216,45.415,0.457,1.28,39.203,0.213,1.664
2087.0,1.8749e-07,1.089e-08,2.6201e-07,1.2708e-08,9.2307e-07,3.2727e-08,1.7687e-06,4.2218e-07,2.266,0.276,0.576,2.105,0.134,0.768,1.722,0.064,1.216
2090.0,1.4959e-06,2.1459e-08,2.1015e-06,1.9944e-08,6.8052e-06,5.5375e-08,5.4711e-06,5.6462e-07,10.822,0.46,0.832,10.155,0.224,0.896,8.854,0.106,1.344
2093.0,3.7585e-07,1.5044e-08,4.7567e-07,1.7712e-08,7.7575e-07,4.4542e-08,1.7581e-06,6.5455e-07,1.04,0.226,21.632,0.981,0.111,21.696,0.601,0.051,22.4
2095.0,2.0451e-09,1.9393e-09,1.1714e-09,1.7547e-09,2.7089e-08,4.54e-09,1.6519e-06,1.4224e-07,1.229,0.273,0.0,0.374,0.114,0.064,0.061,0.054,0.512
2099.0,1.8135e-08,1.4369e-08,1.1515e-07,1.445e-08,5.3969e-07,3.5727e-08,1.6058e-07,2.6651e-07,1.012,0.253,1.088,0.832,0.123,1.088,0.768,0.06,1.536
2101.0,2.9955e-07,1.813e-08,4.4408e-07,1.8676e-08,1.434e-06,4.2992e-08,3.1449e-06,4.8126e-07,0.724,0.205,16.768,0.481,0.099,0.896,0.446,0.049,1.664
2102.0,4.4562e-07,2.0904e-08,4.6588e-07,1.7279e-08,1.4046e-06,4.4146e-08,1.4895e-07,3.5338e-07,1.793,0.256,1.664,1.614,0.125,1.664,1.502,0.061,2.304
2103.0,1.2346e-08,3.3355e-09,1.5745e-08,2.7699e-09,1.0479e-07,7.8714e-09,4.1015e-07,1.1581e-07,1.511,0.246,0.0,1.239,0.118,0.192,0.494,0.051,0.32
2105.0,1.9432e-07,1.5297e-08,1.7986e-07,1.6533e-08,3.8571e-07,3.77e-08,0.0,4.4301e-07,1.072,0.225,0.064,0.999,0.11,0.128,0.764,0.053,0.64
2106.0,5.0369e-07,1.7624e-08,9.1901e-07,2.145e-08,3.8288e-06,5.9813e-08,7.3333e-06,7.5237e-07,1.806,0.256,7.744,1.562,0.125,7.872,1.45,0.062,8.064
2110.0,8.4484e-07,2.1423e-08,2.0423e-06,2.5951e-08,1.0443e-05,6.8966e-08,2.7119e-05,6.9968e-07,4.926,0.378,19.008,4.596,0.183,19.776,4.195,0.089,19.776
2111.0,5.5068e-07,1.8281e-08,1.2344e-06,2.2389e-08,2.1659e-06,5.8149e-08,6.1777e-07,5.7089e-07,1.361,0.241,0.384,1.222,0.118,0.448,1.105,0.058,1.344
2112.0,5.567e-07,2.7967e-08,4.0747e-07,3.0133e-08,4.969e-07,7.9238e-08,1.9027e-05,2.7382e-06,0.712,0.214,0.448,0.574,0.104,0.512,0.53,0.052,1.088
2114.0,2.7603e-08,1.7995e-08,5.589e-08,1.6515e-08,4.21e-07,4.1164e-08,2.3166e-07,3.6961e-07,0.996,0.233,1.792,0.782,0.113,1.856,0.547,0.054,2.112
2115.0,1.7161e-08,3.0674e-09,2.2623e-08,2.9947e-09,8.2464e-08,7.6867e-09,8.0409e-08,7.3001e-08,2.895,0.279,0.256,1.099,0.115,0.384,0.487,0.053,0.832
2117.0,0.0,7.4679e-09,1.3331e-08,6.8483e-09,1.0601e-07,1.6151e-08,4.5722e-07,1.505e-07,1.631,0.483,-0.192,0.927,0.227,0.0,0.444,0.107,0.32
2119.0,1.7584e-07,1.5506e-08,3.7315e-07,1.7998e-08,9.9463e-07,5.0312e-08,0.0,3.6102e-07,1.212,0.252,2.368,0.944,0.121,2.048,0.862,0.06,2.432
2122.0,1.8223e-06,3.2832e-08,2.594e-06,4.1345e-08,7.9513e-06,1.1579e-07,3.0112e-05,1.8298e-06,1.994,0.283,16.896,1.891,0.139,17.088,1.66,0.067,17.536
2123.0,1.2405e-06,1.8042e-08,1.5954e-06,2.1484e-08,2.8498e-06,5.1061e-08,6.7421e-07,4.6757e-07,2.285,0.268,6.272,2.123,0.131,6.336,1.84,0.063,7.04
2125.0,4.0941e-08,1.9922e-09,8.5848e-08,2.8525e-09,5.2013e-07,1.0402e-08,3.9092e-06,2.1379e-07,15.429,0.564,0.064,9.335,0.224,0.256,2.501,0.069,0.896
2126.0,1.5249e-08,2.8698e-09,2.4689e-08,3.0444e-09,1.6213e-07,8.7291e-09,1.882e-07,8.2546e-08,3.732,0.314,0.0,2.318,0.138,0.192,0.765,0.056,0.896
2129.0,1.9771e-07,1.882e-08,1.1423e-07,1.6127e-08,3.3732e-07,3.8887e-08,0.0,2.7269e-07,0.808,0.217,0.512,0.558,0.103,0.576,0.425,0.05,0.96
2132.0,3.8026e-09,1.3406e-09,1.1093e-08,1.5874e-09,4.0402e-08,4.5416e-09,0.0,1.0989e-07,2.274,0.27,0.0,0.872,0.109,0.064,0.217,0.048,0.832
2133.0,9.796e-08,1.9809e-08,1.2442e-07,1.5838e-08,3.1823e-07,3.9196e-08,0.0,2.8097e-07,1.044,0.233,2.048,0.778,0.112,0.384,0.624,0.054,0.512
2138.0,4.3949e-06,2.7643e-08,5.473e-06,3.7237e-08,1.8536e-05,9.2067e-08,1.2139e-05,7.8059e-07,7.084,0.394,75.584,7.004,0.196,75.776,6.772,0.097,75.776
2140.0,4.8766e-07,1.6529e-08,3.3848e-07,1.744e-08,4.5571e-07,4.2095e-08,0.0,4.7237e-07,0.644,0.205,3.008,0.52,0.099,3.008,0.488,0.049,1.088
2142.0,1.4067e-08,1.18e-08,7.1285e-08,1.2254e-08,4.26e-07,3.0962e-08,0.0,2.1896e-07,1.314,0.26,0.128,1.061,0.125,0.32,0.98,0.062,0.832
2143.0,2.7832e-07,2.0616e-08,5.2286e-07,2.5123e-08,1.8217e-06,7.1729e-08,1.6824e-06,8.9517e-07,0.939,0.243,6.08,0.777,0.118,6.144,0.638,0.058,6.912
2145.0,3.389e-09,2.2926e-09,9.861e-09,2.6056e-09,4.6064e-08,7.2375e-09,1.3044e-07,9.5889e-08,0.985,0.22,0.0,0.692,0.103,0.128,0.236,0.046,0.32
2146.0,5.0523e-09,1.6605e-09,6.0834e-09,1.9797e-09,7.3025e-08,6.5513e-09,2.8694e-07,1.7193e-07,1.682,0.323,0.064,1.117,0.148,0.192,0.3,0.064,0.96
2148.0,3.1188e-07,2.0476e-08,3.9863e-07,2.409e-08,1.0625e-06,5.7948e-08,0.0,3.6533e-07,1.517,0.239,52.288,1.401,0.117,52.416,1.143,0.056,53.056
2149.0,3.4772e-06,3.1819e-08,3.389e-06,3.2023e-08,4.7005e-06,7.8746e-08,2.3676e-06,8.5769e-07,1.614,0.239,13.312,1.394,0.114,14.016,1.287,0.056,11.584
2151.0,1.2076e-06,2.3945e-08,1.6556e-06,3.0346e-08,9.9194e-06,8.1678e-08,5.3832e-05,1.1358e-06,167.841,2.63,0.0,105.062,0.95,0.192,34.903,0.28,0.96
2152.0,1.6617e-07,1.1253e-08,1.5585e-07,1.3233e-08,4.4889e-08,3.1688e-08,0.0,4.7801e-07,0.922,0.245,-0.704,0.741,0.12,-0.704,0.421,0.057,0.064
2155.0,1.4707e-08,2.6685e-09,1.8595e-08,2.9228e-09,1.6836e-07,8.6588e-09,7.1294e-07,1.4265e-07,1.916,0.265,0.064,1.359,0.121,0.256,0.73,0.054,0.768
2156.0,4.3511e-06,1.9196e-08,1.3887e-05,5.6169e-08,5.9562e-05,1.5604e-07,9.2034e-05,1.5317e-06,18.282,0.615,102.336,16.57,0.295,102.464,12.179,0.13,15.424
2159.0,2.7688e-09,7.1249e-10,2.1286e-09,7.6598e-10,1.1008e-08,2.2112e-09,0.0,6.0732e-08,0.823,0.21,-0.128,0.441,0.097,-0.064,0.161,0.045,0.128
2161.0,2.1318e-09,1.7628e-09,5.7399e-09,1.7067e-09,4.6474e-08,4.8867e-09,1.4651e-07,1.0955e-07,1.926,0.273,0.0,0.769,0.117,0.064,0.187,0.053,0.704
2163.0,6.4537e-09,2.7889e-09,1.762e-08,3.1063e-09,8.655e-08,8.5617e-09,3.3112e-07,1.0926e-07,1.133,0.25,0.128,0.873,0.12,0.192,0.436,0.055,0.512
2167.0,7.5519e-09,1.9227e-09,1.9836e-08,2.0236e-09,1.0649e-07,5.6561e-09,5.3982e-07,1.101e-07,4.882,0.355,0.0,1.984,0.137,0.192,0.529,0.056,0.256
2181.0,3.3097e-07,2.0047e-08,3.7803e-07,1.7547e-08,1.0873e-06,4.927e-08,7.2611e-07,6.0476e-07,0.901,0.208,2.112,0.737,0.101,2.304,0.625,0.049,2.688
2187.0,1.5777e-07,2.2252e-08,1.4615e-07,2.0328e-08,3.7114e-07,4.7384e-08,1.9724e-07,4.971e-07,0.505,0.253,0.704,0.417,0.124,0.832,0.283,0.06,0.896
2188.0,6.1927e-07,2.7279e-08,6.8191e-07,2.4773e-08,1.6381e-06,6.4237e-08,1.6155e-06,8.048e-07,1.031,0.225,0.704,0.842,0.108,0.896,0.698,0.053,1.472
2189.0,1.5205e-07,1.4645e-08,4.3607e-07,1.7822e-08,9.6924e-07,4.7122e-08,2.5928e-07,4.0394e-07,0.706,0.224,6.016,0.525,0.107,7.104,0.426,0.053,6.976
2190.0,1.1652e-06,2.3413e-08,1.1198e-06,2.0407e-08,2.9798e-06,5.5415e-08,5.2966e-06,7.8819e-07,2.004,0.266,21.76,1.821,0.13,21.952,1.519,0.062,22.4
2191.0,2.3415e-07,2.16e-08,2.7276e-07,2.3199e-08,1.0216e-06,5.7145e-08,3.0703e-06,7.86e-07,1.104,0.294,1.408,0.831,0.141,1.472,0.761,0.07,1.472
2193.0,6.0952e-07,2.4629e-08,1.9965e-06,2.9302e-08,1.1367e-05,8.0864e-08,1.3233e-05,7.8852e-07,1.784,0.259,12.8,1.546,0.127,12.992,1.483,0.063,13.184
2197.0,4.3798e-07,1.6108e-08,7.9467e-07,1.9383e-08,1.8342e-06,4.7729e-08,1.0571e-06,4.9512e-07,1.263,0.224,3.136,1.04,0.108,3.136,0.933,0.053,3.456
2201.0,7.518e-09,3.5075e-09,1.4584e-08,2.981e-09,7.2679e-08,8.4345e-09,2.1736e-07,1.0675e-07,1.893,0.268,0.0,1.261,0.124,0.064,0.371,0.054,0.576
2202.0,2.2903e-07,1.6936e-08,2.1523e-07,1.5945e-08,1.0608e-07,4.2855e-08,1.4076e-07,6.988e-07,0.794,0.229,8.384,0.58,0.11,8.512,0.413,0.053,8.832
2203.0,2.2388e-07,1.8043e-08,2.4677e-07,1.5846e-08,6.725e-07,4.1045e-08,1.0448e-06,5.0496e-07,1.854,0.28,0.768,1.364,0.131,0.96,1.134,0.063,1.152
2204.0,1.3133e-07,1.4368e-08,1.5473e-07,1.7394e-08,3.3309e-07,4.8249e-08,3.8899e-07,7.0217e-07,0.88,0.233,0.064,0.72,0.112,0.256,0.496,0.054,0.832
2205.0,2.8235e-09,1.1166e-08,1.0243e-08,1.2654e-08,7.0893e-08,3.5449e-08,1.1698e-06,6.6371e-07,0.937,0.231,-0.064,0.857,0.113,0.064,0.29,0.051,0.768
2206.0,7.0019e-09,2.823e-09,1.3665e-08,3.2597e-09,1.2106e-07,9.8067e-09,1.7381e-07,1.1686e-07,1.909,0.297,0.0,1.392,0.138,0.192,0.522,0.06,0.576
2207.0,9.1115e-08,1.7084e-08,8.5931e-08,1.7932e-08,1.341e-07,4.138e-08,0.0,7.0376e-07,0.584,0.228,-0.576,0.488,0.112,-0.384,0.329,0.054,0.064
2211.0,7.9261e-07,3.4651e-08,1.163e-06,3.4994e-08,4.9862e-06,8.7445e-08,7.994e-06,9.3977e-07,1.636,0.261,4.608,1.397,0.127,5.12,1.229,0.062,5.952
2213.0,8.7952e-07,3.1632e-08,1.2536e-06,3.2642e-08,3.5403e-06,8.6599e-08,3.6226e-06,1.0841e-06,4.663,0.374,1.6,4.591,0.185,1.792,4.122,0.089,1.92
2217.0,2.1093e-08,2.808e-09,2.9111e-08,3.0864e-09,4.1386e-07,1.1004e-08,4.1564e-06,2.077e-07,3.563,0.314,0.384,3.015,0.149,0.448,1.615,0.062,0.832
2219.0,3.981e-07,1.9881e-08,4.1174e-07,1.736e-08,9.8718e-07,5.0071e-08,0.0,5.754e-07,1.959,0.262,2.88,1.621,0.125,3.008,1.159,0.058,3.392
2220.0,7.1227e-09,3.2153e-09,2.03e-08,3.1008e-09,7.7977e-08,7.6019e-09,2.4883e-07,7.9709e-08,2.228,0.262,0.0,1.432,0.119,0.128,0.432,0.052,0.192
2228.0,2.2214e-06,2.4525e-08,4.1449e-06,3.3025e-08,1.2387e-05,8.4872e-08,9.6826e-06,8.0383e-07,9.232,0.448,32.832,8.105,0.211,32.96,5.205,0.088,33.28
2230.0,7.7618e-08,2.055e-08,8.1441e-08,1.6787e-08,2.1062e-07,4.4207e-08,0.0,6.9522e-07,0.563,0.194,-0.768,0.378,0.093,-0.768,0.276,0.045,0.0
2232.0,1.0116e-06,2.1688e-08,1.4524e-06,2.0973e-08,4.9951e-06,5.9046e-08,4.6289e-06,6.8341e-07,6.65,0.384,49.856,6.018,0.184,49.92,5.204,0.087,47.296
2233.0,9.0032e-08,1.7672e-08,1.0621e-07,1.9252e-08,3.2809e-07,4.6034e-08,1.8632e-06,8.3117e-07,0.498,0.21,-0.448,0.317,0.101,-0.448,0.227,0.049,-0.192
2240.0,4.2357e-07,2.5132e-08,4.745e-07,2.7807e-08,1.0278e-06,6.8463e-08,0.0,6.5057e-07,0.813,0.247,4.672,0.598,0.12,4.736,0.507,0.059,4.928
2244.0,3.9886e-07,5.2176e-08,7.2265e-07,4.3464e-08,2.0817e-06,1.1037e-07,0.0,7.045e-07,0.557,0.201,233.344,0.474,0.099,233.408,0.376,0.049,233.408
2252.0,3.6365e-07,2.2174e-08,4.7352e-07,2.0653e-08,1.4918e-06,5.5672e-08,0.0,3.8013e-07,0.808,0.201,3.584,0.641,0.097,3.712,0.527,0.047,4.096
2253.0,3.5325e-07,1.6521e-08,5.2852e-07,1.9385e-08,1.5606e-06,4.6868e-08,1.0871e-07,2.9754e-07,2.746,0.281,9.152,2.176,0.132,9.216,1.091,0.057,9.344
2254.0,1.1712e-07,1.2724e-08,1.887e-07,1.4162e-08,6.3805e-07,3.4844e-08,3.9496e-07,3.5879e-07,1.751,0.251,0.448,1.638,0.122,0.576,1.416,0.059,1.024
2255.0,1.5332e-06,1.878e-08,2.5969e-06,2.4002e-08,6.8719e-06,5.944e-08,3.8932e-06,5.5926e-07,3.467,0.296,97.408,3.145,0.143,97.856,2.966,0.07,97.984
2265.0,4.7054e-09,2.8397e-09,2.2548e-08,3.0636e-09,1.0557e-07,8.017e-09,1.9945e-08,5.6262e-08,1.355,0.242,0.128,1.111,0.117,0.192,0.538,0.052,0.576
2267.0,1.8253e-07,1.426e-08,3.447e-07,1.6489e-08,1.0841e-06,4.2859e-08,2.4051e-06,5.7645e-07,1.109,0.227,0.704,0.964,0.111,1.024,0.908,0.055,1.216
2268.0,6.9309e-08,1.4181e-08,1.1541e-07,1.5122e-08,4.3872e-07,3.7434e-08,0.0,2.5957e-07,2.528,0.28,0.256,2.349,0.137,0.32,1.294,0.059,0.704
2271.0,1.3249e-06,1.3217e-07,2.2833e-06,1.4909e-07,5.8648e-06,3.5471e-07,8.1999e-07,2.6408e-06,2.726,0.315,1.152,2.246,0.149,1.28,1.298,0.065,1.216
2273.0,3.8153e-08,2.4002e-09,8.5498e-08,2.8709e-09,5.3248e-07,8.9733e-09,2.183e-06,1.2633e-07,18.593,0.55,0.0,9.481,0.207,0.192,2.539,0.067,0.896
2276.0,3.0271e-06,5.2444e-08,2.2971e-06,5.3046e-08,2.6006e-06,1.1839e-07,2.0765e-05,2.2334e-06,1.025,0.216,2.816,0.854,0.105,3.008,0.79,0.052,3.712
2277.0,3.6749e-07,3.1715e-08,5.5663e-07,3.024e-08,2.1809e-06,7.2082e-08,1.2781e-06,6.7846e-07,1.328,0.242,64.192,1.166,0.119,64.384,1.004,0.058,64.576
2279.0,7.5361e-09,3.7758e-09,2.9044e-08,3.5857e-09,1.2406e-07,8.9112e-09,3.7917e-07,8.4573e-08,7.002,0.422,0.0,2.2,0.147,0.0,0.649,0.059,0.0
2283.0,0.0,1.6579e-08,1.2057e-08,1.38e-08,1.401e-07,3.9362e-08,1.9572e-06,8.4953e-07,0.993,0.213,1.92,0.72,0.102,0.192,0.228,0.045,0.32
2287.0,2.7555e-06,5.2151e-08,6.764e-06,7.249e-08,1.993e-05,1.8453e-07,8.6315e-06,1.6433e-06,2.096,0.273,21.184,1.911,0.134,21.312,1.771,0.066,22.08
2288.0,4.7646e-09,3.0467e-09,6.0938e-09,2.8048e-09,5.9409e-08,6.5925e-09,7.1664e-08,6.9958e-08,0.902,0.207,-0.128,0.795,0.102,0.0,0.256,0.046,0.768
2289.0,6.6072e-07,2.1193e-07,0.0,2.3285e-07,9.5126e-07,6.6492e-07,0.0,4.6401e-06,0.511,0.264,0.0,0.369,0.13,0.0,0.307,0.064,0.0
2290.0,4.2148e-07,2.1762e-07,4.9219e-07,2.6792e-07,8.5735e-07,7.4324e-07,0.0,1.8461e-05,0.825,0.232,-0.192,0.706,0.113,0.0,0.268,0.051,298.112
2291.0,6.5649e-10,1.3862e-09,2.3412e-09,1.4771e-09,1.6178e-08,4.2348e-09,1.4291e-07,1.1253e-07,0.89,0.234,0.0,0.278,0.101,0.128,0.051,0.048,0.0
2298.0,7.2044e-07,3.1594e-08,8.6897e-07,2.8796e-08,2.6142e-06,7.3601e-08,4.6406e-07,5.8539e-07,0.682,0.223,12.992,0.538,0.108,16.192,0.421,0.053,15.616
2304.0,4.1315e-07,3.5355e-08,5.3004e-07,3.0734e-08,1.3613e-06,7.9155e-08,6.9253e-07,8.3537e-07,0.885,0.216,0.256,0.767,0.105,0.256,0.654,0.051,0.704
2306.0,5.5239e-08,1.61e-08,2.4531e-07,1.7077e-08,7.5998e-07,4.4114e-08,2.2843e-06,5.3885e-07,1.058,0.232,0.768,1.008,0.115,0.64,0.958,0.057,0.96
2309.0,1.7063e-07,1.8156e-08,3.5902e-07,2.0296e-08,2.1841e-06,5.2373e-08,3.5812e-06,6.2682e-07,1.823,0.247,5.312,1.383,0.116,1.856,1.243,0.057,2.24
2310.0,2.6065e-07,3.2805e-08,2.1369e-07,2.7657e-08,5.6602e-07,6.801e-08,4.8118e-07,8.0645e-07,0.672,0.207,-0.96,0.523,0.1,-0.768,0.395,0.048,-0.384
2311.0,2.3034e-07,2.1938e-08,2.253e-07,2.346e-08,4.8736e-07,5.9132e-08,2.0512e-06,1.0959e-06,0.93,0.248,0.0,0.749,0.122,0.064,0.58,0.059,0.512
2312.0,8.5729e-09,2.9307e-09,1.0532e-08,3.02e-09,1.0435e-07,8.4254e-09,4.5113e-07,1.3563e-07,1.801,0.282,0.064,1.505,0.134,0.128,0.444,0.054,0.32
2315.0,7.2815e-07,3.1317e-08,1.1162e-06,2.6456e-08,3.5077e-06,6.7543e-08,1.494e-06,5.9024e-07,1.772,0.263,7.168,1.661,0.13,7.168,1.638,0.065,7.744
2316.0,5.7813e-06,5.5524e-08,6.7308e-06,5.6342e-08,2.0666e-05,1.4131e-07,2.0912e-05,1.2575e-06,4.041,0.362,9.92,3.828,0.178,9.408,3.672,0.088,10.112
2317.0,1.2128e-07,3.4687e-09,2.2096e-07,4.5225e-09,4.2043e-07,1.0621e-08,2.8581e-08,5.4723e-08,9.733,0.463,0.512,5.761,0.187,0.704,3.439,0.078,0.96
2320.0,7.6745e-08,3.592e-09,1.4104e-07,4.2788e-09,5.4185e-07,1.1219e-08,1.0273e-06,9.5619e-08,11.034,0.468,0.064,7.95,0.206,0.192,3.07,0.075,0.96
2321.0,1.0304e-06,2.17e-08,1.5117e-06,2.4169e-08,5.2809e-06,6.932e-08,1.7391e-06,6.308e-07,8.407,0.421,5.248,7.54,0.203,5.376,6.03,0.093,3.776
2324.0,7.1221e-07,4.0785e-08,1.588e-06,4.3195e-08,3.3768e-06,9.9205e-08,3.0467e-06,9.3539e-07,1.004,0.218,10.048,0.825,0.106,11.136,0.686,0.052,11.84
2325.0,8.6281e-08,3.0804e-08,2.8736e-08,2.462e-08,3.9642e-07,6.7211e-08,0.0,1.0252e-06,1.449,0.241,0.064,0.744,0.106,0.256,0.25,0.047,16.64
2326.0,1.0904e-09,1.0799e-09,6.3157e-09,1.4095e-09,3.2445e-08,4.959e-09,4.4571e-07,1.5534e-07,1.373,0.244,0.0,0.607,0.107,0.0,0.185,0.049,0.128
2327.0,3.5435e-08,2.9055e-08,1.7831e-08,2.3688e-08,8.6176e-08,5.2905e-08,2.7765e-07,7.1616e-07,0.515,0.274,-0.256,0.406,0.135,-0.384,0.317,0.067,0.064
2328.0,1.2464e-06,2.9721e-08,1.5483e-06,3.3223e-08,2.8144e-06,8.3357e-08,2.5171e-06,9.9876e-07,1.709,0.268,6.08,1.566,0.132,6.144,1.366,0.064,6.144
2329.0,4.6347e-06,1.7183e-08,1.1305e-05,3.8602e-08,5.4578e-05,1.2758e-07,0.00031066,1.776e-06,42.573,0.895,12.096,40.395,0.439,12.16,25.255,0.182,8.256
2330.0,2.8668e-08,3.4705e-09,4.9015e-08,3.4344e-09,3.2754e-07,9.1762e-09,1.3954e-06,9.6973e-08,8.034,0.397,0.704,4.906,0.166,0.768,1.522,0.06,0.896
2332.0,1.4436e-09,8.3257e-10,3.39e-09,8.9435e-10,1.6898e-08,2.7396e-09,7.1543e-08,7.6222e-08,1.276,0.252,0.0,0.464,0.108,0.064,0.143,0.051,0.704
2340.0,4.171e-07,2.4695e-08,7.2399e-07,2.1918e-08,1.6142e-06,5.9428e-08,1.336e-06,6.9391e-07,1.774,0.243,15.232,1.606,0.119,14.336,1.373,0.058,14.976
2344.0,1.8571e-07,2.5239e-08,2.0674e-07,2.1764e-08,6.625e-07,5.7846e-08,7.2527e-06,1.1926e-06,0.513,0.21,1.472,0.455,0.103,-0.704,0.323,0.05,-0.384
2345.0,3.0911e-07,2.5271e-08,5.4688e-07,2.7469e-08,1.5326e-06,7.2407e-08,3.1506e-06,9.6525e-07,2.627,0.286,3.456,2.486,0.141,3.584,1.84,0.064,4.352
2346.0,9.6629e-07,2.7551e-08,1.2654e-06,3.0949e-08,2.3809e-06,7.1754e-08,8.3372e-07,6.5837e-07,3.224,0.312,40.0,2.927,0.152,40.0,2.561,0.073,40.192
2347.0,6.8589e-08,1.7736e-08,1.5695e-07,1.7769e-08,2.7701e-07,4.1528e-08,5.1211e-07,4.3664e-07,0.783,0.232,-0.192,0.543,0.112,-0.32,0.461,0.056,0.064
2349.0,9.1273e-08,1.4409e-08,1.2345e-07,1.6164e-08,2.1409e-07,4.129e-08,0.0,6.5743e-07,0.591,0.233,-0.128,0.418,0.114,-0.128,0.374,0.056,0.384
2352.0,1.0295e-08,2.8842e-09,1.8961e-08,2.8299e-09,5.9662e-08,6.9218e-09,5.4118e-08,7.0001e-08,0.833,0.215,0.0,0.629,0.102,0.192,0.37,0.048,0.768
2353.0,1.1284e-08,3.0464e-09,2.9384e-08,3.2445e-09,1.6869e-07,9.0495e-09,1.9786e-07,8.9694e-08,1.377,0.254,0.0,1.305,0.125,0.192,0.813,0.058,0.896
2357.0,1.8109e-08,3.3401e-09,3.8841e-08,2.9436e-09,1.6559e-07,8.438e-09,1.2546e-07,7.862e-08,2.381,0.267,0.064,2.017,0.128,0.192,0.898,0.054,0.384
2358.0,7.9373e-10,2.604e-08,7.2586e-09,1.9489e-08,9.6778e-08,4.8305e-08,0.0,4.1205e-07,0.808,0.237,-0.832,0.461,0.112,0.0,0.268,0.053,0.0
2360.0,1.0358e-08,3.0331e-09,2.5414e-08,2.7473e-09,7.7862e-08,7.5938e-09,8.7108e-08,8.0534e-08,1.435,0.237,0.128,1.17,0.114,0.192,0.483,0.049,0.768
2362.0,6.3944e-07,2.2323e-08,5.7434e-07,2.0306e-08,8.1129e-07,5.2774e-08,0.0,6.3489e-07,3.754,0.301,0.704,3.354,0.144,0.704,2.55,0.066,1.088
2365.0,2.1479e-08,2.0311e-08,4.9971e-08,1.6785e-08,2.1016e-07,5.2519e-08,2.0394e-07,6.7195e-07,1.417,0.272,-0.192,0.994,0.128,-0.128,0.412,0.058,0.256
2367.0,1.5547e-07,1.7643e-08,2.0218e-07,1.4666e-08,5.291e-07,4.1177e-08,3.8011e-07,4.8465e-07,4.6,0.348,0.32,4.078,0.166,0.512,2.188,0.069,0.704
2368.0,3.83e-08,1.4159e-08,6.8209e-08,1.5548e-08,2.2748e-07,3.9536e-08,8.465e-07,5.5818e-07,0.643,0.248,-0.832,0.478,0.122,-0.704,0.425,0.06,0.064
2371.0,1.2917e-06,1.7044e-08,2.4703e-06,2.2858e-08,6.9101e-06,5.8991e-08,7.8031e-06,5.7123e-07,5.018,0.346,8.256,4.69,0.169,7.936,4.375,0.082,8.704
2372.0,0.0,2.7526e-09,9.5443e-09,2.8833e-09,2.9522e-08,7.5434e-09,6.4178e-08,7.5241e-08,1.257,0.236,0.0,0.486,0.103,0.064,0.171,0.047,0.448
2373.0,2.2638e-07,1.8223e-08,3.5503e-07,2.0991e-08,7.0433e-07,5.1971e-08,1.7494e-07,4.6193e-07,0.605,0.224,6.848,0.504,0.109,6.976,0.423,0.054,7.424
2375.0,3.2341e-07,2.9585e-08,3.7886e-07,3.3083e-08,2.4787e-06,8.5765e-08,2.9939e-06,1.0035e-06,1.582,0.312,4.16,1.104,0.147,3.648,0.913,0.071,4.288
2377.0,2.4656e-08,3.4338e-09,4.1405e-08,3.5926e-09,3.6975e-07,1.0386e-08,2.1255e-06,1.3575e-07,3.983,0.33,0.32,2.936,0.152,0.32,1.585,0.065,0.512
2380.0,3.7078e-07,2.5722e-08,6.5001e-07,2.6705e-08,2.9055e-06,6.6638e-08,2.0131e-06,7.1955e-07,1.198,0.226,6.336,0.962,0.109,6.912,0.855,0.053,7.232
2381.0,8.0325e-08,2.3696e-08,2.1494e-07,2.3172e-08,2.0048e-07,5.1432e-08,0.0,4.9384e-07,0.705,0.216,-1.6,0.534,0.106,0.064,0.372,0.051,0.192
2382.0,7.0833e-08,1.6412e-08,5.3604e-08,1.4926e-08,2.8549e-08,4.2424e-08,1.5324e-06,2.2167e-06,0.588,0.218,-0.32,0.366,0.105,-0.32,0.239,0.051,0.0
2383.0,5.9499e-07,2.4946e-08,1.0247e-06,2.8176e-08,5.634e-06,7.5647e-08,2.5937e-05,1.2656e-06,3.22,0.302,3.968,3.063,0.147,5.12,2.493,0.069,5.504
2384.0,5.3283e-09,1.3356e-09,9.8302e-09,1.5388e-09,1.7269e-08,4.1121e-09,8.4657e-08,1.197e-07,1.124,0.229,0.0,0.545,0.103,0.192,0.159,0.047,0.192
2385.0,6.7466e-08,1.8202e-08,2.3766e-07,1.8797e-08,8.3237e-07,4.743e-08,0.0,4.4459e-07,0.638,0.229,-0.576,0.562,0.113,-0.576,0.398,0.055,-0.576
