trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime
171.0,4.336e-07,3.2945e-08,4.4697e-07,2.7846e-08,7.8429e-07,5.1413e-08,1.7973e-07,2.5061e-07,1.077,0.329,0.704,0.646,0.157,0.768,0.602,0.078,1.472,4B,910509,8385.0,11010.667,339.25,38.26,95.83,-17.44,2.44,113.27,N,N,2448385.5,1991-05-09 03:03:30.667
179.0,2.5648e-07,7.7966e-09,2.7782e-07,9.7845e-09,5.0439e-07,1.9354e-08,7.5724e-08,1.3397e-07,5.249,0.369,1.984,4.736,0.178,2.048,2.5,0.071,2.304,4B,910511,8387.0,7907.691,266.48,58.3,86.76,31.32,1.66,87.32,N,N,2448387.5,1991-05-11 02:11:47.691
185.0,8.5668e-09,1.3707e-09,8.5117e-09,1.434e-09,3.3879e-08,5.1329e-09,0.0,6.4211e-08,1.583,0.266,0.0,0.729,0.117,0.128,0.165,0.052,0.768,4B,910512,8388.0,54909.419,90.86,71.58,142.4,21.97,6.05,136.15,N,Y,2448388.5,1991-05-12 15:15:09.419
204.0,1.4705e-08,6.5476e-09,5.5198e-08,8.2568e-09,5.3717e-07,2.2567e-08,1.4911e-06,2.2728e-07,0.708,0.233,1.152,0.674,0.114,1.024,0.513,0.056,1.344,4B,910517B,8393.0,38927.211,113.58,49.17,169.05,26.96,3.64,118.65,N,N,2448393.5,1991-05-17 10:48:47.211
206.0,1.2163e-08,4.6723e-09,2.3309e-08,6.3901e-09,9.9594e-08,1.567e-08,4.2165e-07,1.4117e-07,2.161,0.315,0.0,1.659,0.146,0.192,0.566,0.061,0.448,4B,910517,8393.0,86135.147,356.91,25.28,105.19,-35.38,4.73,113.07,N,N,2448393.5,1991-05-17 23:55:35.147
207.0,4.0862e-09,1.8969e-09,8.4507e-09,2.1974e-09,5.8126e-08,6.0817e-09,3.3352e-07,1.1754e-07,2.836,0.371,0.0,1.025,0.151,0.128,0.198,0.067,0.768,4B,910518,8394.0,12331.435,285.85,80.82,112.7,26.28,5.36,116.59,N,Y,2448394.5,1991-05-18 03:25:31.435
211.0,3.6627e-07,2.5008e-08,3.9705e-07,2.7062e-08,7.5491e-07,5.3728e-08,0.0,4.3362e-07,0.7,0.242,2.176,0.507,0.116,2.24,0.466,0.057,2.944,4B,910518B,8394.0,53725.803,249.02,-11.77,5.06,23.09,3.22,91.8,N,N,2448394.5,1991-05-18 14:55:25.803
214.0,4.0552e-07,2.2523e-08,4.4031e-07,2.1646e-08,4.1376e-07,5.4889e-08,0.0,3.0986e-07,0.982,0.251,0.0,0.752,0.121,12.48,0.649,0.06,12.544,4B,910521B,8397.0,18877.099,108.93,-33.75,245.81,-10.08,6.22,133.21,N,N,2448397.5,1991-05-21 05:14:37.099
218.0,1.1181e-08,5.512e-09,3.5093e-08,6.4808e-09,1.2263e-07,1.3115e-08,3.4937e-07,1.2767e-07,0.978,0.246,0.512,0.868,0.12,-0.128,0.665,0.057,0.32,4B,910521,8397.0,76453.227,216.66,-34.52,324.34,24.37,4.61,129.69,N,N,2448397.5,1991-05-21 21:14:13.227
219.0,3.0342e-06,5.3143e-08,4.2219e-06,4.0734e-08,1.0534e-05,8.7486e-08,1.4797e-05,7.2386e-07,20.133,0.637,115.2,18.063,0.302,115.264,13.069,0.13,115.328,4B,910522,8398.0,43929.707,137.72,-50.89,271.74,-1.89,0.61,142.93,N,N,2448398.5,1991-05-22 12:12:09.707
222.0,7.8081e-07,2.3233e-08,1.0401e-06,2.5256e-08,2.7646e-06,6.8917e-08,2.5434e-06,5.118e-07,4.538,0.364,68.544,3.99,0.174,68.672,3.005,0.08,68.736,4B,910523,8399.0,68604.523,106.99,0.36,214.49,3.84,1.28,131.07,N,N,2448399.5,1991-05-23 19:03:24.523
223.0,5.1747e-08,1.1111e-08,6.4875e-08,1.4638e-08,1.6753e-07,3.3177e-08,0.0,2.0308e-07,0.633,0.241,-0.384,0.457,0.117,0.0,0.374,0.057,0.576,4B,910523B,8399.0,85129.067,352.96,24.89,100.92,-34.56,8.14,139.3,N,N,2448399.5,1991-05-23 23:38:49.067
226.0,2.1662e-06,4.2974e-08,3.2057e-06,3.4072e-08,9.4294e-06,8.3599e-08,2.4648e-05,1.3041e-06,1.307,0.238,47.232,1.298,0.118,30.4,1.09,0.058,47.232,4B,910525,8401.0,69987.947,216.03,-62.82,313.29,-1.83,0.95,72.06,N,N,2448401.5,1991-05-25 19:26:27.947
228.0,1.3305e-07,1.162e-08,1.2437e-07,1.1291e-08,1.7675e-07,2.8765e-08,4.7203e-08,1.5926e-07,1.332,0.265,0.0,1.054,0.129,0.128,0.817,0.062,0.704,4B,910526B,8402.0,12744.235,111.56,1.05,215.98,8.22,3.92,134.92,N,Y,2448402.5,1991-05-26 03:32:24.235
