progenitor_mass,phase,hierarchy,flavor,total_energy_J,fluence_J_m2_@10kpc,bruno_trigger
s15,pre-collapse,N/A,nueb,1.9868444681460342e+44,166.0206707041423,True
s25,pre-collapse,N/A,nueb,3.2306259541695865e+44,269.95101846392856,True
