timestep,collapsed_fraction,collapse_x_start,collapse_x_end
0,0.544,0.2284569138276553,0.7715430861723446
1,0.432,0.28456913827655306,0.7154308617234468
2,0.364,0.3186372745490982,0.6813627254509017
3,0.324,0.3386773547094188,0.6613226452905812
4,0.3,0.3507014028056112,0.6492985971943888
5,0.288,0.3567134268537074,0.6432865731462926
6,0.288,0.3547094188376753,0.6452905811623246
7,0.28,0.3607214428857715,0.6392785571142284
8,0.284,0.35871743486973945,0.6412825651302605
9,0.284,0.3567134268537074,0.6432865731462926
10,0.284,0.35871743486973945,0.6412825651302605
11,0.276,0.3627254509018036,0.6372745490981964
12,0.28,0.3607214428857715,0.6392785571142284
13,0.284,0.35871743486973945,0.6412825651302605
14,0.288,0.3567134268537074,0.6432865731462926
15,0.292,0.3547094188376753,0.6452905811623246
16,0.296,0.35270541082164325,0.6472945891783567
17,0.3,0.3507014028056112,0.6492985971943888
18,0.304,0.3486973947895791,0.6513026052104208
19,0.308,0.34669338677354705,0.6533066132264529
20,0.312,0.344689378757515,0.655310621242485
21,0.316,0.3426853707414829,0.657314629258517
22,0.32,0.34068136272545085,0.6593186372745491
23,0.324,0.3386773547094188,0.6613226452905812
24,0.328,0.3366733466933867,0.6633266533066132
25,0.332,0.33466933867735466,0.6653306613226453
26,0.336,0.33266533066132264,0.6673346693386772
27,0.34,0.3306613226452906,0.6693386773547093
28,0.344,0.3286573146292585,0.6713426853707414
29,0.34,0.3306613226452906,0.6693386773547093
30,0.336,0.33266533066132264,0.6673346693386772
31,0.34,0.3306613226452906,0.6693386773547093
32,0.344,0.3286573146292585,0.6713426853707414
33,0.348,0.32665330661322645,0.6733466933867734
34,0.352,0.3246492985971944,0.6753507014028055
35,0.356,0.3226452905811623,0.6773547094188376
36,0.36,0.32064128256513025,0.6793587174348696
37,0.364,0.3186372745490982,0.6813627254509017
38,0.368,0.3166332665330661,0.6833667334669338
39,0.372,0.31462925851703405,0.6853707414829658
40,0.376,0.312625250501002,0.6873747494989979
41,0.38,0.3106212424849699,0.68937875751503
42,0.38,0.30861723446893785,0.691382765531062
43,0.38,0.3106212424849699,0.68937875751503
44,0.376,0.312625250501002,0.6873747494989979
45,0.372,0.31462925851703405,0.6853707414829658
46,0.376,0.312625250501002,0.6873747494989979
47,0.38,0.3106212424849699,0.68937875751503
48,0.384,0.30861723446893785,0.691382765531062
49,0.388,0.3066132264529058,0.6933867735470941
50,0.392,0.3046092184368737,0.6953907815631262
51,0.396,0.30260521042084165,0.6973947895791582
52,0.4,0.3006012024048096,0.6993987975951903
53,0.404,0.2985971943887775,0.7014028056112224
54,0.408,0.29659318637274545,0.7034068136272544
55,0.412,0.2945891783567134,0.7054108216432865
56,0.416,0.2925851703406813,0.7074148296593186
57,0.42,0.29058116232464926,0.7094188376753506
58,0.424,0.2885771543086172,0.7114228456913827
