time_relative_to_merger_sec,ligo_strain,bruno_flash_strain
-0.999980258790309,3.369772865060739e-19,0.0
-0.9997361163026497,3.1113772010403155e-19,0.0
-0.9994919738149903,3.083251472437628e-19,0.0
-0.999247831327331,3.2172109652275874e-19,0.0
-0.9990036888396716,3.0930736579731607e-19,0.0
-0.9987595463520123,2.9385633799388407e-19,0.0
-0.9985154038643529,2.8882443952632383e-19,0.0
-0.9982712613766935,2.903131457581111e-19,0.0
-0.9980271188890342,2.959972045361817e-19,0.0
-0.9977829764013748,2.710786736180335e-19,0.0
-0.9975388339137155,2.568809087816478e-19,0.0
-0.9972946914260561,2.7573437707984606e-19,0.0
-0.9970505489383967,2.6374095082778134e-19,0.0
-0.9968064064507374,2.4584904874454857e-19,0.0
-0.996562263963078,2.426059026486381e-19,0.0
-0.9963181214754186,2.3897660668833897e-19,0.0
-0.9960739789877593,2.484736511536167e-19,0.0
-0.9958298365000999,2.300296381794346e-19,0.0
-0.9955856940124406,2.064476425760876e-19,0.0
-0.9953415515247812,2.2542297626448057e-19,0.0
-0.9950974090371218,2.235940918144012e-19,0.0
-0.9948532665494625,2.010738792886386e-19,0.0
-0.9946091240618031,1.947872595326718e-19,0.0
-0.9943649815741438,1.8877501406298846e-19,0.0
-0.9941208390864844,1.9683333310936189e-19,0.0
-0.993876696598825,1.9017861033381642e-19,0.0
-0.9936325541111657,1.5791347349613047e-19,0.0
-0.9933884116235063,1.679067415057328e-19,0.0
-0.993144269135847,1.8001385538035504e-19,0.0
-0.9929001266481876,1.5396307214993074e-19,0.0
-0.9926559841605282,1.455836412033336e-19,0.0
-0.9924118416728689,1.4228747355663295e-19,0.0
-0.9921676991852095,1.434544432425039e-19,0.0
-0.9919235566975502,1.486572342735846e-19,0.0
-0.9916794142098908,1.1674353894540205e-19,0.0
-0.9914352717222314,1.0888717034217745e-19,0.0
-0.9911911292345721,1.329943661341022e-19,0.0
-0.9909469867469127,1.120657764513542e-19,0.0
-0.9907028442592534,9.040428407018409e-20,0.0
-0.990458701771594,9.653136130753904e-20,0.0
-0.9902145592839346,9.347154872354123e-20,0.0
-0.9899704167962753,9.761605336299249e-20,0.0
-0.9897262743086159,7.803383348908186e-20,0.0
-0.9894821318209566,5.3518123314299223e-20,0.0
-0.9892379893332972,8.141442129194629e-20,0.0
-0.9889938468456378,7.501810003677556e-20,0.0
-0.9887497043579785,3.859722953704086e-20,0.0
-0.9885055618703191,4.746005297903907e-20,0.0
-0.9882614193826598,4.732832591738524e-20,0.0
-0.9880172768950004,4.183419541912753e-20,0.0
-0.987773134407341,3.7460926941872304e-20,0.0
-0.9875289919196817,6.358435987624621e-21,0.0
-0.9872848494320223,1.9922424286359564e-20,0.0
-0.987040706944363,3.535835584168128e-20,0.0
-0.9867965644567036,-4.4008935129937e-21,0.0
-0.9865524219690442,-7.992144392840544e-21,0.0
-0.9863082794813849,3.1926946773821735e-21,0.0
-0.9860641369937255,-7.340614166389763e-21,0.0
-0.9858199945060662,-7.689514109595819e-21,0.0
-0.9855758520184068,-3.438474277976518e-20,0.0
-0.9853317095307474,-3.850761937942206e-20,0.0
-0.9850875670430881,-1.064789806943582e-20,0.0
-0.9848434245554287,-4.3057900812208285e-20,0.0
-0.9845992820677694,-6.451383157685846e-20,0.0
-0.98435513958011,-4.52843514472213e-20,0.0
-0.9841109970924506,-5.3778703356008545e-20,0.0
-0.9838668546047913,-5.771109721123594e-20,0.0
-0.9836227121171319,-7.244394371877322e-20,0.0
-0.9833785696294726,-9.211482065028238e-20,0.0
-0.9831344271418132,-6.347609594499103e-20,0.0
-0.9828902846541538,-7.410047626356977e-20,0.0
-0.9826461421664945,-1.1542991709430094e-19,0.0
-0.9824019996788351,-9.736750841640708e-20,0.0
-0.9821578571911758,-9.307638119229159e-20,0.0
-0.9819137147035164,-1.0937328550729661e-19,0.0
-0.981669572215857,-1.1265406717738667e-19,0.0
-0.9814254297281977,-1.3724700613039535e-19,0.0
-0.9811812872405383,-1.2281860717992992e-19,0.0
-0.980937144752879,-1.097637069491605e-19,0.0
-0.9806930022652196,-1.574187891604217e-19,0.0
-0.9804488597775602,-1.537092814163076e-19,0.0
-0.9802047172899009,-1.3141177543434182e-19,0.0
-0.9799605748022415,-1.5493825184493005e-19,0.0
-0.9797164323145822,-1.5986302888255712e-19,0.0
-0.9794722898269228,-1.7277782185864755e-19,0.0
-0.9792281473392634,-1.787500876265466e-19,0.0
-0.9789840048516041,-1.543726847438433e-19,0.0
-0.9787398623639447,-1.867215583715762e-19,0.0
-0.9784957198762854,-2.1079754756357105e-19,0.0
-0.978251577388626,-1.7741003744984877e-19,0.0
-0.9780074349009666,-1.895495273618834e-19,0.0
-0.9777632924133073,-2.1052903158900495e-19,0.0
