,SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id,trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime,icecube_energy,icecube_matched
10,GRB 910503,1991-05-03,87.44999999999999,38.74,1991-05-03 07:04:12.651,87.45,38.74,0.0,,143.0,2.9217370000000004e-05,Above Threshold,25452.651,True,910503,143.0,5.7236e-06,3.4374e-08,7.5901e-06,4.308e-08,4.562e-05,1.3972e-07,0.00023324,1.2379e-06,52.008,1.426,1.28,47.569,0.682,1.344,37.634,0.301,2.88,4B,910503,8379.0,25452.651,87.45,38.74,172.03,5.79,0.87,153.85,N,N,2448379.5,1991-05-03 07:04:12.651,44729.695,True
11,GRB 910507,1991-05-07,299.54999999999995,-44.88,1991-05-07 14:31:15.819,299.55,-44.88,0.0,,160.0,4.86023e-07,Below Threshold,52275.819,False,910507,160.0,5.1678e-07,1.9274e-08,8.3949e-07,1.7863e-08,3.0642e-06,5.3497e-08,4.3976e-07,2.2696e-07,4.21,0.411,13.952,3.0,0.188,15.744,2.584,0.089,13.952,4B,910507,8383.0,52275.819,299.55,-44.88,354.67,-30.19,0.68,138.27,N,N,2448383.5,1991-05-07 14:31:15.819,44729.695,True
12,GRB 910509,1991-05-09,339.24999999999994,38.26,1991-05-09 03:03:30.667,339.25,38.26,0.0,,171.0,1.8445900000000002e-07,Below Threshold,11010.667,False,910509,171.0,4.336e-07,3.2945e-08,4.4697e-07,2.7846e-08,7.8429e-07,5.1413e-08,1.7973e-07,2.5061e-07,1.077,0.329,0.704,0.646,0.157,0.768,0.602,0.078,1.472,4B,910509,8385.0,11010.667,339.25,38.26,95.83,-17.44,2.44,113.27,N,N,2448385.5,1991-05-09 03:03:30.667,44729.695,True
13,GRB 910511,1991-05-11,266.48,58.3,1991-05-11 02:11:47.691,266.48,58.3,0.0,,179.0,1.1144140000000001e-07,Below Threshold,7907.691,False,910511,179.0,2.5648e-07,7.7966e-09,2.7782e-07,9.7845e-09,5.0439e-07,1.9354e-08,7.5724e-08,1.3397e-07,5.249,0.369,1.984,4.736,0.178,2.048,2.5,0.071,2.304,4B,910511,8387.0,7907.691,266.48,58.3,86.76,31.32,1.66,87.32,N,N,2448387.5,1991-05-11 02:11:47.691,44729.695,True
14,GRB 910517A,1991-05-17,113.57999999999998,49.17,1991-05-17 10:48:47.211,113.58,49.17,0.0,,204.0,2.098173e-07,Below Threshold,38927.211,False,910517B,204.0,1.4705e-08,6.5476e-09,5.5198e-08,8.2568e-09,5.3717e-07,2.2567e-08,1.4911e-06,2.2728e-07,0.708,0.233,1.152,0.674,0.114,1.024,0.513,0.056,1.344,4B,910517B,8393.0,38927.211,113.58,49.17,169.05,26.96,3.64,118.65,N,N,2448393.5,1991-05-17 10:48:47.211,44729.695,True
15,GRB 910518B,1991-05-18,249.02,-11.77,1991-05-18 14:55:25.803,249.02,-11.77,0.0,,211.0,1.5182300000000002e-07,Below Threshold,53725.803,False,910518B,211.0,3.6627e-07,2.5008e-08,3.9705e-07,2.7062e-08,7.5491e-07,5.3728e-08,0.0,4.3362e-07,0.7,0.242,2.176,0.507,0.116,2.24,0.466,0.057,2.944,4B,910518B,8394.0,53725.803,249.02,-11.77,5.06,23.09,3.22,91.8,N,N,2448394.5,1991-05-18 14:55:25.803,44729.695,True
16,GRB 910521A,1991-05-21,108.92999999999998,-33.75,1991-05-21 05:14:37.099,108.93,-33.75,0.0,,214.0,1.25959e-07,Below Threshold,18877.099,False,910521B,214.0,4.0552e-07,2.2523e-08,4.4031e-07,2.1646e-08,4.1376e-07,5.4889e-08,0.0,3.0986e-07,0.982,0.251,0.0,0.752,0.121,12.48,0.649,0.06,12.544,4B,910521B,8397.0,18877.099,108.93,-33.75,245.81,-10.08,6.22,133.21,N,N,2448397.5,1991-05-21 05:14:37.099,44729.695,True
17,GRB 910522,1991-05-22,137.71999999999997,-50.89,1991-05-22 12:12:09.707,137.72,-50.89,0.0,,219.0,3.25871e-06,Below Threshold,43929.707,False,910522,219.0,3.0342e-06,5.3143e-08,4.2219e-06,4.0734e-08,1.0534e-05,8.7486e-08,1.4797e-05,7.2386e-07,20.133,0.637,115.2,18.063,0.302,115.264,13.069,0.13,115.328,4B,910522,8398.0,43929.707,137.72,-50.89,271.74,-1.89,0.61,142.93,N,N,2448398.5,1991-05-22 12:12:09.707,44729.695,True
18,GRB 910523A,1991-05-23,106.98999999999998,0.3611111111111111,1991-05-23 19:03:24.523,106.99,0.36,0.001,,222.0,7.128910000000001e-07,Below Threshold,68604.523,False,910523,222.0,7.8081e-07,2.3233e-08,1.0401e-06,2.5256e-08,2.7646e-06,6.8917e-08,2.5434e-06,5.118e-07,4.538,0.364,68.544,3.99,0.174,68.672,3.005,0.08,68.736,4B,910523,8399.0,68604.523,106.99,0.36,214.49,3.84,1.28,131.07,N,N,2448399.5,1991-05-23 19:03:24.523,44729.695,True
19,GRB 910523B,1991-05-23,352.9599999999999,24.89,1991-05-23 23:38:49.067,352.96,24.89,0.0,,223.0,2.8415200000000004e-08,Below Threshold,85129.067,False,910523B,223.0,5.1747e-08,1.1111e-08,6.4875e-08,1.4638e-08,1.6753e-07,3.3177e-08,0.0,2.0308e-07,0.633,0.241,-0.384,0.457,0.117,0.0,0.374,0.057,0.576,4B,910523B,8399.0,85129.067,352.96,24.89,100.92,-34.56,8.14,139.3,N,N,2448399.5,1991-05-23 23:38:49.067,44729.695,True
20,GRB 910525,1991-05-25,216.03,-62.82,1991-05-25 19:26:27.947,216.03,-62.82,0.0,,226.0,3.9449300000000005e-06,Below Threshold,69987.947,False,910525,226.0,2.1662e-06,4.2974e-08,3.2057e-06,3.4072e-08,9.4294e-06,8.3599e-08,2.4648e-05,1.3041e-06,1.307,0.238,47.232,1.298,0.118,30.4,1.09,0.058,47.232,4B,910525,8401.0,69987.947,216.03,-62.82,313.29,-1.83,0.95,72.06,N,N,2448401.5,1991-05-25 19:26:27.947,44729.695,True
21,GRB 910528,1991-05-28,240.59,43.97,1991-05-28 21:26:55.339,240.59,43.97,0.0,,235.0,2.96343e-07,Below Threshold,77215.339,False,910528,235.0,1.513e-07,1.6989e-08,2.1635e-07,1.812e-08,9.7628e-07,6.5089e-08,1.6195e-06,3.5283e-07,0.719,0.244,1.536,0.552,0.121,1.664,0.405,0.058,2.432,4B,910528,8404.0,77215.339,240.59,43.97,69.65,48.37,2.98,146.78,N,N,2448404.5,1991-05-28 21:26:55.339,44729.695,True
22,GRB 910529,1991-05-29,205.43,-27.4,1991-05-29 17:36:00.875,205.43,-27.4,0.0,,237.0,9.12966e-08,Below Threshold,63360.875,False,910529,237.0,6.7389e-08,1.2327e-08,8.2897e-08,1.4072e-08,3.8104e-07,2.7795e-08,3.8164e-07,2.955e-07,0.967,0.252,-0.128,0.825,0.123,-0.064,0.639,0.061,0.768,4B,910529,8405.0,63360.875,205.43,-27.4,316.43,34.15,3.32,130.49,N,N,2448405.5,1991-05-29 17:36:00.875,44729.695,True
23,GRB 910601,1991-06-01,310.11999999999995,32.34,1991-06-01 19:22:14.507,310.12,32.34,0.0,,249.0,1.5026690000000002e-05,Above Threshold,69734.507,False,910601,249.0,6.4429e-06,3.6007e-08,1.2132e-05,3.7487e-08,4.2087e-05,8.5406e-08,8.9605e-05,5.371e-07,35.696,0.814,21.312,34.621,0.403,21.376,31.66,0.19,22.08,4B,910601,8408.0,69734.507,310.12,32.34,73.92,-5.77,0.17,109.62,N,N,2448408.5,1991-06-01 19:22:14.507,44729.695,True
24,GRB 910602B,1991-06-02,142.76000000000002,53.99,1991-06-02 22:55:01.035,142.76,53.99,0.0,,257.0,3.673656e-06,Below Threshold,82501.035,False,910602,257.0,7.9986e-07,1.8309e-08,1.2911e-06,2.5601e-08,4.1876e-06,6.2867e-08,3.0458e-05,9.1037e-07,1.866,0.287,1.088,1.711,0.141,1.28,1.493,0.069,1.28,4B,910602,8409.0,82501.035,142.76,53.99,162.39,44.79,2.06,95.7,N,N,2448409.5,1991-06-02 22:55:01.035,44729.695,True
25,GRB 910607A,1991-06-07,78.75999999999999,-9.36,1991-06-07 00:12:07.659,78.76,-9.36,0.0,,288.0,5.443e-07,Below Threshold,727.659,False,910607B,288.0,3.0921e-07,2.4349e-08,3.1707e-07,2.1023e-08,5.4802e-07,1.1593e-06,4.2687e-06,1.1593e-06,0.659,0.204,-1.408,0.519,0.101,-1.216,0.397,0.05,-1.024,4B,910607B,8414.0,727.659,78.76,-9.36,210.45,-25.64,4.04,160.88,N,N,2448414.5,1991-06-07 00:12:07.659,44729.695,True
26,GRB 910612,1991-06-12,337.06999999999994,15.42,1991-06-12 08:49:15.883,337.07,15.42,0.0,,332.0,4.021680000000001e-07,Below Threshold,31755.883,False,910612,332.0,5.1098e-07,1.6855e-08,8.879e-07,1.7012e-08,1.9133e-06,5.0136e-08,7.095e-07,3.029e-07,1.238,0.225,3.264,1.188,0.11,3.072,1.127,0.054,3.264,4B,910612,8419.0,31755.883,337.07,15.42,79.39,-35.08,1.11,140.82,N,N,2448419.5,1991-06-12 08:49:15.883,44729.695,True
27,GRB 910614A,1991-06-14,174.74999999999997,-12.95,1991-06-14 01:54:24.491,174.75,-12.95,0.0,,351.0,3.49984e-06,Below Threshold,6864.491,False,910614B,351.0,3.6229e-06,6.4732e-08,3.799e-06,5.7367e-08,9.1375e-06,1.5328e-07,1.8439e-05,1.4465e-06,1.45,0.258,41.792,1.226,0.126,41.92,1.22,0.062,42.24,4B,910614B,8421.0,6864.491,174.75,-12.95,276.96,46.23,1.95,92.05,N,N,2448421.5,1991-06-14 01:54:24.491,44729.695,True
28,GRB 910619,1991-06-19,21.17,-36.57,1991-06-19 14:14:32.811,21.17,-36.57,0.0,,394.0,7.19815e-06,Below Threshold,51272.811,False,910619,394.0,5.9717e-06,5.6132e-08,6.8778e-06,4.6539e-08,2.434e-05,1.4209e-07,3.4792e-05,1.2239e-06,5.105,0.376,23.232,4.777,0.181,23.296,4.056,0.086,23.616,4B,910619,8426.0,51272.811,21.17,-36.57,268.28,-78.22,0.79,113.79,N,N,2448426.5,1991-06-19 14:14:32.811,44729.695,True
29,GRB 910620A,1991-06-20,67.91999999999999,22.5,1991-06-20 05:37:30.411,67.92,22.5,0.0,,398.0,5.95003e-07,Below Threshold,20250.411,False,910620,398.0,6.2871e-07,2.3534e-08,9.1102e-07,2.8172e-08,2.3802e-06,7.1682e-08,2.0301e-06,4.2622e-07,2.031,0.382,0.448,1.714,0.186,0.448,1.536,0.092,1.216,4B,910620,8427.0,20250.411,67.92,22.5,175.4,-17.25,1.75,132.55,N,N,2448427.5,1991-06-20 05:37:30.411,44729.695,True
30,GRB 910620B,1991-06-20,65.80999999999999,65.97,1991-06-20 18:22:48.427,65.81,65.97,0.0,,401.0,1.99974e-08,Below Threshold,66168.427,False,910620B,401.0,2.2569e-08,5.9371e-09,4.2382e-08,6.3926e-09,1.0128e-07,2.086e-08,3.3743e-08,1.3858e-07,0.418,0.24,-1.024,0.333,0.115,-1.024,0.24,0.056,-0.512,4B,910620B,8427.0,66168.427,65.81,65.97,142.3,11.43,9.78,124.25,N,N,2448427.5,1991-06-20 18:22:48.427,44729.695,True
31,GRB 910621A,1991-06-21,326.86999999999995,-8.44,1991-06-21 01:57:17.547,326.87,-8.44,0.0,,404.0,5.22428e-07,Below Threshold,7037.547,False,910621B,404.0,7.2018e-07,2.1901e-08,1.001e-06,2.507e-08,1.8912e-06,4.552e-08,1.6119e-06,5.1256e-07,1.218,0.23,34.112,1.006,0.111,34.24,0.827,0.054,34.944,4B,910621B,8428.0,7037.547,326.87,-8.44,47.33,-42.73,2.76,87.32,N,N,2448428.5,1991-06-21 01:57:17.547,44729.695,True
32,GRB 910621B,1991-06-21,226.92,-12.44,1991-06-21 16:16:44.907,226.92,-12.44,0.0,,408.0,6.440070000000001e-07,Below Threshold,58604.907,False,910621,408.0,9.7329e-07,3.2542e-08,1.8275e-06,4.1373e-08,3.0124e-06,1.0178e-07,6.2688e-07,6.3294e-07,1.575,0.269,0.64,1.435,0.131,23.104,1.208,0.063,23.168,4B,910621,8428.0,58604.907,226.92,-12.44,347.22,38.45,1.71,77.65,N,N,2448428.5,1991-06-21 16:16:44.907,44729.695,True
33,GRB 910622,1991-06-22,8.458333333333332,-32.8,1991-06-22 16:34:03.499,8.46,-32.8,0.001,,414.0,5.95712e-08,Below Threshold,59643.499,False,910622,414.0,1.5298e-07,1.6944e-08,1.1744e-07,1.3366e-08,2.59e-07,2.9751e-08,6.6292e-08,2.819e-07,1.051,0.228,-0.896,1.013,0.112,-0.768,0.641,0.052,-0.576,4B,910622,8429.0,59643.499,8.46,-32.8,335.75,-83.16,4.89,163.92,N,N,2448429.5,1991-06-22 16:34:03.499,44729.695,True
34,GRB 910627,1991-06-27,197.99,-2.48,1991-06-27 04:29:17.739,197.99,-2.48,0.0,,451.0,2.12582e-06,Below Threshold,16157.739,False,910627,451.0,3.0934e-06,3.1095e-08,4.2095e-06,3.6739e-08,7.0203e-06,8.0691e-08,6.935e-06,5.0757e-07,17.457,0.947,5.632,16.923,0.467,5.696,15.386,0.225,5.952,4B,910627,8434.0,16157.739,197.99,-2.48,313.23,59.98,0.28,89.39,N,N,2448434.5,1991-06-27 04:29:17.739,44729.695,True
35,GRB 910629A,1991-06-29,69.23999999999998,-58.42,1991-06-29 05:15:45.643,69.24,-58.42,0.0,,465.0,3.8446e-08,Below Threshold,18945.643,False,910629B,465.0,8.7162e-08,1.8716e-08,6.1648e-08,1.4299e-08,2.3565e-07,4.3579e-08,0.0,2.791e-07,0.315,0.216,0.768,0.309,0.105,0.768,0.244,0.052,-0.192,4B,910629B,8436.0,18945.643,69.24,-58.42,268.07,-40.28,26.56,77.69,N,N,2448436.5,1991-06-29 05:15:45.643,44729.695,True
36,GRB 910629B,1991-06-29,63.51999999999999,8.4,1991-06-29 19:55:48.267,63.52,8.4,0.0,,467.0,6.740400000000001e-07,Below Threshold,71748.267,False,910629,467.0,2.5973e-07,1.0524e-08,4.7777e-07,1.4907e-08,2.0835e-06,3.5647e-08,3.9194e-06,2.4044e-07,8.998,0.514,0.32,7.729,0.242,0.448,4.376,0.097,1.024,4B,910629,8436.0,71748.267,63.52,8.4,184.4,-29.44,2.97,138.37,N,N,2448436.5,1991-06-29 19:55:48.267,44729.695,True
37,GRB 910630,1991-06-30,304.69999999999993,35.13,1991-06-30 07:37:02.315,304.7,35.13,0.0,,469.0,1.068764e-06,Below Threshold,27422.315,False,910630,469.0,4.371e-07,1.5368e-08,6.2964e-07,1.8639e-08,2.673e-06,3.7598e-08,6.9479e-06,3.8578e-07,4.424,0.4,2.688,4.222,0.198,2.688,3.82,0.095,3.264,4B,910630,8437.0,27422.315,304.7,35.13,73.54,-0.48,0.91,75.85,N,N,2448437.5,1991-06-30 07:37:02.315,44729.695,True
38,GRB 910701,1991-07-01,61.34999999999999,-53.42,1991-07-01 03:51:39.371,61.35,-53.42,0.0,,472.0,3.98635e-07,Below Threshold,13899.371,False,910701,472.0,9.1455e-07,9.4273e-08,1.0918e-06,7.7908e-08,1.98e-06,2.3103e-07,0.0,1.863e-06,1.395,0.434,-1.6,0.852,0.207,-1.536,0.681,0.102,-0.832,4B,910701,8438.0,13899.371,61.35,-53.42,263.08,-45.86,11.08,73.67,N,N,2448438.5,1991-07-01 03:51:39.371,44729.695,True
