SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Trigger,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,mapped_burst_id
GRB 910725B,1991-07-25,273.17999999999995,14.13,577.0,1991-07-25 13:12:06.507,273.18,14.13,0.0,,910725B
GRB 910730A,1991-07-30,249.54,-75.22,591.0,1991-07-30 04:18:18.859,249.54,-75.22,0.0,,910730B
GRB 910730C,1991-07-30,313.88,16.93,594.0,1991-07-30 22:27:14.155,313.88,16.93,0.0,,910730
GRB 910802B,1991-08-02,199.57,-53.42,606.0,1991-08-02 15:21:16.651,199.57,-53.42,0.0,,910802B
GRB 910805,1991-08-05,313.27,-51.3,630.0,1991-08-05 10:41:25.611,313.27,-51.3,0.0,,910805
GRB 910807,1991-08-07,153.84999999999997,6.49,647.0,1991-08-07 07:20:32.811,153.85,6.49,0.0,,910807
GRB 910809A,1991-08-09,237.39,38.82,658.0,1991-08-09 00:58:25.771,237.39,38.82,0.0,,910809C
GRB 910809B,1991-08-09,195.43,19.37,659.0,1991-08-09 06:15:00.203,195.43,19.37,0.0,,910809B
GRB 910809C,1991-08-09,281.96,64.74,660.0,1991-08-09 19:35:45.515,281.96,64.74,0.0,,910809
GRB 910813,1991-08-13,39.41,-64.49,673.0,1991-08-13 13:36:24.683,39.41,-64.49,0.0,,910813
GRB 910814A,1991-08-14,58.00999999999999,45.22,676.0,1991-08-14 11:09:40.331,58.01,45.22,0.0,,910814C
GRB 910814C,1991-08-14,346.35,30.43,678.0,1991-08-14 19:14:33.003,346.35,30.43,0.0,,910814
GRB 910815,1991-08-15,142.76999999999998,-36.05,680.0,1991-08-15 09:30:47.275,142.77,-36.05,0.0,,910815
GRB 910816A,1991-08-16,221.03,-59.09,685.0,1991-08-16 12:12:01.579,221.03,-59.09,0.0,,910816B
GRB 910816B,1991-08-16,172.59999999999997,1.4800000000000002,686.0,1991-08-16 14:50:43.435,172.6,1.48,0.0,,910816
GRB 910817,1991-08-17,90.11,27.08,690.0,1991-08-17 17:00:25.579,90.11,27.08,0.0,,910817
GRB 910818,1991-08-18,268.34,-27.09,692.0,1991-08-18 13:44:45.931,268.34,-27.09,0.0,,910818
GRB 910821,1991-08-21,292.46,-63.52,704.0,1991-08-21 01:42:38.827,292.46,-63.52,0.0,,910821
GRB 910822,1991-08-22,269.86999999999995,43.74,711.0,1991-08-22 13:50:58.795,269.87,43.74,0.0,,910822
GRB 910823,1991-08-23,105.64999999999998,8.06,717.0,1991-08-23 21:01:24.459,105.65,8.06,0.0,,910823
GRB 910829,1991-08-29,59.03,22.96,741.0,1991-08-29 22:39:42.699,59.03,22.96,0.0,,910829
GRB 910902,1991-09-02,299.08,-7.7,752.0,1991-09-02 22:55:35.019,299.08,-7.7,0.0,,910902
GRB 910903,1991-09-03,238.34,13.1,753.0,1991-09-03 09:45:00.267,238.34,13.1,0.0,,910903
GRB 910904,1991-09-04,354.15,-17.09,755.0,1991-09-04 15:34:50.155,354.15,-17.09,0.0,,910904
GRB 910905,1991-09-05,359.99999999999994,-81.05,761.0,1991-09-05 23:48:55.275,360.0,-81.05,0.0,,910905
GRB 910907,1991-09-07,136.54999999999998,-28.23,764.0,1991-09-07 01:05:22.603,136.55,-28.23,0.0,,910907
GRB 910908,1991-09-08,226.1,-15.53,773.0,1991-09-08 11:00:35.051,226.1,-15.53,0.0,,910908
GRB 910914,1991-09-14,170.30999999999997,-33.4,795.0,1991-09-14 09:39:57.675,170.31,-33.4,0.0,,910914
GRB 910923,1991-09-23,52.52999999999999,-22.57,815.0,1991-09-23 18:23:26.315,52.53,-22.57,0.0,,910923
GRB 910925,1991-09-25,265.67,-29.26,816.0,1991-09-25 03:35:06.091,265.67,-29.26,0.0,,910925
GRB 910926A,1991-09-26,157.2,-1.36,820.0,1991-09-26 04:00:40.043,157.2,-1.36,0.0,,910926
GRB 910926B,1991-09-26,346.06999999999994,21.360000000000003,824.0,1991-09-26 18:25:56.843,346.07,21.36,0.0,,910926B
GRB 910927B,1991-09-27,50.16,-39.65,829.0,1991-09-27 23:26:52.779,50.16,-39.65,0.0,,910927
GRB 910930A,1991-09-30,93.42999999999998,44.51,840.0,1991-09-30 07:24:22.699,93.43,44.51,0.0,,910930B
GRB 910930B,1991-09-30,131.79999999999998,-20.62,841.0,1991-09-30 11:55:29.771,131.8,-20.62,0.0,,910930
GRB 911004,1991-10-04,349.73999999999995,62.95,867.0,1991-10-04 01:27:09.739,349.74,62.95,0.0,,911004
GRB 911005,1991-10-05,235.8,14.73,869.0,1991-10-05 07:37:44.811,235.8,14.73,0.0,,911005
GRB 911016B,1991-10-16,300.06,-4.16,907.0,1991-10-16 11:01:34.187,300.06,-4.16,0.0,,911016
GRB 911022,1991-10-22,123.91,70.33999999999999,914.0,1991-10-22 04:13:57.995,123.91,70.34,0.0,,911022
GRB 911024,1991-10-24,208.65,38.36,927.0,1991-10-24 20:10:06.315,208.65,38.36,0.0,,911024
GRB 911026,1991-10-26,74.67999999999999,-22.27,938.0,1991-10-26 13:07:00.843,74.68,-22.27,0.0,,911026
GRB 911027B,1991-10-27,127.21999999999998,74.11999999999999,946.0,1991-10-27 10:31:50.379,127.22,74.12,0.0,,911027B
GRB 911031A,1991-10-31,284.54,21.34,973.0,1991-10-31 09:36:20.523,284.54,21.34,0.0,,911031
GRB 911031B,1991-10-31,298.89,-28.89,974.0,1991-10-31 12:19:17.227,298.89,-28.89,0.0,,911031B
GRB 911104,1991-11-04,212.45,35.03,999.0,1991-11-04 15:04:41.707,212.45,35.03,0.0,,911104
GRB 911111A,1991-11-11,218.09,10.87,1039.0,1991-11-11 03:59:43.723,218.09,10.87,0.0,,911111C
GRB 911111B,1991-11-11,63.96999999999999,-51.37,1042.0,1991-11-11 14:37:18.699,63.97,-51.37,0.0,,911111
GRB 911111C,1991-11-11,121.11,-21.28,1046.0,1991-11-11 22:19:47.243,121.11,-21.28,0.0,,911111B
GRB 911118A,1991-11-18,167.02999999999997,-20.85,1085.0,1991-11-18 18:57:38.027,167.03,-20.85,0.0,,911118
GRB 911118B,1991-11-18,253.48999999999992,-5.92,1086.0,1991-11-18 23:39:19.531,253.49,-5.92,0.0,,911118B
GRB 911123B,1991-11-23,22.809999999999995,30.34,1114.0,1991-11-23 08:15:33.035,22.81,30.34,0.0,,911123
GRB 911127A,1991-11-27,269.14,49.73,1122.0,1991-11-27 04:22:08.235,269.14,49.73,0.0,,911127
GRB 911127B,1991-11-27,310.13,24.55,1123.0,1991-11-27 07:01:20.107,310.13,24.55,0.0,,911127C
GRB 911127C,1991-11-27,160.97,-74.58999999999999,1125.0,1991-11-27 23:08:34.283,160.97,-74.59,0.0,,911127B
GRB 911128,1991-11-28,338.64,-10.36,1126.0,1991-11-28 08:42:43.947,338.64,-10.36,0.0,,911128
GRB 911202A,1991-12-02,172.49999999999997,-22.84,1141.0,1991-12-02 20:28:49.707,172.5,-22.84,0.0,,911202
GRB 911205,1991-12-05,103.97,-25.85,1148.0,1991-12-05 23:04:41.003,103.97,-25.85,0.0,,911205
GRB 911207,1991-12-07,307.79,29.3,1150.0,1991-12-07 09:50:45.355,307.79,29.3,0.0,,911207
GRB 911208A,1991-12-08,112.67999999999998,-21.14,1152.0,1991-12-08 00:05:45.707,112.68,-21.14,0.0,,911208
GRB 911208B,1991-12-08,38.14999999999999,-53.11,1153.0,1991-12-08 21:05:01.547,38.15,-53.11,0.0,,911208B
GRB 911209B,1991-12-09,46.11,-31.3,1156.0,1991-12-09 16:22:42.539,46.11,-31.3,0.0,,911209C
GRB 911209C,1991-12-09,259.98,-45.080000000000005,1157.0,1991-12-09 18:35:57.867,259.98,-45.08,0.0,,911209
GRB 911210,1991-12-10,294.86999999999995,-19.4,1159.0,1991-12-10 21:05:47.371,294.87,-19.4,0.0,,911210
GRB 911213,1991-12-13,209.39999999999995,-45.74,1167.0,1991-12-13 20:35:37.195,209.4,-45.74,0.0,,911213
GRB 911217A,1991-12-17,6.958333333333333,22.67,1190.0,1991-12-17 08:22:05.675,6.96,22.67,0.002,,911217
GRB 911217B,1991-12-17,28.89,0.0166666666666666,1192.0,1991-12-17 22:39:58.059,28.89,0.03,0.013,,911217B
GRB 911219A,1991-12-19,354.24999999999994,-0.16,1196.0,1991-12-19 09:02:14.123,354.25,-0.16,0.0,,911219B
GRB 911219B,1991-12-19,218.65,-4.83,1197.0,1991-12-19 21:57:18.059,218.65,-4.83,0.0,,911219
GRB 911221,1991-12-21,215.82,-42.72,1200.0,1991-12-21 22:03:25.675,215.82,-42.72,0.0,,911221
GRB 911223,1991-12-23,336.9899999999999,-50.42,1204.0,1991-12-23 05:36:57.579,336.99,-50.42,0.0,,911223
GRB 911224C,1991-12-24,342.04,-17.71,1213.0,1991-12-24 15:35:33.227,342.04,-17.71,0.0,,911224C
GRB 911225A,1991-12-25,334.61,26.17,1218.0,1991-12-25 09:05:34.827,334.61,26.17,0.0,,911225
GRB 911225B,1991-12-25,253.31,-34.1,1221.0,1991-12-25 17:08:37.483,253.31,-34.1,0.0,,911225B
GRB 911227,1991-12-27,350.44,-68.25,1235.0,1991-12-27 01:05:53.259,350.44,-68.25,0.0,,911227
GRB 911228,1991-12-28,280.19,43.69,1244.0,1991-12-28 17:22:06.059,280.19,43.69,0.0,,911228
GRB 920105,1992-01-05,335.4,-53.8,1279.0,1992-01-05 17:41:17.035,335.4,-53.8,0.0,,920105
GRB 920110A,1992-01-10,58.07999999999999,-20.8,1288.0,1992-01-10 09:17:58.251,58.08,-20.8,0.0,,920110
GRB 920110C,1992-01-10,357.7099999999999,10.55,1291.0,1992-01-10 22:21:38.987,357.71,10.55,0.0,,920110B
GRB 920114,1992-01-14,244.13,63.89,1298.0,1992-01-14 17:23:46.411,244.13,63.89,0.0,,920114
GRB 920116B,1992-01-16,152.79,-81.32,1303.0,1992-01-16 18:30:34.859,152.79,-81.32,0.0,,920116
GRB 920120,1992-01-20,300.30999999999995,-82.75,1306.0,1992-01-20 22:30:39.979,300.31,-82.75,0.0,,920120
GRB 920127,1992-01-27,322.36999999999995,-29.26,1318.0,1992-01-27 21:26:57.387,322.37,-29.26,0.0,,920127
GRB 920203,1992-02-03,269.7399999999999,-15.26,1346.0,1992-02-03 15:36:47.595,269.74,-15.26,0.0,,920203
GRB 920209B,1992-02-09,288.23,60.75,1382.0,1992-02-09 21:40:44.779,288.23,60.75,0.0,,920209B
GRB 920210A,1992-02-10,318.78,-40.43,1384.0,1992-02-10 02:15:54.987,318.78,-40.43,0.0,,920210C
GRB 920210B,1992-02-10,150.97,48.36,1385.0,1992-02-10 09:53:43.787,150.97,48.36,0.0,,920210
GRB 920212,1992-02-12,38.18999999999999,14.1,1390.0,1992-02-12 04:13:46.475,38.19,14.1,0.0,,920212
GRB 920214,1992-02-14,39.67,7.13,1396.0,1992-02-14 17:16:02.539,39.67,7.13,0.0,,920214
GRB 920216B,1992-02-16,156.91999999999996,1.1700000000000002,1406.0,1992-02-16 22:18:20.331,156.92,1.17,0.0,,920216
GRB 920218B,1992-02-18,140.41999999999996,52.96,1416.0,1992-02-18 11:03:11.915,140.42,52.96,0.0,,920218B
GRB 920218C,1992-02-18,39.47,27.47,1419.0,1992-02-18 18:42:22.955,39.47,27.47,0.0,,920218
GRB 920221,1992-02-21,184.14,48.48,1425.0,1992-02-21 06:14:32.363,184.14,48.48,0.0,,920221
GRB 920224A,1992-02-24,169.64999999999998,-66.78,1432.0,1992-02-24 02:43:38.731,169.65,-66.78,0.0,,920224
GRB 920226B,1992-02-26,271.24999999999994,17.46,1440.0,1992-02-26 08:15:28.491,271.25,17.46,0.0,,920226
GRB 920227A,1992-02-27,68.35999999999999,66.83999999999999,1443.0,1992-02-27 06:00:50.603,68.36,66.84,0.0,,920227
GRB 920227B,1992-02-27,241.01,10.65,1446.0,1992-02-27 17:46:16.043,241.01,10.65,0.0,,920227C
GRB 920227C,1992-02-27,202.28,50.56,1447.0,1992-02-27 20:50:00.427,202.28,50.56,0.0,,920227B
GRB 920228,1992-02-28,147.93999999999997,25.06,1449.0,1992-02-28 14:59:06.987,147.94,25.06,0.0,,920228
GRB 920229A,1992-02-29,333.67,-5.25,1452.0,1992-02-29 15:04:08.043,333.67,-5.25,0.0,,920229B
GRB 920301,1992-03-01,344.17999999999995,16.83,1456.0,1992-03-01 11:34:22.059,344.18,16.83,0.0,,920301
GRB 920302A,1992-03-02,115.28,-58.92,1458.0,1992-03-02 00:14:44.075,115.28,-58.92,0.0,,920302B
GRB 920307,1992-03-07,355.56999999999994,-45.15,1467.0,1992-03-07 00:18:04.011,355.57,-45.15,0.0,,920307
GRB 920308A,1992-03-08,84.44,65.25,1468.0,1992-03-08 04:55:45.259,84.44,65.25,0.0,,920308
GRB 920310,1992-03-10,105.84999999999998,-5.91,1472.0,1992-03-10 14:03:14.411,105.85,-5.91,0.0,,920310
GRB 920318A,1992-03-18,254.5,-26.31,1492.0,1992-03-18 10:57:13.835,254.5,-26.31,0.0,,920318
GRB 920323,1992-03-23,337.89,-34.66,1515.0,1992-03-23 17:38:55.723,337.89,-34.66,0.0,,920323
GRB 920331B,1992-03-31,264.3,30.55,1533.0,1992-03-31 18:15:48.203,264.3,30.55,0.0,,920331
GRB 920405,1992-04-05,356.99999999999994,34.13,1540.0,1992-04-05 21:41:30.859,357.0,34.13,0.0,,920405
GRB 920406,1992-04-06,289.91,-57.69,1541.0,1992-04-06 02:44:13.547,289.91,-57.69,0.0,,920406
GRB 920408C,1992-04-08,306.69,33.88,1546.0,1992-04-08 17:33:45.195,306.69,33.88,0.0,,920408
GRB 920413,1992-04-13,109.73,-48.89,1551.0,1992-04-13 22:55:31.946,109.73,-48.89,0.0,,920413
GRB 920414A,1992-04-14,299.99999999999994,-65.15,1552.0,1992-04-14 18:37:56.714,300.0,-65.15,0.0,,920414B
GRB 920419A,1992-04-19,149.72,-18.25,1558.0,1992-04-19 10:54:40.234,149.72,-18.25,0.0,,920419B
GRB 920419B,1992-04-19,85.52,63.29,1559.0,1992-04-19 20:06:46.634,85.52,63.29,0.0,,920419
GRB 920420,1992-04-20,320.51,13.45,1561.0,1992-04-20 06:52:22.506,320.51,13.45,0.0,,920420
GRB 920423B,1992-04-23,153.89999999999998,22.16,1567.0,1992-04-23 22:06:41.258,153.9,22.16,0.0,,920423B
GRB 920430B,1992-04-30,37.61,-8.22,1574.0,1992-04-30 16:02:50.602,37.61,-8.22,0.0,,920430
GRB 920502B,1992-05-02,154.82,45.42,1578.0,1992-05-02 17:26:40.490,154.82,45.42,0.0,,920502
GRB 920502C,1992-05-02,131.98999999999998,-84.96000000000001,1579.0,1992-05-02 19:05:03.850,131.99,-84.96,0.0,,920502C
GRB 920503A,1992-05-03,146.76,41.98,1580.0,1992-05-03 02:50:29.098,146.76,41.98,0.0,,920503
GRB 920505,1992-05-05,45.36999999999999,69.94,1586.0,1992-05-05 21:54:49.578,45.37,69.94,0.0,,920505
GRB 920509,1992-05-09,341.22,-82.43,1590.0,1992-05-09 11:19:14.794,341.22,-82.43,0.0,,920509
GRB 920511A,1992-05-11,125.04,-48.96,1601.0,1992-05-11 06:27:25.034,125.04,-48.96,0.0,,920511
GRB 920511C,1992-05-11,24.33,-37.01,1604.0,1992-05-11 22:28:31.978,24.33,-37.01,0.0,,920511B
GRB 920513,1992-05-13,211.16,-44.77,1606.0,1992-05-13 16:52:59.114,211.16,-44.77,0.0,,920513
GRB 920517B,1992-05-17,204.1,-16.47,1609.0,1992-05-17 03:17:54.922,204.1,-16.47,0.0,,920517
GRB 920518,1992-05-18,247.3,33.9,1611.0,1992-05-18 05:16:00.746,247.3,33.9,0.0,,920518
GRB 920520A,1992-05-20,190.03,-51.94,1614.0,1992-05-20 07:40:58.090,190.03,-51.94,0.0,,920520
GRB 920524,1992-05-24,157.51999999999998,29.22,1623.0,1992-05-24 03:51:42.122,157.52,29.22,0.0,,920524
GRB 920525B,1992-05-25,299.62999999999994,-42.05,1625.0,1992-05-25 03:27:01.738,299.63,-42.05,0.0,,920525
