NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID DELAY MAG XIMG YIMG
2 0.077 243.2204 0.4419552 25.34 25.84002 2.790754 0.5024768 -50.36905 0.04875569 121.6718 -0.09632638 0.7933912 3 97616 28.66659,0.0 0.5000198656452615,-0.5823804269362175 -0.1612458,-0.8468948 -0.5259006,2.179315
2 0.228 96.3829 0.4477346 23.88 25.10775 0.2401542 0.225328 -74.26721 0.09601455 -165.4314 -0.06250045 0.07164603 3 101711 0.0,1.329019 -0.9294354279598005,1.2277509482590334 -0.1537588,0.02053488 0.1444926,-0.0207216
2 0.209 189.6706 0.4477346 24.83 26.10168 1.059198 0.3574545 -14.60844 0.04244364 -164.6287 0.3097862 -0.2749306 4 101581 0.0,21.99911 -0.653645494711454,1.27167597276101 0.8161257,-0.07111476 -0.4883992,0.09013802
2 0.216 266.0725 0.4535372 26.13 26.02589 1.996014 0.257478 139.6975 0.03583445 83.21592 -0.4850357 0.1777342 3 104898 54.46973,0.0 -0.10410928442075043,-0.9769276704265685 0.4890408,-1.333429 -0.0937536,0.7202952
2 0.216 150.6607 0.4564471 24.12 24.38337 0.6488862 0.2605611 52.83821 0.03630779 -141.5972 -0.1699284 -0.02220166 1 106583 0.0,5.977739 -0.9116958930458074,0.26337121445616124 -0.4788521,0.1480203 -0.1794651,-0.0118813
2 0.393 152.4053 0.4564471 25.48 25.00403 0.1535343 0.3488984 -57.14877 0.03101513 -79.47165 -0.00390478 -0.01995906 2 107374 0.0,1.410894 -1.067388127255693,-0.4759693313822818 0.01982362,0.03711063 -0.1066163,0.04594168
2 0.223 166.7247 0.4593629 25.19 24.17855 0.8158141 0.2466266 132.5252 0.03765807 167.3992 0.09352635 -0.09335766 3 108236 0.0,5.918652 -1.011452756585982,-1.6425956278453813 0.4125193,-0.1713719 -0.3566958,0.2130618
2 0.293 197.697 0.4593629 24.83 24.33447 0.689482 0.1225645 57.85744 0.0550752 -101.5072 -0.09774337 0.01562457 5 108670 0.0,7.203265 -2.2163180391407127,-0.49553442612225773 -0.4414991,0.247624 -0.08442916,-0.06218529
2 0.179 221.8196 0.4622846 23.98 24.19817 1.637076 0.2355017 31.08159 0.05349142 123.065 -0.4789112 -0.09700245 2 109704 0.0,29.37935 -0.993088832786077,0.218174745637786 -1.265515,0.345646 -0.247035,0.04310095
2 0.2 237.684 0.4622846 25.17 25.91351 1.735293 0.2913303 179.0059 0.05976606 87.58329 -0.05888052 -0.5059527 3 109854 0.0,39.19857 -1.276433565191001,0.7435107698831123 -0.1908403,0.02888509 -1.396186,0.3251398
2 0.175 166.7247 0.4681454 24.23 25.55489 1.0349 0.398795 35.00444 0.02460268 -137.5864 0.377165 0.1928047 2 113143 0.0,15.41829 -0.522321473325025,1.324891559671467 0.8239188,-0.07716685 0.476051,-0.03293086
2 0.133 105.4387 0.4710847 24.24 25.0955 0.4023039 0.260581 157.8168 0.04879519 132.0299 -0.0829594 -0.09371857 2 114697 0.0,1.184231 -1.5860208546363266,0.8554997102745685 -0.2521274,0.04921561 -0.2008287,0.06570625
4 0.186 271.0192 0.4710847 25.19 23.32789 2.545407 0.2279936 46.0013 0.05023718 -6.706295 0.002728951 -0.01450185 2 115063 0.0,0.4165951,5.791825,4.562544 -1.9914987900253942,-2.019593939639118,-1.7079912317901216,-1.862110565625402 -1.091727,1.170544,-0.565459,0.6208094 -0.6602471,0.5064719,0.9845096,-0.9857117
2 0.279 153.1087 0.4769808 22.85 22.24806 0.488788 0.3050148 177.4589 0.03519562 95.23114 0.005923463 -0.05728691 1 119269 2.505012,0.0 -0.6019426708088291,-2.2189362189768906 -0.002727431,0.1391699 0.1900557,-0.2776823
2 0.299 197.697 0.4769808 23.28 24.99205 0.7910515 0.4901798 -161.0422 0.04833121 -93.25371 0.2182126 0.2516108 1 119403 0.0,27.12525 -0.5616498497363092,1.712050715512371 0.5194877,-0.02608087 0.5224398,-0.05037551
2 0.41 170.2159 0.4799377 24.34 25.31091 0.1894497 0.4378991 -119.6787 0.04469815 76.29956 -0.05472895 0.003832578 4 121616 0.0,4.05221 -1.0242720518933588,0.9709126161464666 -0.1432085,0.03959145 -0.06079461,-0.01104179
2 0.154 152.0548 0.4829005 24.48 24.85247 0.9179686 0.1365367 -35.41194 0.1134521 -165.9518 -0.1821196 -0.1657433 4 122113 0.0,6.530651 -0.9025597439737683,0.3724722562374708 -0.649393,0.1246416 -0.3548453,0.1386491
2 0.38 255.8586 0.4858693 23.79 25.06138 0.7328426 0.1631205 104.526 0.0454853 -21.97727 0.004226589 -0.2901429 5 125265 0.0,46.98707 -0.8280766382500568,1.2713775893833485 0.07768722,0.002736017 -0.6455889,0.08341084
2 0.205 92.68298 0.488844 24.79 24.37688 0.2823655 0.2456581 111.5417 0.06331944 -75.00235 -0.007917833 -0.05904382 2 126145 0.0,0.7922679 -0.8449682046857658,-0.4131167523371254 0.01423678,0.03294814 -0.2102477,0.07149715
2 0.22 266.0725 0.488844 24.73 25.53018 2.261254 0.398354 -118.4007 0.0345104 96.07821 -0.1266009 -0.8175295 3 126255 0.0,95.01477 -0.5749759274271085,0.8001776147461928 -0.4087437,-0.002294673 -1.947355,0.2770703
2 0.3 300.6076 0.4948113 24.72 25.50614 1.774784 0.3550748 -94.11743 0.08020103 161.5223 -0.4397287 -0.4033537 2 130624 0.0,103.3553 -1.071554919054685,0.786144983088523 -1.014955,0.2695758 -1.055205,0.1694731
2 0.111 67.29767 0.4948113 25.02 24.65159 0.1826757 0.002691825 -40.36322 0.07867258 -177.2592 0.003819695 0.031297 2 129328 0.1040925,0.0 -0.3684108096146925,-2.1178455227984965 -0.005187014,0.03948054 -0.06171337,0.1154171
2 0.26 101.1579 0.4978039 25.26 24.84418 0.2588048 0.01926563 -59.14276 0.04727401 80.99752 -0.03540324 0.03654781 3 132275 0.9131945,0.0 -0.4158228789622267,-1.352648192474304 0.05890763,-0.1023471 -0.05222484,0.1502026
2 0.252 176.6038 0.5008026 25.69 25.71303 0.854953 0.1454371 -169.9504 0.06561751 82.9524 0.159366 0.1597209 2 134132 12.30553,0.0 0.023028520549932388,-1.0102202700628842 -0.133339,0.4255917 -0.1439659,0.5029816
2 0.201 157.0363 0.5008026 24.77 23.75966 0.8236332 0.0882475 -16.12434 0.04141244 117.4082 -0.0353527 0.116064 3 133761 4.294807,0.0 -1.0103371595574893,-1.362316195118329 0.04480447,-0.2209133 -0.2833422,0.4962511
2 0.352 228.5599 0.5068178 24.96 25.46543 0.8566233 0.4538187 -141.8934 0.03209979 135.9926 0.2807529 0.1296183 3 138753 0.0,38.84432 -0.6221636865980966,0.5054283897858438 0.6523775,-0.1214095 0.3319789,-0.03552245
2 0.366 241.5461 0.5068178 22.75 24.00354 0.7201174 0.5703797 -104.4711 0.09344361 -136.9752 -0.179448 0.01823102 5 138812 0.0,25.47388 -0.8000243560293502,1.2535420560906805 -0.4950631,0.1548217 -0.3455218,-0.03533023
2 0.321 146.5548 0.5098344 25.37 25.79466 0.4407898 0.3191101 114.611 0.02741059 -109.0767 0.01658926 -0.1454977 2 140622 0.0,7.10184 -0.6871794224386994,0.42466373259222595 0.05355915,0.000473872 -0.3660729,0.07150863
2 0.301 173.3804 0.5098344 26.03 25.66443 0.6302971 0.2066353 35.57354 0.03945235 102.9871 -0.09089276 0.06015946 3 140493 6.383798,0.0 -0.3655659030647952,-1.9130961061303906 0.1644082,-0.3564483 -0.1246525,0.2302882
2 0.168 216.7704 0.5189207 24.54 25.7121 1.924802 0.2778326 -33.08645 0.1183344 13.67613 0.6102119 0.2361066 2 145492 0.0,39.94349 -0.6566117479742196,1.1720994190754321 1.6719,-0.1872376 0.3928166,-0.1056513
2 0.085 146.8926 0.5219616 25.25 26.01205 0.9567134 0.3129034 -49.94756 0.02780824 -115.3328 -0.2364883 -0.1428027 2 147195 0.0,3.364088 -1.6929863554083044,0.7620471091622044 -0.6537674,0.1662455 -0.3830048,0.109823
2 0.153 109.3956 0.5250085 25.07 24.24009 0.5078876 0.2439543 -3.17153 0.05622033 169.3382 0.1001721 0.006027001 2 149545 1.401182,0.0 -1.1567053579389326,-0.8299102824675273 -0.1445393,0.3626363 -0.03420525,-0.007321155
2 0.333 187.0682 0.5250085 25.16 24.739 0.6768242 0.4636336 -81.6625 0.02232792 31.01256 -0.07225381 0.1588864 3 150810 14.16577,0.0 -0.4210035533465678,-0.7202981889990494 0.1171336,-0.1524035 -0.1236986,0.4971401
2 0.303 174.9847 0.5311208 24.21 23.49402 0.6096472 0.2470748 168.7116 0.0587249 11.14591 -0.03069731 -0.03992591 1 154792 0.0,3.961165 -1.3560828510276215,-0.715977234911639 -0.4026676,0.07450833 -0.1172979,0.2621396
2 0.316 131.8257 0.5311208 24.31 25.00664 0.3942476 0.2668918 133.9413 0.113712 -148.2234 -0.1216576 -0.02072076 2 154892 0.0,4.793185 -0.8565012693539641,0.6966379047346998 -0.3245851,0.05960378 -0.07179669,0.01669108
2 0.203 185.3532 0.5341861 25.7 25.68671 1.208261 0.4498706 -16.4649 0.04870942 99.50036 0.2992227 -0.2165746 2 156207 0.0,18.60947 -0.6643852166326769,-0.013294542787684152 0.8065332,-0.1559022 -0.5528113,0.1776763
2 0.292 243.2204 0.5341861 25.65 25.16952 1.417771 0.3363138 0.7214284 0.0337655 132.4789 -0.213078 0.1633971 3 156846 33.44826,0.0 -0.4804781374515821,-0.968203988030608 0.234876,-0.9102831 -0.3765574,0.4593173
4 0.107 250.6109 0.5341861 26.09 23.95703 2.922191 0.2849022 48.23554 0.03189616 -74.75927 -0.1063679 -0.1388826 3 155656 0.0,9.114775,8.802241,8.537837 -1.4382897995308532,-2.1329724647720822,-2.3528665031710125,-2.9260217626708354 -0.9046349,1.246504,-0.41238,0.5561835 -1.362145,0.02848491,1.232541,1.168707
2 0.247 224.3882 0.5372575 24.76 25.56546 1.41047 0.3461858 -81.12235 0.04532732 -179.5717 -0.274981 -0.382936 2 158650 0.0,39.09773 -0.951166239122716,0.8054588084266707 -0.5828137,0.1755658 -1.021984,0.1672527
2 0.202 143.5489 0.5403351 24.75 24.40889 0.695388 0.2255734 131.7183 0.03372061 -137.3926 -0.1480533 0.03128339 3 160455 4.324408,0.0 -0.34110537264701085,-1.1980850417551316 0.1995155,-0.4796216 -0.01130289,0.1381538
2 0.301 142.5608 0.5403351 25.51 25.62141 0.4520663 0.1225835 -135.3116 0.03339618 -165.843 -0.04409011 0.09772336 3 161207 4.168125,0.0 0.11141084670301164,-1.6270124413014249 0.05494992,-0.1223451 -0.109217,0.3066321
4 0.213 196.336 0.5403351 25.65 24.75072 1.354164 0.4539989 82.57985 0.0479656 -60.40543 -0.06006511 0.007388426 3 160541 0.4643904,2.606465,5.514035,0.0 -1.2676737970182939,-0.899279060938988,-0.25337512267564954,-1.177802602196617 -0.1757863,-0.6024426,0.4842252,-0.1741479 -0.6615294,0.01438434,-0.03343087,0.6926339
2 0.355 247.7422 0.5403351 25.24 24.73917 1.271345 0.5034049 -106.7518 0.1075698 -118.516 -0.1098071 -0.2552603 4 161497 0.0,47.98183 -0.5008284664059918,-1.602803687346031 -0.376603,0.2580323 -0.8899859,0.2116294
2 0.445 354.8134 0.5434189 25.12 25.76181 1.147878 0.07718928 13.91258 0.02618679 -110.3248 -0.08644354 0.34729 3 163929 128.1892,0.0 0.6418078086126349,-1.085622033144237 0.05386131,-0.1660721 -0.2047365,0.9218752
2 0.053 229.6149 0.5465088 24.46 24.97647 2.802251 0.2599337 99.94634 0.02424464 50.77057 0.2869585 0.8641729 2 164026 0.0,18.87932 -0.7785517589554758,0.5164707171012244 0.6020325,-0.206863 2.255808,-0.4271568
2 0.284 238.7811 0.5465088 25.39 25.02627 1.29319 0.2828757 158.8363 0.06120164 113.7456 -0.1800527 -0.09001849 2 165309 0.0,22.00425 -1.4797410759395255,-0.3637337560314468 -0.8936878,0.3600112 0.0007253558,0.317868
2 0.135 118.8502 0.5465088 25.5 25.63712 0.6193366 0.5213122 26.38843 0.03256827 40.64529 0.1889215 0.02815079 3 164287 2.786935,0.0 0.13711899952817386,-0.5382325114182916 -0.1122767,0.4928796 0.02306539,0.1548367
2 0.442 93.11079 0.5496049 26.27 25.21479 0.08047445 0.3145333 -114.3831 0.03050561 7.097168 -0.007322373 -0.003544215 3 168304 0.0,0.228743 -1.3035843701132315,-1.0552104543892102 -0.03949515,0.03428743 -0.03488722,-0.0027583
2 0.341 276.6942 0.5527072 25.03 25.23299 1.622781 0.1852385 -27.76708 0.03809154 -56.10401 -0.3894414 0.2984495 1 170049 0.0,89.67482 -0.7781324212014902,0.2029920089911208 -1.028708,0.2374995 0.8235423,-0.1914134
2 0.201 323.5937 0.5527072 24.12 25.68676 3.339612 0.4259836 53.89792 0.06717909 -136.6688 0.4317206 -1.147233 2 169056 0.0,171.944 -0.7997348699605222,1.5667570588585518 -0.1244503,-0.2338074 -2.974403,0.3634184
4 0.315 199.5262 0.5527072 25.29 24.59277 1.035885 0.4438628 77.52269 0.1182072 -142.062 -0.02741172 -0.05069047 3 169886 0.0,7.777707,7.448122,5.527381 -0.8891617195269756,-0.4853537334716895,-0.6972342386725278,-1.3497759311331659 -0.2972209,0.3685393,-0.2832686,0.2171107 -0.5001749,-0.06204271,0.2317319,0.3990026
4 0.126 89.12509 0.5527072 24.94 24.30383 0.3670288 0.5357426 56.74381 0.05233075 5.382979 -0.01547222 -0.01441378 5 168625 0.0,0.2347259,0.2146282,0.1583033 -0.9204851607499367,-0.37573108272198263,-0.6361683732970391,-1.395529317718163 -0.1413506,0.1252037,-0.09147844,0.09862564 -0.1489515,-0.06110939,0.1102219,0.1287561
2 0.249 232.8091 0.5589305 25.95 25.1141 1.697789 0.446777 93.32036 0.03498358 -32.28942 0.04593857 -0.2669617 3 173841 0.0,26.35431 -0.8358960929529531,-2.8759538161172493 0.2122214,-0.2958697 -1.107315,0.5126644
4 0.081 211.8361 0.5620515 27.64 25.6809 2.379247 0.3718626 63.8107 0.03829746 52.83593 -0.1305494 -0.2548363 3 175117 0.0,8.135936,8.199523,8.074155 -0.8847655844135837,-2.2277023943852576,-1.959101950467734,-2.8652913943595717 -0.7066615,0.8181011,-0.2112059,0.4880559 -1.308625,0.3201826,0.8347217,0.7489135
2 0.417 227.5097 0.5651787 24.99 24.08828 0.740045 0.2659046 -29.86443 0.05755169 131.497 -0.08111949 0.08317291 3 179358 18.02747,0.0 -1.5999877320784783,-0.9017239405961968 0.1002719,-0.3730518 -0.2310138,0.3378723
