ra_deg,dec_deg,Name,Con,Other,OT
0.17917,28.39583,UZC-FK 1,PEG,"N=3;H 99, R 89",cg
145.2625,21.24667,UZC-FK 103,LEO,N=3;,cg
145.42083,11.505,UZC-FK 104,LEO,N=3;,cg
145.62917,4.31,UZC-FK 105,SEX,N=3;,cg
145.80417,31.91778,UZC-FK 106,LEO,N=3;R 34,cg
145.97917,42.52639,UZC-FK 107,UMA,N=3;,cg
146.17083,-0.52389,UZC-FK 108,SEX,N=3;,cg
146.475,9.70194,UZC-FK 109,LEO,N=3;,cg
146.55417,3.08722,UZC-FK 110,SEX,N=3;,cg
147.45,9.08806,UZC-FK 111,LEO,N=3;,cg
147.77083,28.6,UZC-FK 112,LEO,N=3;,cg
151.99167,-2.51778,UZC-FK 113,SEX,N=3;,cg
154.49167,21.62972,UZC-FK 114,LEO,"N=6;H 44, R 35",cg
155.19583,42.99278,UZC-FK 115,UMA,N=3;,cg
156.77083,16.06333,UZC-FK 116,LEO,N=3;,cg
158.65833,64.68556,UZC-FK 117,UMA,N=3;,cg
158.75,44.655,UZC-FK 118,UMA,N=3;,cg
160.10833,47.70389,UZC-FK 119,UMA,N=3;,cg
161.55833,25.92889,UZC-FK 120,LMI,N=3;,cg
162.65,8.755,UZC-FK 121,LEO,N=3;,cg
162.6875,32.89361,UZC-FK 122,LMI,N=6;R 38,cg
163.28333,34.14222,UZC-FK 123,LMI,N=3;,cg
163.45,17.36028,UZC-FK 124,LEO,N=9;,cg
163.70417,57.07528,UZC-FK 125,UMA,N=3;,cg
164.95417,50.01889,UZC-FK 126,UMA,N=3;,cg
166.05,45.17417,UZC-FK 127,UMA,N=4;,cg
166.20417,4.29556,UZC-FK 128,LEO,N=3;,cg
167.47917,10.56028,UZC-FK 129,LEO,N=3;,cg
167.63333,4.08278,UZC-FK 130,LEO,N=3;,cg
167.72083,4.76944,UZC-FK 131,LEO,N=3;,cg
167.95417,35.42611,UZC-FK 132,UMA,N=3;,cg
168.0125,3.10778,UZC-FK 133,LEO,N=3;,cg
169.34167,4.50222,UZC-FK 134,LEO,N=3;,cg
169.625,23.39889,UZC-FK 135,LEO,N=3;,cg
169.875,57.84639,UZC-FK 136,UMA,N=3;,cg
170.2125,0.49083,UZC-FK 137,LEO,N=3;,cg
170.6,24.29278,UZC-FK 138,LEO,N=3;H 51,cg
170.62083,59.00528,UZC-FK 139,UMA,N=3;,cg
171.47917,63.53361,UZC-FK 140,UMA,N=3;,cg
172.15417,9.08833,UZC-FK 141,LEO,N=6;,cg
174.45833,21.99778,UZC-FK 142,LEO,"N=4;H 57, R 43",cg
175.25,24.77278,UZC-FK 143,LEO,N=3;,cg
175.5375,10.29917,UZC-FK 144,VIR,N=4;H 58,cg
175.65,8.8725,UZC-FK 145,VIR,N=3;,cg
175.8875,10.25083,UZC-FK 146,VIR,N=3;,cg
175.90833,31.55333,UZC-FK 147,UMA,N=4;,cg
176.2375,19.81167,UZC-FK 148,LEO,N=4;,cg
176.5875,33.14528,UZC-FK 149,UMA,N=4;,cg
176.65833,13.78194,UZC-FK 150,LEO,N=3;,cg
177.1125,12.71667,UZC-FK 151,LEO,"N=3;H 59, R 46",cg
177.32917,-1.09083,UZC-FK 152,VIR,N=3;,cg
177.3875,26.7475,UZC-FK 153,LEO,N=3;,cg
180.13333,31.885,UZC-FK 154,UMA,N=3;,cg
180.225,13.85639,UZC-FK 155,COM,N=4;,cg
181.0625,20.29,UZC-FK 156,COM,N=6;,cg
181.45833,20.54833,UZC-FK 157,COM,N=6;,cg
181.72083,67.25861,UZC-FK 158,DRA,N=4;,cg
182.25,29.24389,UZC-FK 159,COM,N=3;,cg
182.85,11.99611,UZC-FK 160,VIR,N=3;,cg
183.07917,15.35583,UZC-FK 161,COM,N=3;,cg
183.10833,29.16556,UZC-FK 162,COM,"N=3;H 61, R 49",cg
183.4125,6.9875,UZC-FK 163,VIR,N=3;,cg
183.85417,23.97056,UZC-FK 164,COM,N=4;,cg
184.925,28.79083,UZC-FK 165,COM,N=3;,cg
185.26667,39.88694,UZC-FK 166,CVN,N=3;R 52,cg
185.9375,58.39694,UZC-FK 167,UMA,N=3;,cg
186.02917,9.31139,UZC-FK 168,VIR,N=6;,cg
186.64167,9.03056,UZC-FK 169,VIR,N=4;R 55,cg
186.67917,-1.02944,UZC-FK 170,VIR,N=3;,cg
187.93333,64.02083,UZC-FK 171,DRA,N=4;,cg
188.125,15.11306,UZC-FK 172,COM,N=3;,cg
188.175,0.21472,UZC-FK 173,VIR,N=3;,cg
190.3875,26.06806,UZC-FK 174,COM,N=3;R 64,cg
191.01667,-0.45667,UZC-FK 175,VIR,N=5;,cg
191.65,71.46389,UZC-FK 176,DRA,N=4;,cg
193.74583,73.24861,UZC-FK 177,DRA,N=3;,cg
194.84583,14.13278,UZC-FK 178,VIR,N=3;,cg
195.1625,80.07333,UZC-FK 179,CAM,N=3;,cg
196.38333,53.64083,UZC-FK 180,UMA,N=4;,cg
197.23333,-0.795,UZC-FK 181,VIR,N=3;,cg
197.7375,29.64139,UZC-FK 182,COM,N=3;,cg
198.45417,6.97167,UZC-FK 183,VIR,N=3;,cg
198.725,3.03444,UZC-FK 184,VIR,N=3;,cg
199.20833,31.02917,UZC-FK 185,COM,N=4;,cg
199.2375,-2.18444,UZC-FK 186,VIR,N=3;,cg
199.35833,20.61694,UZC-FK 187,COM,N=3;R 69,cg
199.57083,4.45139,UZC-FK 188,VIR,N=3;,cg
199.95,57.62611,UZC-FK 189,UMA,N=3;,cg
199.97083,52.06083,UZC-FK 190,CVN,N=3;,cg
201.24167,36.405,UZC-FK 191,CVN,N=3;R 70,cg
202.20833,46.62472,UZC-FK 192,CVN,N=5;,cg
202.3625,11.72167,UZC-FK 193,VIR,N=4;,cg
203.17917,7.30167,UZC-FK 194,VIR,N=6;,cg
203.24167,-1.15139,UZC-FK 195,VIR,N=3;,cg
203.78333,13.75,UZC-FK 196,VIR,N=3;,cg
204.76667,31.31139,UZC-FK 197,CVN,N=3;,cg
205.34167,5.05944,UZC-FK 198,VIR,N=3;,cg
205.95833,3.89694,UZC-FK 199,VIR,N=3;,cg
206.77917,3.71944,UZC-FK 200,VIR,N=3;,cg
206.94167,3.39833,UZC-FK 201,VIR,N=3;,cg
207.47083,59.96361,UZC-FK 202,UMA,N=3;,cg
207.59583,33.65306,UZC-FK 203,CVN,N=3;,cg
207.70833,2.31889,UZC-FK 204,VIR,N=3;,cg
208.88333,25.1,UZC-FK 205,BOO,N=4;H 69,cg
209.40833,17.47556,UZC-FK 206,BOO,N=3;,cg
209.42083,37.58139,UZC-FK 207,CVN,N=4;,cg
210.15417,54.79028,UZC-FK 208,UMA,N=3;,cg
210.77917,34.93,UZC-FK 209,CVN,N=4;,cg
212.5125,17.63167,UZC-FK 210,BOO,N=3;,cg
213.62917,3.18222,UZC-FK 211,VIR,N=3;,cg
214.4875,7.55722,UZC-FK 212,BOO,N=4;,cg
214.95417,17.79278,UZC-FK 213,BOO,N=4;,cg
215.16667,3.67,UZC-FK 214,VIR,N=6;,cg
215.29167,35.22111,UZC-FK 215,BOO,N=3;,cg
215.70417,40.37139,UZC-FK 216,BOO,N=3;,cg
215.79167,14.28,UZC-FK 217,BOO,N=3;,cg
217.10833,11.38528,UZC-FK 218,BOO,N=3;,cg
217.22917,30.62639,UZC-FK 219,BOO,N=3;,cg
217.725,25.45278,UZC-FK 220,BOO,N=3;,cg
217.9125,49.73556,UZC-FK 221,BOO,N=4;,cg
217.9875,6.19944,UZC-FK 222,VIR,N=3;,cg
218.44583,3.71417,UZC-FK 223,VIR,N=3;,cg
218.96667,48.63556,UZC-FK 224,BOO,N=4;,cg
220.17917,3.4325,UZC-FK 225,VIR,N=4;,cg
220.54167,3.31778,UZC-FK 226,VIR,N=3;,cg
220.97083,1.66694,UZC-FK 227,VIR,N=4;,cg
221.7375,13.66611,UZC-FK 228,BOO,N=3;,cg
221.95417,9.54111,UZC-FK 229,BOO,N=3;,cg
223.39167,3.57361,UZC-FK 230,VIR,N=5;,cg
223.4,3.02667,UZC-FK 231,VIR,N=3;,cg
224.11667,49.69694,UZC-FK 232,BOO,N=3;,cg
224.63333,53.86472,UZC-FK 233,BOO,N=3;,cg
226.71667,12.85194,UZC-FK 234,BOO,N=3;R 76,cg
226.7375,12.60611,UZC-FK 235,BOO,N=3;,cg
228.14167,1.48889,UZC-FK 236,SER,N=3;,cg
229.5625,12.95778,UZC-FK 237,SER,N=3;,cg
233.8625,30.86611,UZC-FK 238,CRB,N=3;,cg
234.02083,16.5325,UZC-FK 239,SER,N=3;,cg
234.51667,59.41139,UZC-FK 240,DRA,N=4;,cg
235.65,23.75861,UZC-FK 241,SER,N=4;,cg
236.50417,2.51306,UZC-FK 242,SER,N=3;,cg
237.0875,68.175,UZC-FK 243,DRA,N=3;,cg
237.30417,71.22444,UZC-FK 244,UMI,N=4;,cg
237.35417,0.21472,UZC-FK 245,SER,N=3;,cg
239.16667,48.12472,UZC-FK 246,HER,N=3;,cg
239.3375,63.92111,UZC-FK 247,DRA,N=3;,cg
241.2,34.62667,UZC-FK 248,CRB,N=3;,cg
249.475,36.06111,UZC-FK 249,HER,N=3;,cg
252.10833,35.89444,UZC-FK 250,HER,N=3;,cg
254.4,40.72139,UZC-FK 251,HER,N=3;,cg
254.61667,59.00417,UZC-FK 252,DRA,N=3;,cg
256.9375,60.82306,UZC-FK 253,DRA,N=3;,cg
258.60417,23.07167,UZC-FK 254,HER,N=3;,cg
259.35,7.69944,UZC-FK 255,OPH,N=3;,cg
261.95,26.87,UZC-FK 256,HER,N=3;,cg
267.74583,23.05389,UZC-FK 257,HER,N=3;,cg
268.175,24.51444,UZC-FK 258,HER,N=4;,cg
268.77917,18.34694,UZC-FK 259,HER,N=3;,cg
273.01667,21.46944,UZC-FK 260,HER,N=4;,cg
273.13333,25.51583,UZC-FK 261,HER,N=4;,cg
275.19167,38.14389,UZC-FK 262,LYR,N=3;,cg
277.2625,22.88361,UZC-FK 263,HER,N=3;,cg
277.42083,39.84722,UZC-FK 264,LYR,N=3;,cg
279.4,73.76611,UZC-FK 265,DRA,N=3;,cg
279.46667,37.35417,UZC-FK 266,LYR,N=3;,cg
295.0125,50.89583,UZC-FK 267,CYG,N=3;,cg
296.8125,59.83306,UZC-FK 268,DRA,N=3;,cg
307.20833,10.72556,UZC-FK 269,DEL,N=3;,cg
309.87917,2.04528,UZC-FK 270,AQR,N=3;,cg
311.04167,12.47583,UZC-FK 271,DEL,N=3;,cg
311.82917,0.38472,UZC-FK 272,AQR,N=6;R 78,cg
312.52917,9.89056,UZC-FK 273,DEL,N=3;,cg
317.7875,-2.0175,UZC-FK 274,AQR,N=3;,cg
332.5125,40.96639,UZC-FK 275,LAC,N=3;,cg
332.9875,38.70028,UZC-FK 276,LAC,N=3;,cg
333.83333,37.3,UZC-FK 277,LAC,N=3;,cg
336.05,36.13778,UZC-FK 278,LAC,N=3;,cg
338.98333,33.95861,UZC-FK 279,PEG,"N=3;H 92, R 82",cg
339.64583,35.42,UZC-FK 280,PEG,N=6;,cg
342.51667,11.59833,UZC-FK 281,PEG,N=6;,cg
344.4875,26.1175,UZC-FK 282,PEG,N=4;,cg
348.6375,28.44306,UZC-FK 283,PEG,N=3;,cg
348.8,18.99194,UZC-FK 284,PEG,N=3;H 93,cg
349.66667,6.91611,UZC-FK 285,PSC,N=3;,cg
350.4125,27.09139,UZC-FK 286,PEG,N=3;R 85,cg
350.42917,8.98472,UZC-FK 287,PEG,N=3;,cg
350.73333,29.16694,UZC-FK 288,PEG,N=3;,cg
353.67083,4.90667,UZC-FK 289,PSC,N=5;,cg
357.82083,20.11917,UZC-FK 290,PEG,N=3;,cg
359.95,46.91306,UZC-FK 291,AND,N=3;,cg
