Run_Event_ID,Revision,Date_UTC,Time_UTC,Alert_Type,RA_deg,Dec_deg,Error90_arcmin,Error50_arcmin,Energy_TeV,Signalness,FAR_per_year,Notes
139315_50057906,0,24/04/24,01:49:26.00,GOLD,326.5299,3.1619,76.22,29.69,1.9235e02,5.0816e-01,1.2243,IceCube Bronze event. The position error is statistical only there is no systematic added.
139303_27647445,1,24/04/19,23:25:41.04,BRONZE,73.1700,1.6399,130.49,77.54,1.2084e02,3.1477e-01,3.4261,IceCube Bronze event. The position error is statistical only there is no systematic added.
139303_27647445,0,24/04/19,23:25:41.04,BRONZE,74.1535,1.0796,55.67,21.68,1.2084e02,3.1477e-01,3.4261,IceCube Bronze event. The position error is statistical only there is no systematic added.
139279_10803235,1,24/04/12,05:33:46.89,BRONZE,102.4399,6.3499,42.29,26.70,1.2126e02,3.0910e-01,3.4096,IceCube Bronze event. The position error is statistical only there is no systematic added.
139279_10803235,0,24/04/12,05:33:46.89,BRONZE,103.7861,5.8716,69.22,26.96,1.2126e02,3.0910e-01,3.4096,IceCube Bronze event. The position error is statistical only there is no systematic added.
139204_39158985,2,24/03/27,11:04:49.92,GOLD,25.3999,7.7800,257.99,68.99,1.9966e02,5.3864e-01,1.0306,IceCube Bronze event. The position error is statistical only there is no systematic added.
139205_9784024,1,24/03/27,16:12:30.47,BRONZE,89.2099,0.9300,84.15,46.34,1.5269e02,3.7111e-01,2.4194,IceCube Bronze event. The position error is statistical only there is no systematic added.
139204_39158985,1,24/03/27,13:44:38.00,GOLD,25.3999,7.7800,257.99,68.99,1.9966e02,5.3864e-01,1.0306,IceCube Bronze event. The position error is statistical only there is no systematic added.
139205_9784024,0,24/03/27,16:12:30.47,BRONZE,88.8857,1.3239,57.42,22.37,1.5269e02,3.7111e-01,2.4194,IceCube Bronze event. The position error is statistical only there is no systematic added.
139204_39158985,0,24/03/27,11:04:49.92,GOLD,25.6232,7.7106,30.80,12.00,1.9966e02,5.3864e-01,1.0306,IceCube Bronze event. The position error is statistical only there is no systematic added.
139100_34742349,1,24/03/07,07:44:57.38,GOLD,239.6299,39.9399,922.80,451.19,1.9191e02,6.0604e-01,0.2332,IceCube Bronze event. The position error is statistical only there is no systematic added.
139100_34742349,0,24/03/07,07:44:57.38,GOLD,238.9767,39.6133,170.33,66.35,1.9191e02,6.0604e-01,0.2332,IceCube Bronze event. The position error is statistical only there is no systematic added.
138938_62272876,1,24/02/04,09:09:00.44,BRONZE,348.3999,10.2799,53.70,31.94,1.5592e02,4.1419e-01,1.6084,IceCube Bronze event. The position error is statistical only there is no systematic added.
138938_62272876,0,24/02/04,09:09:00.44,BRONZE,348.6482,11.0595,30.80,12.00,1.5592e02,4.1419e-01,1.6084,IceCube Bronze event. The position error is statistical only there is no systematic added.
139071_47725621,1,24/02/29,15:48:21.51,BRONZE,72.2500,15.7899,68.39,39.60,1.6323e02,4.7676e-01,1.3360,IceCube Bronze event. The position error is statistical only there is no systematic added.
139071_47725621,0,24/02/29,15:48:21.51,BRONZE,72.4529,15.9956,30.80,12.00,1.6323e02,4.7676e-01,1.3360,IceCube Bronze event. The position error is statistical only there is no systematic added.
138890_34080563,1,24/01/23,11:25:36.05,BRONZE,357.5400,4.2599,78.00,41.99,1.1048e02,2.6712e-01,4.1505,IceCube Bronze event. The position error is statistical only there is no systematic added.
138890_34080563,0,24/01/23,11:25:36.05,BRONZE,357.6378,4.3696,30.80,12.00,1.1048e02,2.6712e-01,4.1505,IceCube Bronze event. The position error is statistical only there is no systematic added.
138821_46175426,2,24/01/05,12:27:42.57,BRONZE,72.6899,11.4199,71.39,39.60,1.0950e02,3.0123e-01,2.6436,IceCube Bronze event. The position error is statistical only there is no systematic added.
138821_46175426,1,24/01/05,12:27:42.57,BRONZE,72.6899,11.4199,17.39,9.60,1.0950e02,3.0123e-01,2.6436,IceCube Bronze event. The position error is statistical only there is no systematic added.
138821_46175426,0,24/01/05,12:27:42.57,BRONZE,72.8929,11.3262,30.80,12.00,1.0950e02,3.0123e-01,2.6436,IceCube Bronze event. The position error is statistical only there is no systematic added.
138669_4054005,1,23/12/11,00:47:31.79,BRONZE,311.4800,10.2799,72.45,35.99,1.0632e02,2.7746e-01,3.3007,IceCube Bronze event. The position error is statistical only there is no systematic added.
138669_4054005,0,23/12/11,00:47:31.79,BRONZE,312.6131,10.0527,30.80,12.00,1.0632e02,2.7746e-01,3.3007,IceCube Bronze event. The position error is statistical only there is no systematic added.
138632_31747601,1,23/12/02,17:08:24.09,BRONZE,139.0399,0.3699,89.85,53.40,1.0822e02,2.7139e-01,4.4035,IceCube Bronze event. The position error is statistical only there is no systematic added.
138632_31747601,0,23/12/02,17:08:24.09,BRONZE,138.6545,0.1418,41.53,16.18,1.0822e02,2.7139e-01,4.4035,IceCube Bronze event. The position error is statistical only there is no systematic added.
138599_39138591,1,23/11/25,22:34:56.64,GOLD,177.5300,53.6199,168.45,93.00,1.9173e02,6.3125e-01,0.1472,IceCube Bronze event. The position error is statistical only there is no systematic added.
138599_39138591,0,23/11/25,22:34:56.64,GOLD,176.2601,52.6366,46.75,18.21,1.9173e02,6.3125e-01,0.1472,IceCube Bronze event. The position error is statistical only there is no systematic added.
