SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id
GRB 910629B,1991-06-29,63.51999999999999,8.4,1991-06-29 19:55:48.267,63.52,8.4,0.0,,467.0,6.740400000000001e-07,Below Threshold,71748.267,False,910629
GRB 910630,1991-06-30,304.69999999999993,35.13,1991-06-30 07:37:02.315,304.7,35.13,0.0,,469.0,1.068764e-06,Below Threshold,27422.315,False,910630
GRB 910701,1991-07-01,61.34999999999999,-53.42,1991-07-01 03:51:39.371,61.35,-53.42,0.0,,472.0,3.98635e-07,Below Threshold,13899.371,False,910701
GRB 910702A,1991-07-02,255.07,29.05,1991-07-02 04:46:35.627,255.07,29.05,0.0,,473.0,1.074501e-07,Below Threshold,17195.627,False,910702B
GRB 910706,1991-07-06,256.63,-43.69,1991-07-06 05:04:49.003,256.63,-43.69,0.0,,493.0,6.772800000000001e-08,Below Threshold,18289.003,False,910706
GRB 910708,1991-07-08,12.09,15.12,1991-07-08 09:41:40.587,12.09,15.12,0.0,,501.0,6.491400000000002e-08,Below Threshold,34900.587,False,910708
GRB 910709,1991-07-09,172.76999999999998,81.67,1991-07-09 11:33:22.091,172.77,81.67,0.0,,503.0,5.768372000000001e-07,Below Threshold,41602.091,False,910709
GRB 910712,1991-07-12,303.63,-57.09,1991-07-12 08:15:45.707,303.63,-57.09,0.0,,516.0,1.15053e-07,Below Threshold,29745.707,False,910712
GRB 910714,1991-07-14,242.52,22.19,1991-07-14 20:46:17.067,242.52,22.19,0.0,,537.0,2.060481e-07,Below Threshold,74777.067,False,910714
GRB 910717A,1991-07-17,249.83999999999995,-58.21,1991-07-17 04:33:04.171,249.84,-58.21,0.0,,543.0,7.72761e-07,Below Threshold,16384.171,False,910717
GRB 910718A,1991-07-18,350.54,59.74,1991-07-18 02:24:57.195,350.54,59.74,0.0,,548.0,6.14485e-07,Below Threshold,8697.195,False,910718B
GRB 910718B,1991-07-18,82.79999999999998,22.78,1991-07-18 06:01:48.395,82.8,22.78,0.0,,549.0,1.351275e-07,Below Threshold,21708.395,False,910718C
GRB 910719,1991-07-19,245.85,28.46,1991-07-19 10:53:02.251,245.85,28.46,0.0,,555.0,6.31638e-08,Below Threshold,39182.251,False,910719
GRB 910721B,1991-07-21,315.52000000000004,-14.29,1991-07-21 19:30:12.459,315.52,-14.29,0.0,,563.0,6.657070000000001e-07,Below Threshold,70212.459,False,910721
