name,RA_deg,Dec_deg,redshift,datetime,maxabsmag,distance_mpc,type
GRB 910903,238.34,13.1,,1991/09/03,,,LGRB
GRB 910904,354.15,-17.09,,1991/09/04,,,LGRB
GRB 910905,359.99999999999994,-81.05,,1991/09/05,,,LGRB
GRB 910907,136.54999999999998,-28.23,,1991/09/07,,,LGRB
GRB 910908,226.1,-15.53,,1991/09/08,,,LGRB
GRB 910914,170.30999999999997,-33.4,,1991/09/14,,,LGRB
GRB 910923,52.52999999999999,-22.57,,1991/09/23,,,LGRB
GRB 910925,265.67,-29.26,,1991/09/25,,,LGRB
GRB 910926A,157.2,-1.36,,1991/09/26,,,LGRB
GRB 910926B,346.06999999999994,21.360000000000003,,1991/09/26,,,LGRB
GRB 910927B,50.16,-39.65,,1991/09/27,,,LGRB
GRB 910930A,93.42999999999998,44.51,,1991/09/30,,,LGRB
GRB 910930B,131.79999999999998,-20.62,,1991/09/30,,,LGRB
GRB 911004,349.73999999999995,62.95,,1991/10/04,,,LGRB
GRB 911005,235.8,14.73,,1991/10/05,,,LGRB
GRB 911016B,300.06,-4.16,,1991/10/16,,,LGRB
GRB 911022,123.91,70.33999999999999,,1991/10/22,,,LGRB
GRB 911024,208.65,38.36,,1991/10/24,,,LGRB
GRB 911026,74.67999999999999,-22.27,,1991/10/26,,,LGRB
GRB 911027B,127.21999999999998,74.11999999999999,,1991/10/27,,,LGRB
GRB 911031A,284.54,21.34,,1991/10/31,,,LGRB
GRB 911031B,298.89,-28.89,,1991/10/31,,,LGRB
GRB 911104,212.45,35.03,,1991/11/04,,,LGRB
GRB 911111A,218.09,10.87,,1991/11/11,,,LGRB
GRB 911111B,63.96999999999999,-51.37,,1991/11/11,,,LGRB
GRB 911111C,121.11,-21.28,,1991/11/11,,,LGRB
GRB 911118A,167.02999999999997,-20.85,,1991/11/18,,,LGRB
GRB 911118B,253.48999999999992,-5.92,,1991/11/18,,,LGRB
GRB 911123B,22.809999999999995,30.34,,1991/11/23,,,LGRB
GRB 911127A,269.14,49.73,,1991/11/27,,,LGRB
GRB 911127B,310.13,24.55,,1991/11/27,,,LGRB
GRB 911127C,160.97,-74.58999999999999,,1991/11/27,,,LGRB
GRB 911128,338.64,-10.36,,1991/11/28,,,LGRB
GRB 911202A,172.49999999999997,-22.84,,1991/12/02,,,LGRB
GRB 911205,103.97,-25.85,,1991/12/05,,,LGRB
