  2.257003E-01
  0.00E+00  1.00E+00  1.312800E+54  7.957261E+53  1.017171E+54  1.214380E+48  7.360710E+47  9.409140E+47
  1.00E+00  2.50E+00  1.291778E+55  6.550981E+54  7.753547E+54  3.731180E+49  1.892190E+49  2.239540E+49
  2.50E+00  4.50E+00  4.695958E+55  2.389697E+55  1.908706E+55  2.668940E+50  1.358180E+50  1.084810E+50
  4.50E+00  7.00E+00  9.738673E+55  6.403215E+55  2.923253E+55  9.042290E+50  5.945340E+50  2.714220E+50
  7.00E+00  1.00E+01  1.252111E+56  1.168140E+56  3.511527E+55  1.714040E+51  1.599090E+51  4.807000E+50
  1.00E+01  1.40E+01  1.093035E+56  1.437246E+56  3.506227E+55  2.111220E+51  2.776070E+51  6.772350E+50
  1.40E+01  1.90E+01  6.417845E+55  1.121461E+56  2.788570E+55  1.703120E+51  2.976050E+51  7.400100E+50
  1.90E+01  2.50E+01  2.442827E+55  5.348601E+55  1.679987E+55  8.637220E+50  1.891130E+51  5.940010E+50
  2.50E+01  3.20E+01  5.792059E+54  1.549557E+55  7.509830E+54  2.651450E+50  7.093460E+50  3.437800E+50
  3.20E+01  4.00E+01  8.288764E+53  2.715469E+54  2.495547E+54  4.790720E+49  1.569480E+50  1.442370E+50
  4.00E+01  4.80E+01  8.233934E+52  3.272722E+53  6.769741E+53  5.812650E+48  2.310340E+49  4.779020E+49
  4.80E+01  5.80E+01  4.921353E+51  2.359468E+52  1.383027E+53  4.185240E+47  2.006550E+48  1.176160E+49
  5.80E+01  6.80E+01  1.819743E+50  1.025093E+51  2.165620E+52  1.838750E+46  1.035800E+47  2.188240E+48
  6.80E+01  8.00E+01  4.183966E+48  2.690731E+49  2.509566E+51  4.966060E+44  3.193700E+45  2.978670E+47
  8.00E+01  9.50E+01  3.628208E+46  2.608574E+47  1.625886E+50  5.092700E+42  3.661500E+43  2.282160E+46
  9.50E+01  1.15E+02  7.090952E+43  5.646071E+44  4.068062E+48  1.194720E+40  9.512790E+40  6.854080E+44
  1.15E+02  1.45E+02  9.217588E+39  8.253410E+40  1.654442E+46  1.924150E+36  1.722880E+37  3.453610E+42
  1.45E+02  1.85E+02  3.883558E+34  4.051703E+35  6.050838E+42  1.029180E+31  1.073740E+32  1.603530E+39
  1.85E+02  2.35E+02  6.840416E+27  8.588792E+28  1.546936E+38  2.306970E+24  2.896620E+25  5.217130E+34
