progenitor_mass,phase,hierarchy,flavor,total_energy_J,fluence_J_m2_@10kpc,bruno_trigger
m15,pre-collapse,N/A,nueb,2.4448117101139604e+30,2.0428840121401374e-12,False
m30,pre-collapse,N/A,nueb,6.181124655995156e+30,5.164946112021491e-12,False
