# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.76442443
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	3.12430842e+46	0.00000000e+00
0.20	1.08677857e+47	0.00000000e+00
0.30	2.10253815e+47	0.00000000e+00
0.40	3.18618414e+47	0.00000000e+00
0.50	4.21557715e+47	0.00000000e+00
0.60	5.11402841e+47	0.00000000e+00
0.70	5.84034108e+47	0.00000000e+00
0.80	6.37867899e+47	0.00000000e+00
0.90	6.73009859e+47	0.00000000e+00
1.00	6.90625544e+47	0.00000000e+00
1.10	6.92508624e+47	0.00000000e+00
1.20	6.80798455e+47	0.00000000e+00
1.30	6.57796185e+47	0.00000000e+00
1.40	6.25838585e+47	0.00000000e+00
1.50	5.87202833e+47	0.00000000e+00
1.60	5.44028419e+47	0.00000000e+00
1.70	4.98252184e+47	0.00000000e+00
1.80	4.51558211e+47	0.00000000e+00
1.90	4.05345802e+47	0.00000000e+00
2.00	3.60718079e+47	0.00000000e+00
2.10	3.18490301e+47	0.00000000e+00
2.20	2.79214692e+47	0.00000000e+00
2.30	2.43216227e+47	0.00000000e+00
2.40	2.10633769e+47	0.00000000e+00
2.50	1.81461614e+47	0.00000000e+00
2.60	1.55587873e+47	0.00000000e+00
2.70	1.32827741e+47	0.00000000e+00
2.80	1.12950783e+47	0.00000000e+00
2.90	9.57023339e+46	0.00000000e+00
3.00	8.08195919e+46	0.00000000e+00
3.10	6.80431695e+46	0.00000000e+00
3.20	5.71249820e+46	0.00000000e+00
3.30	4.78332590e+46	0.00000000e+00
3.40	3.99553830e+46	0.00000000e+00
3.50	3.32991249e+46	0.00000000e+00
3.60	2.76927542e+46	0.00000000e+00
3.70	2.29843751e+46	0.00000000e+00
3.80	1.90407693e+46	0.00000000e+00
3.90	1.57459486e+46	0.00000000e+00
4.00	1.29995673e+46	0.00000000e+00
4.10	1.07152979e+46	0.00000000e+00
4.20	8.81924082e+45	0.00000000e+00
4.30	7.24841781e+45	0.00000000e+00
4.40	5.94937305e+45	0.00000000e+00
4.50	4.87689894e+45	0.00000000e+00
4.60	3.99289065e+45	0.00000000e+00
4.70	3.26532830e+45	0.00000000e+00
4.80	2.66738084e+45	0.00000000e+00
4.90	2.17662384e+45	0.00000000e+00
5.00	1.77436069e+45	0.00000000e+00
5.10	1.44503829e+45	0.00000000e+00
5.20	1.17574528e+45	0.00000000e+00
5.30	9.55784616e+44	0.00000000e+00
5.40	7.76309979e+44	0.00000000e+00
5.50	6.30018293e+44	0.00000000e+00
5.60	5.10890310e+44	0.00000000e+00
5.70	4.13972556e+44	0.00000000e+00
5.80	3.35194541e+44	0.00000000e+00
5.90	2.71215970e+44	0.00000000e+00
6.00	2.19299336e+44	0.00000000e+00
6.10	1.77203917e+44	0.00000000e+00
6.20	1.43097782e+44	0.00000000e+00
6.30	1.15484901e+44	0.00000000e+00
6.40	9.31448575e+43	0.00000000e+00
6.50	7.50830868e+43	0.00000000e+00
6.60	6.04898761e+43	0.00000000e+00
6.70	4.87066191e+43	0.00000000e+00
6.80	3.91980987e+43	0.00000000e+00
6.90	3.15297404e+43	0.00000000e+00
7.00	2.53489812e+43	0.00000000e+00
7.10	2.03700160e+43	0.00000000e+00
7.20	1.63613339e+43	0.00000000e+00
7.30	1.31355422e+43	0.00000000e+00
7.40	1.05410646e+43	0.00000000e+00
7.50	8.45537937e+42	0.00000000e+00
7.60	6.77951497e+42	0.00000000e+00
7.70	5.43357424e+42	0.00000000e+00
7.80	4.35309731e+42	0.00000000e+00
7.90	3.48611004e+42	0.00000000e+00
8.00	2.79072950e+42	0.00000000e+00
8.10	2.23322323e+42	0.00000000e+00
8.20	1.78643792e+42	0.00000000e+00
8.30	1.42852760e+42	0.00000000e+00
8.40	1.14192507e+42	0.00000000e+00
8.50	9.12510980e+41	0.00000000e+00
8.60	7.28942393e+41	0.00000000e+00
8.70	5.82111168e+41	0.00000000e+00
8.80	4.64706933e+41	0.00000000e+00
8.90	3.70864821e+41	0.00000000e+00
9.00	2.95881672e+41	0.00000000e+00
9.10	2.35987508e+41	0.00000000e+00
9.20	1.88161590e+41	0.00000000e+00
9.30	1.49984488e+41	0.00000000e+00
9.40	1.19519137e+41	0.00000000e+00
9.50	9.52152544e+40	0.00000000e+00
9.60	7.58325687e+40	0.00000000e+00
9.70	6.03791863e+40	0.00000000e+00
9.80	4.80621320e+40	0.00000000e+00
9.90	3.82476779e+40	0.00000000e+00
10.00	3.04295329e+40	0.00000000e+00
10.10	2.42033529e+40	0.00000000e+00
10.20	1.92463161e+40	0.00000000e+00
10.30	1.53007697e+40	0.00000000e+00
10.40	1.21611383e+40	0.00000000e+00
10.50	9.66344800e+39	0.00000000e+00
10.60	7.67694696e+39	0.00000000e+00
10.70	6.09740550e+39	0.00000000e+00
10.80	4.84175990e+39	0.00000000e+00
10.90	3.84383319e+39	0.00000000e+00
11.00	3.05091695e+39	0.00000000e+00
11.10	2.42104132e+39	0.00000000e+00
11.20	1.92079657e+39	0.00000000e+00
11.30	1.52359389e+39	0.00000000e+00
11.40	1.20827856e+39	0.00000000e+00
11.50	9.58023581e+38	0.00000000e+00
11.60	7.59447666e+38	0.00000000e+00
11.70	6.01912336e+38	0.00000000e+00
11.80	4.76961774e+38	0.00000000e+00
11.90	3.77876610e+38	0.00000000e+00
12.00	2.99318588e+38	0.00000000e+00
12.10	2.37047692e+38	0.00000000e+00
12.20	1.87696952e+38	0.00000000e+00
12.30	1.48593302e+38	0.00000000e+00
12.40	1.17615031e+38	0.00000000e+00
12.50	9.30784208e+37	0.00000000e+00
12.60	7.36476334e+37	0.00000000e+00
12.70	5.82630438e+37	0.00000000e+00
12.80	4.60843111e+37	0.00000000e+00
12.90	3.64451321e+37	0.00000000e+00
13.00	2.88173069e+37	0.00000000e+00
13.10	2.27821971e+37	0.00000000e+00
