# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.23354195
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	2.16927807e+47	0.00000000e+00
0.20	7.71084631e+47	0.00000000e+00
0.30	1.52825290e+48	0.00000000e+00
0.40	2.37780741e+48	0.00000000e+00
0.50	3.23682305e+48	0.00000000e+00
0.60	4.04826885e+48	0.00000000e+00
0.70	4.77635515e+48	0.00000000e+00
0.80	5.40116121e+48	0.00000000e+00
0.90	5.91375699e+48	0.00000000e+00
1.00	6.31234570e+48	0.00000000e+00
1.10	6.59951274e+48	0.00000000e+00
1.20	6.78044247e+48	0.00000000e+00
1.30	6.86187400e+48	0.00000000e+00
1.40	6.85156370e+48	0.00000000e+00
1.50	6.75804949e+48	0.00000000e+00
1.60	6.59056051e+48	0.00000000e+00
1.70	6.35895738e+48	0.00000000e+00
1.80	6.07363173e+48	0.00000000e+00
1.90	5.74533158e+48	0.00000000e+00
2.00	5.38490648e+48	0.00000000e+00
2.10	5.00299203e+48	0.00000000e+00
2.20	4.60966702e+48	0.00000000e+00
2.30	4.21412452e+48	0.00000000e+00
2.40	3.82439757e+48	0.00000000e+00
2.50	3.44717157e+48	0.00000000e+00
2.60	3.08769872e+48	0.00000000e+00
2.70	2.74981381e+48	0.00000000e+00
2.80	2.43603472e+48	0.00000000e+00
2.90	2.14772281e+48	0.00000000e+00
3.00	1.88527595e+48	0.00000000e+00
3.10	1.64832989e+48	0.00000000e+00
3.20	1.43594987e+48	0.00000000e+00
3.30	1.24680105e+48	0.00000000e+00
3.40	1.07929199e+48	0.00000000e+00
3.50	9.31690418e+47	0.00000000e+00
3.60	8.02212461e+47	0.00000000e+00
3.70	6.89088923e+47	0.00000000e+00
3.80	5.90612198e+47	0.00000000e+00
3.90	5.05167640e+47	0.00000000e+00
4.00	4.31252844e+47	0.00000000e+00
4.10	3.67487709e+47	0.00000000e+00
4.20	3.12617791e+47	0.00000000e+00
4.30	2.65512863e+47	0.00000000e+00
4.40	2.25162151e+47	0.00000000e+00
4.50	1.90667482e+47	0.00000000e+00
4.60	1.61235158e+47	0.00000000e+00
4.70	1.36167219e+47	0.00000000e+00
4.80	1.14852546e+47	0.00000000e+00
4.90	9.67581247e+46	0.00000000e+00
5.00	8.14206860e+46	0.00000000e+00
5.10	6.84388549e+46	0.00000000e+00
5.20	5.74658893e+46	0.00000000e+00
5.30	4.82030424e+46	0.00000000e+00
5.40	4.03935537e+46	0.00000000e+00
5.50	3.38172524e+46	0.00000000e+00
5.60	2.82857465e+46	0.00000000e+00
5.70	2.36381581e+46	0.00000000e+00
5.80	1.97373609e+46	0.00000000e+00
5.90	1.64666830e+46	0.00000000e+00
6.00	1.37270184e+46	0.00000000e+00
6.10	1.14343168e+46	0.00000000e+00
6.20	9.51740294e+45	0.00000000e+00
6.30	7.91609012e+45	0.00000000e+00
6.40	6.57955266e+45	0.00000000e+00
6.50	5.46492563e+45	0.00000000e+00
6.60	4.53610262e+45	0.00000000e+00
6.70	3.76270612e+45	0.00000000e+00
6.80	3.11920749e+45	0.00000000e+00
6.90	2.58417645e+45	0.00000000e+00
7.00	2.13964177e+45	0.00000000e+00
7.10	1.77054816e+45	0.00000000e+00
