# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 2.48788
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	9.52719703e+45	0.00000000e+00
0.20	3.92347918e+46	0.00000000e+00
0.30	8.93244180e+46	0.00000000e+00
0.40	1.58130386e+47	0.00000000e+00
0.50	2.42386770e+47	0.00000000e+00
0.60	3.37597594e+47	0.00000000e+00
0.70	4.38470897e+47	0.00000000e+00
0.80	5.39384672e+47	0.00000000e+00
0.90	6.34852547e+47	0.00000000e+00
1.00	7.19953807e+47	0.00000000e+00
1.10	7.90691331e+47	0.00000000e+00
1.20	8.44244885e+47	0.00000000e+00
1.30	8.79097589e+47	0.00000000e+00
1.40	8.95027975e+47	0.00000000e+00
1.50	8.92977564e+47	0.00000000e+00
1.60	8.74820662e+47	0.00000000e+00
1.70	8.43075287e+47	0.00000000e+00
1.80	8.00599440e+47	0.00000000e+00
1.90	7.50313259e+47	0.00000000e+00
2.00	6.94976337e+47	0.00000000e+00
2.10	6.37034322e+47	0.00000000e+00
2.20	5.78534524e+47	0.00000000e+00
2.30	5.21099755e+47	0.00000000e+00
2.40	4.65944897e+47	0.00000000e+00
2.50	4.13919896e+47	0.00000000e+00
2.60	3.65565889e+47	0.00000000e+00
2.70	3.21174430e+47	0.00000000e+00
2.80	2.80843545e+47	0.00000000e+00
2.90	2.44527273e+47	0.00000000e+00
3.00	2.12077330e+47	0.00000000e+00
3.10	1.83276823e+47	0.00000000e+00
3.20	1.57866724e+47	0.00000000e+00
3.30	1.35566033e+47	0.00000000e+00
3.40	1.16086725e+47	0.00000000e+00
3.50	9.91444789e+46	0.00000000e+00
3.60	8.44660617e+46	0.00000000e+00
3.70	7.17941610e+46	0.00000000e+00
3.80	6.08902545e+46	0.00000000e+00
3.90	5.15360409e+46	0.00000000e+00
4.00	4.35338159e+46	0.00000000e+00
4.10	3.67061091e+46	0.00000000e+00
4.20	3.08948214e+46	0.00000000e+00
4.30	2.59600343e+46	0.00000000e+00
4.40	2.17786386e+46	0.00000000e+00
4.50	1.82428725e+46	0.00000000e+00
4.60	1.52588433e+46	0.00000000e+00
4.70	1.27450866e+46	0.00000000e+00
4.80	1.06311889e+46	0.00000000e+00
4.90	8.85650142e+45	0.00000000e+00
5.00	7.36895442e+45	0.00000000e+00
5.10	6.12397649e+45	0.00000000e+00
5.20	5.08352039e+45	0.00000000e+00
5.30	4.21519200e+45	0.00000000e+00
5.40	3.49147706e+45	0.00000000e+00
5.50	2.88905908e+45	0.00000000e+00
5.60	2.38822119e+45	0.00000000e+00
5.70	1.97232389e+45	0.00000000e+00
5.80	1.62735174e+45	0.00000000e+00
5.90	1.34152070e+45	0.00000000e+00
6.00	1.10493990e+45	0.00000000e+00
6.10	9.09321063e+44	0.00000000e+00
6.20	7.47729617e+44	0.00000000e+00
6.30	6.14372177e+44	0.00000000e+00
6.40	5.04415602e+44	0.00000000e+00
6.50	4.13833291e+44	0.00000000e+00
6.60	3.39274927e+44	0.00000000e+00
6.70	2.77956354e+44	0.00000000e+00
6.80	2.27566656e+44	0.00000000e+00
6.90	1.86189914e+44	0.00000000e+00
7.00	1.52239427e+44	0.00000000e+00
7.10	1.24402539e+44	0.00000000e+00
7.20	1.01594408e+44	0.00000000e+00
7.30	8.29193412e+43	0.00000000e+00
7.40	6.76385257e+43	0.00000000e+00
7.50	5.51430991e+43	0.00000000e+00
7.60	4.49317377e+43	0.00000000e+00
7.70	3.65920097e+43	0.00000000e+00
7.80	2.97848976e+43	0.00000000e+00
7.90	2.42319483e+43	0.00000000e+00
8.00	1.97046305e+43	0.00000000e+00
8.10	1.60155247e+43	0.00000000e+00
8.20	1.30110383e+43	0.00000000e+00
8.30	1.05653881e+43	0.00000000e+00
8.40	8.57563561e+42	0.00000000e+00
8.50	6.95759318e+42	0.00000000e+00
8.60	5.64245269e+42	0.00000000e+00
8.70	4.57401083e+42	0.00000000e+00
8.80	3.70638784e+42	0.00000000e+00
8.90	3.00215330e+42	0.00000000e+00
9.00	2.43078738e+42	0.00000000e+00
9.10	1.96741896e+42	0.00000000e+00
9.20	1.59179101e+42	0.00000000e+00
9.30	1.28741330e+42	0.00000000e+00
9.40	1.04086884e+42	0.00000000e+00
9.50	8.41246586e+41	0.00000000e+00
9.60	6.79677722e+41	0.00000000e+00
9.70	5.48956841e+41	0.00000000e+00
9.80	4.43232648e+41	0.00000000e+00
9.90	3.57755657e+41	0.00000000e+00
10.00	2.88672400e+41	0.00000000e+00
10.10	2.32857747e+41	0.00000000e+00
10.20	1.87778297e+41	0.00000000e+00
10.30	1.51381186e+41	0.00000000e+00
10.40	1.22003608e+41	0.00000000e+00
10.50	9.82992255e+40	0.00000000e+00
10.60	7.91783577e+40	0.00000000e+00
10.70	6.37593847e+40	0.00000000e+00
10.80	5.13292795e+40	0.00000000e+00
10.90	4.13115771e+40	0.00000000e+00
11.00	3.32403830e+40	0.00000000e+00
11.10	2.67392933e+40	0.00000000e+00
11.20	2.15043068e+40	0.00000000e+00
11.30	1.72899811e+40	0.00000000e+00
11.40	1.38982140e+40	0.00000000e+00
11.50	1.11691649e+40	0.00000000e+00
11.60	8.97390353e+39	0.00000000e+00
11.70	7.20846525e+39	0.00000000e+00
11.80	5.78904107e+39	0.00000000e+00
11.90	4.64808967e+39	0.00000000e+00
12.00	3.73119551e+39	0.00000000e+00
