name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date
GRB 910905,359.99999999999994,-81.05,,,LGRB,1991/09/05
GRB 910907,136.54999999999998,-28.229999999999997,,,LGRB,1991/09/07
GRB 910908,226.09999999999997,-15.530000000000001,,,LGRB,1991/09/08
GRB 910914,170.30999999999997,-33.4,,,LGRB,1991/09/14
GRB 910923,52.52999999999999,-22.57,,,LGRB,1991/09/23
GRB 910925,265.66999999999996,-29.26,,,LGRB,1991/09/25
GRB 910926A,157.2,-1.36,,,LGRB,1991/09/26
GRB 910926B,346.06999999999994,21.360000000000003,,,LGRB,1991/09/26
GRB 910927B,50.16,-39.65,,,LGRB,1991/09/27
GRB 910930A,93.42999999999998,44.51,,,LGRB,1991/09/30
GRB 910930B,131.79999999999998,-20.62,,,LGRB,1991/09/30
GRB 911004,349.73999999999995,62.95,,,LGRB,1991/10/04
GRB 911005,235.79999999999998,14.73,,,LGRB,1991/10/05
GRB 911016B,300.06,-4.16,,,LGRB,1991/10/16
GRB 911022,123.91,70.33999999999999,,,LGRB,1991/10/22
GRB 911024,208.64999999999998,38.36,,,LGRB,1991/10/24
GRB 911026,74.67999999999999,-22.27,,,LGRB,1991/10/26
GRB 911027B,127.21999999999998,74.11999999999999,,,LGRB,1991/10/27
GRB 911031A,284.53999999999996,21.34,,,LGRB,1991/10/31
GRB 911031B,298.89,-28.89,,,LGRB,1991/10/31
GRB 911104,212.45,35.03,,,LGRB,1991/11/04
GRB 911111A,218.08999999999997,10.870000000000001,,,LGRB,1991/11/11
GRB 911111B,63.96999999999999,-51.37,,,LGRB,1991/11/11
GRB 911111C,121.10999999999999,-21.279999999999998,,,LGRB,1991/11/11
GRB 911118A,167.02999999999997,-20.85,,,LGRB,1991/11/18
GRB 911118B,253.48999999999992,-5.92,,,LGRB,1991/11/18
GRB 911123B,22.809999999999995,30.34,,,LGRB,1991/11/23
GRB 911127A,269.14,49.730000000000004,,,LGRB,1991/11/27
GRB 911127B,310.13,24.55,,,LGRB,1991/11/27
GRB 911127C,160.97,-74.58999999999999,,,LGRB,1991/11/27
GRB 911128,338.64,-10.36,,,LGRB,1991/11/28
GRB 911202A,172.49999999999997,-22.84,,,LGRB,1991/12/02
GRB 911205,103.97,-25.85,,,LGRB,1991/12/05
GRB 911207,307.78999999999996,29.3,,,LGRB,1991/12/07
GRB 911208A,112.67999999999998,-21.14,,,LGRB,1991/12/08
GRB 911208B,38.14999999999999,-53.11,,,LGRB,1991/12/08
GRB 911209B,46.11,-31.3,,,LGRB,1991/12/09
GRB 911209C,259.97999999999996,-45.080000000000005,,,LGRB,1991/12/09
GRB 911210,294.86999999999995,-19.4,,,LGRB,1991/12/10
GRB 911213,209.39999999999995,-45.74,,,LGRB,1991/12/13
GRB 911217A,6.958333333333333,22.67,,,LGRB,1991/12/17
GRB 911217B,28.889999999999997,0.016666666666666666,,,LGRB,1991/12/17
GRB 911219A,354.24999999999994,-0.16,,,LGRB,1991/12/19
GRB 911219B,218.64999999999998,-4.83,,,LGRB,1991/12/19
GRB 911221,215.81999999999996,-42.72,,,LGRB,1991/12/21
GRB 911223,336.9899999999999,-50.419999999999995,,,LGRB,1991/12/23
GRB 911224C,342.03999999999996,-17.71,,,LGRB,1991/12/24
GRB 911225A,334.60999999999996,26.17,,,LGRB,1991/12/25
GRB 911225B,253.30999999999997,-34.1,,,LGRB,1991/12/25
GRB 911227,350.44,-68.25,,,LGRB,1991/12/27
GRB 911228,280.19,43.69,,,LGRB,1991/12/28
GRB 920105,335.4,-53.8,,,LGRB,1992/01/05
GRB 920110A,58.07999999999999,-20.8,,,LGRB,1992/01/10
GRB 920110C,357.7099999999999,10.55,,,LGRB,1992/01/10
GRB 920114,244.12999999999997,63.89,,,LGRB,1992/01/14
GRB 920116B,152.79,-81.32,,,LGRB,1992/01/16
GRB 920120,300.30999999999995,-82.75,,,LGRB,1992/01/20
GRB 920127,322.36999999999995,-29.26,,,LGRB,1992/01/27
GRB 920203,269.7399999999999,-15.26,,,LGRB,1992/02/03
GRB 920209B,288.22999999999996,60.75,,,LGRB,1992/02/09
GRB 920210A,318.78,-40.43,,,LGRB,1992/02/10
GRB 920210B,150.97,48.36,,,LGRB,1992/02/10
GRB 920212,38.18999999999999,14.1,,,LGRB,1992/02/12
GRB 920214,39.669999999999995,7.13,,,LGRB,1992/02/14
GRB 920216B,156.91999999999996,1.1700000000000002,,,LGRB,1992/02/16
GRB 920218B,140.41999999999996,52.96,,,LGRB,1992/02/18
GRB 920218C,39.47,27.47,,,LGRB,1992/02/18
GRB 920221,184.14000000000001,48.480000000000004,,,LGRB,1992/02/21
GRB 920224A,169.64999999999998,-66.78,,,LGRB,1992/02/24
GRB 920226B,271.24999999999994,17.46,,,LGRB,1992/02/26
GRB 920227A,68.35999999999999,66.83999999999999,,,LGRB,1992/02/27
GRB 920227B,241.01,10.65,,,LGRB,1992/02/27
GRB 920227C,202.27999999999997,50.559999999999995,,,LGRB,1992/02/27
GRB 920228,147.93999999999997,25.060000000000002,,,LGRB,1992/02/28
GRB 920229A,333.66999999999996,-5.25,,,LGRB,1992/02/29
GRB 920301,344.17999999999995,16.83,,,LGRB,1992/03/01
GRB 920302A,115.27999999999999,-58.919999999999995,,,LGRB,1992/03/02
GRB 920307,355.56999999999994,-45.15,,,LGRB,1992/03/07
GRB 920308A,84.44,65.25,,,LGRB,1992/03/08
GRB 920310,105.84999999999998,-5.91,,,LGRB,1992/03/10
GRB 920318A,254.49999999999994,-26.310000000000002,,,LGRB,1992/03/18
GRB 920323,337.88999999999993,-34.66,,,LGRB,1992/03/23
GRB 920328,315.14,-4.3,,,LGRB,1992/03/28
