event_name,RA_deg,Dec_deg,detection_date_utc,distance_mpc,redshift,Type,fluence_j_m2,notes
ASASSN-22eh,309.405504,-27.565703,2022/03/29,94.796,0.021081,Unknown,9.300362,ASASSN-22eh.json
ASASSN-22ej,149.984304,-31.148272,2022/03/28,170.458,0.037453,Unknown,2.876385,ASASSN-22ej.json
ASASSN-22ep,305.205833,-48.240878,2022/03/26,45.467,0.010194,Candidate,40.428817,ASASSN-22ep.json
AT2020A,5.437554,32.627664,2020/01/01,478.045,0.100534,Candidate,0.365716,AT2020A.json
AT2020aa,178.605417,26.821375,2020/01/01,,,Candidate,,AT2020aa.json
AT2020aaa,190.436033,32.533153,2020/01/04,5.67,0.00128,Candidate,2599.654312,AT2020aaa.json
AT2020aaaa,335.973521,-24.035831,2020/11/08,,,Candidate,,AT2020aaaa.json
AT2020aaab,43.992646,-3.929594,2020/11/08,,,Candidate,,AT2020aaab.json
AT2020aaac,67.881746,17.804808,2020/10/22,,,Candidate,,AT2020aaac.json
AT2020aaad,123.998579,13.392717,2020/10/22,,,Candidate,,AT2020aaad.json
AT2020aaae,61.554367,-16.570894,2020/10/18,,,Candidate,,AT2020aaae.json
AT2020aaaf,355.155167,-15.021347,2020/10/20,,,Candidate,,AT2020aaaf.json
AT2020aaag,275.25925,29.957097,2020/10/24,,,Candidate,,AT2020aaag.json
AT2020aaah,132.015729,37.301025,2020/11/10,,,Candidate,,AT2020aaah.json
AT2020aaai,333.600421,-15.849275,2020/11/08,,,Candidate,,AT2020aaai.json
AT2020aaaj,54.641612,-22.337806,2020/10/23,,,Candidate,,AT2020aaaj.json
AT2020aaak,273.313012,63.827017,2020/10/22,,,Candidate,,AT2020aaak.json
AT2020aaal,272.829946,32.613656,2020/10/24,,,Candidate,,AT2020aaal.json
AT2020aaam,277.892554,70.759997,2020/10/22,,,Candidate,,AT2020aaam.json
AT2020aaan,9.098079,-23.016458,2020/11/03,298.934,0.064431,Candidate,0.935257,AT2020aaan.json
AT2020aaao,340.009521,-15.704961,2020/10/13,,,Candidate,,AT2020aaao.json
AT2020aaap,45.706004,-9.905828,2020/11/08,,,Candidate,,AT2020aaap.json
AT2020aaaq,59.374346,-9.581683,2020/11/05,,,Candidate,,AT2020aaaq.json
AT2020aaar,27.717121,7.015222,2020/10/20,,,Candidate,,AT2020aaar.json
AT2020aaas,28.726671,0.712069,2020/11/10,,,Candidate,,AT2020aaas.json
AT2020aaat,348.478033,-18.405919,2020/11/04,,,Candidate,,AT2020aaat.json
AT2020aaau,150.192629,19.69055,2020/10/23,,,Candidate,,AT2020aaau.json
AT2020aaav,35.810638,31.70595,2020/10/23,,,Candidate,,AT2020aaav.json
AT2020aaaw,145.006992,10.224797,2020/10/20,,,Candidate,,AT2020aaaw.json
AT2020aaax,1.746517,13.233569,2020/11/04,,,Candidate,,AT2020aaax.json
AT2020aaay,133.326337,48.240528,2020/11/14,,,Candidate,,AT2020aaay.json
AT2020aaaz,23.448296,11.165683,2020/11/14,,,Candidate,,AT2020aaaz.json
AT2020aab,139.372021,-9.282922,2020/01/02,,,Candidate,,AT2020aab.json
AT2020aaba,136.996237,31.669386,2020/11/13,,,Candidate,,AT2020aaba.json
AT2020aabb,149.08245,28.198267,2020/11/13,,,Candidate,,AT2020aabb.json
AT2020aabc,136.893462,27.980133,2020/11/13,,,Candidate,,AT2020aabc.json
AT2020aabd,23.273571,8.271497,2020/11/14,,,Candidate,,AT2020aabd.json
AT2020aabe,62.785071,10.606094,2020/11/13,,,Candidate,,AT2020aabe.json
AT2020aabg,305.392283,-7.483075,2020/11/17,,,Candidate,,AT2020aabg.json
AT2020aabi,291.283679,42.163992,2020/11/11,,,Candidate,,AT2020aabi.json
AT2020aabk,63.423929,74.749369,2020/11/15,,,Candidate,,AT2020aabk.json
AT2020aabl,66.051592,73.499028,2020/11/11,,,Candidate,,AT2020aabl.json
AT2020aabn,292.734117,41.207425,2020/11/14,,,Candidate,,AT2020aabn.json
AT2020aabo,291.521171,-1.897539,2020/11/14,,,Candidate,,AT2020aabo.json
AT2020aabp,331.203675,-13.171158,2020/11/11,,,Candidate,,AT2020aabp.json
AT2020aabq,339.987525,-6.230875,2020/11/11,,,Candidate,,AT2020aabq.json
AT2020aabr,13.848646,16.140353,2020/09/23,,,Candidate,,AT2020aabr.json
AT2020aabs,152.923471,38.455647,2020/11/06,,,Candidate,,AT2020aabs.json
AT2020aabt,191.757467,48.764608,2020/11/10,,,Candidate,,AT2020aabt.json
AT2020aabu,295.044567,0.016064,2020/09/16,,,Candidate,,AT2020aabu.json
AT2020aabv,316.92655,-20.683161,2020/11/11,,,Candidate,,AT2020aabv.json
AT2020aabw,101.496825,35.6033,2020/11/12,,,Candidate,,AT2020aabw.json
AT2020aaby,71.320608,7.767872,2020/11/11,,,Candidate,,AT2020aaby.json
AT2020aac,163.099542,21.689217,2020/01/07,,,Candidate,,AT2020aac.json
AT2020aaca,324.314029,9.261819,2020/10/31,,,Candidate,,AT2020aaca.json
AT2020aacb,2.704054,28.135719,2020/11/10,,,Candidate,,AT2020aacb.json
AT2020aacc,37.345304,25.229708,2020/09/28,,,Candidate,,AT2020aacc.json
AT2020aacd,29.6549,31.436819,2020/11/16,,,Candidate,,AT2020aacd.json
AT2020aace,339.600292,-6.941722,2020/11/17,,,Candidate,,AT2020aace.json
AT2020aacf,324.106896,-9.927233,2020/11/17,,,Candidate,,AT2020aacf.json
AT2020aacg,138.994783,30.010247,2020/11/13,,,Candidate,,AT2020aacg.json
AT2020aach,44.160254,28.393392,2020/11/16,,,Candidate,,AT2020aach.json
AT2020aaci,20.686529,30.325017,2020/11/16,,,Candidate,,AT2020aaci.json
AT2020aacj,27.067392,35.274133,2020/10/23,,,Candidate,,AT2020aacj.json
AT2020aack,22.639533,28.012406,2020/11/16,,,Candidate,,AT2020aack.json
AT2020aacl,353.942354,-17.270475,2020/11/16,,,Candidate,,AT2020aacl.json
AT2020aacm,317.575533,13.845042,2020/11/08,,,Candidate,,AT2020aacm.json
AT2020aacn,345.678688,-8.22535,2020/11/10,,,Candidate,,AT2020aacn.json
AT2020aaco,37.101383,30.221936,2020/11/05,,,Candidate,,AT2020aaco.json
AT2020aacp,15.833071,26.371736,2020/11/16,,,Candidate,,AT2020aacp.json
AT2020aacq,359.780721,-12.147725,2020/11/16,,,Candidate,,AT2020aacq.json
AT2020aacr,124.735258,49.160972,2020/11/14,,,Candidate,,AT2020aacr.json
AT2020aacs,19.594862,29.556781,2020/11/16,,,Candidate,,AT2020aacs.json
AT2020aact,25.143008,26.183328,2020/11/16,,,Candidate,,AT2020aact.json
AT2020aacu,28.131692,28.648353,2020/11/16,,,Candidate,,AT2020aacu.json
AT2020aacv,16.088733,25.1285,2020/11/16,,,Candidate,,AT2020aacv.json
AT2020aacw,352.579425,-13.996211,2020/11/16,,,Candidate,,AT2020aacw.json
AT2020aacx,37.256192,27.548597,2020/11/16,,,Candidate,,AT2020aacx.json
AT2020aacz,359.553696,-12.395144,2020/11/16,,,Candidate,,AT2020aacz.json
AT2020aad,142.222271,-6.482522,2020/01/02,,,Candidate,,AT2020aad.json
AT2020aada,50.741021,27.573261,2020/11/16,,,Candidate,,AT2020aada.json
AT2020aadb,46.161888,32.310147,2020/11/16,,,Candidate,,AT2020aadb.json
AT2020aadc,35.314342,33.026169,2020/11/16,,,Candidate,,AT2020aadc.json
AT2020aadd,28.634717,34.858922,2020/11/16,,,Candidate,,AT2020aadd.json
AT2020aade,30.738292,0.523728,2020/11/08,,,Candidate,,AT2020aade.json
AT2020aadf,349.084233,10.595247,2020/11/10,,,Candidate,,AT2020aadf.json
AT2020aadg,74.614725,2.801956,2020/11/10,,,Candidate,,AT2020aadg.json
AT2020aadh,358.977912,11.893661,2020/11/10,,,Candidate,,AT2020aadh.json
AT2020aadi,117.810158,34.412378,2020/11/15,291.116,0.062817,Candidate,0.986165,AT2020aadi.json
AT2020aadj,6.238279,-17.352892,2020/11/03,,,Candidate,,AT2020aadj.json
AT2020aadk,42.0086,30.713067,2020/10/24,,,Candidate,,AT2020aadk.json
AT2020aadl,0.456975,-22.565519,2020/11/08,,,Candidate,,AT2020aadl.json
AT2020aadm,27.916879,29.3464,2020/11/07,,,Candidate,,AT2020aadm.json
AT2020aadn,170.364962,50.798444,2020/11/12,,,Candidate,,AT2020aadn.json
AT2020aado,172.324346,34.219544,2020/11/12,,,Candidate,,AT2020aado.json
AT2020aadp,136.376575,6.313378,2020/11/12,,,Candidate,,AT2020aadp.json
AT2020aadr,180.205054,43.365794,2020/11/12,,,Candidate,,AT2020aadr.json
