Run_Event_ID,Revision,Date_UTC,Time_UTC,Alert_Type,RA_deg,Dec_deg,Error90_arcmin,Error50_arcmin,Energy_TeV,Signalness,FAR_per_year,Notes
134535_41069485,0,20/09/26,22:35:29.22,BRONZE,188.799,32.069,30.8,12.0,121.42,0.43381,1.29,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134533_53384881,1,20/09/26,07:54:11.62,GOLD,96.4599,-4.33,39.6,23.4,670.5,0.44137,0.5363,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134533_53384881,0,20/09/26,07:54:11.62,GOLD,96.5731,-4.2048,30.8,12.0,670.5,0.44137,0.5363,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134512_71996695,1,20/09/21,19:07:12.89,BRONZE,195.2899,26.2399,170.39,64.2,117.17,0.40945,1.5853,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134512_71996695,0,20/09/21,19:07:12.89,BRONZE,195.1971,26.4296,30.8,12.0,117.17,0.40945,1.5853,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134498_12605830,1,20/09/16,20:40:30.95,BRONZE,109.78,14.3599,63.6,34.79,110.48,0.32226,2.4826,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134498_12605830,0,20/09/16,20:40:30.95,BRONZE,109.4019,14.3487,39.35,15.32,110.48,0.32226,2.4826,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134482_27754576,1,20/09/11,14:19:46.23,BRONZE,51.1099,38.1099,296.4,93.6,110.79,0.40813,0.9681,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134482_27754576,0,20/09/11,14:19:46.23,BRONZE,42.17,38.1328,32.58,12.69,110.79,0.40813,0.9681,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134354_59221243,1,20/08/06,13:50:56.43,BRONZE,157.25,47.75,50.99,28.79,107.35,0.39728,0.7921,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134354_59221243,0,20/08/06,13:50:56.43,BRONZE,157.1184,47.7174,30.8,12.0,107.35,0.39728,0.7921,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134327_10548129,0,20/07/28,08:17:51.99,GOLD,117.5554,-24.8475,30.8,12.0,42024.0,0.3931,0.1472,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134207_33533447,1,20/06/20,03:03:32.28,BRONZE,162.11,11.9499,40.8,20.99,113.5,0.32464,2.3206,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134207_33533447,0,20/06/20,03:03:32.28,BRONZE,162.2481,11.9072,30.8,12.0,113.5,0.32464,2.3206,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134191_17593623,1,20/06/15,14:49:17.37,GOLD,142.9499,3.66,73.19,43.19,496.36,0.82832,0.2894,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134191_17593623,0,20/06/15,14:49:17.37,GOLD,143.4519,3.7891,55.21,21.5,496.36,0.82832,0.2894,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134187_72386329,1,20/06/14,12:41:21.41,BRONZE,33.84,31.6099,242.4,141.0,115.05,0.41553,1.4846,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134187_72386329,0,20/06/14,12:41:21.41,BRONZE,28.7043,31.1927,71.45,27.83,115.05,0.41553,1.4846,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134139_35473338,1,20/05/30,07:54:29.43,GOLD,255.37,26.6099,160.19,65.4,82.186,0.5917,1.9521,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134139_35473338,0,20/05/30,07:54:29.43,GOLD,254.3994,27.4596,32.59,12.7,82.186,0.5917,1.9521,"IceCube Gold event. The position error is statistical only, there is no systematic added."
134116_58596690,1,20/05/23,02:30:07.59,BRONZE,338.6399,1.75,333.59,218.4,105.08,0.24998,4.9079,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134116_58596690,0,20/05/23,02:30:07.59,BRONZE,338.9127,2.1494,93.4,36.38,105.08,0.24998,4.9079,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134081_58268464,1,20/05/12,07:31:27.75,BRONZE,295.18,15.7899,97.79,54.0,108.77,0.32159,2.6128,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134081_58268464,0,20/05/12,07:31:27.75,BRONZE,295.4176,15.9766,32.49,12.65,108.77,0.32159,2.6128,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134013_16038252,1,20/04/25,23:26:46.34,BRONZE,100.0999,53.57,178.2,90.6,134.87,0.48106,0.5218,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
134013_16038252,0,20/04/25,23:26:46.34,BRONZE,100.5857,52.648,56.83,22.13,134.87,0.48106,0.5218,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133985_60770138,1,20/04/21,00:35:24.24,BRONZE,87.93,8.23,152.99,89.39,126.97,0.33312,2.7906,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133985_60770138,0,20/04/21,00:35:24.24,BRONZE,89.2549,7.9065,36.65,14.27,126.97,0.33312,2.7906,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133945_24635982,1,20/04/10,23:19:55.48,BRONZE,242.58,11.6099,622.19,390.59,110.0,0.30535,2.5451,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133945_24635982,0,20/04/10,23:19:55.48,BRONZE,241.2657,11.585,31.84,12.4,110.0,0.30535,2.5451,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133781_21701751,0,20/02/27,05:36:31.49,BRONZE,348.2598,21.3235,30.8,12.0,109.5,0.35075,2.3437,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133644_43767651,1,20/01/20,18:48:18.55,BRONZE,67.4599,-14.63,20.4,13.2,6070.2,0.32893,0.3565,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133644_43767651,0,20/01/20,18:48:18.55,BRONZE,67.7381,-14.587,30.8,12.0,6070.2,0.32893,0.3565,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133634_1410505,1,20/01/17,11:08:29.69,BRONZE,116.2399,29.1299,54.6,30.6,108.39,0.3754,1.9258,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133634_1410505,0,20/01/17,11:08:29.69,BRONZE,115.9608,29.3197,30.8,12.0,108.39,0.3754,1.9258,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133609_37927131,1,20/01/09,23:41:39.93,GOLD,164.49,11.8699,174.6,96.6,375.23,0.76931,0.6409,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133609_37927131,0,20/01/09,23:41:39.93,GOLD,165.2663,14.9288,116.57,45.41,375.23,0.76931,0.6409,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133572_82361476,1,20/01/01,11:00:06.07,BRONZE,46.3599,20.42,103.19,75.6,155.38,0.46281,1.5642,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133572_82361476,0,19/12/31,11:00:06.07,BRONZE,48.2727,18.7073,38.05,14.82,155.38,0.46281,1.5642,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133433_29047901,1,19/12/15,11:09:57.63,BRONZE,285.87,58.92,152.4,75.0,132.65,0.4749,0.3374,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133433_29047901,0,19/12/15,11:09:57.63,BRONZE,286.9935,58.3148,47.26,18.41,132.65,0.4749,0.3374,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133394_27261780,1,19/12/04,22:46:11.31,BRONZE,79.7199,2.7999,109.2,59.39,130.2,0.32711,3.2085,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133394_27261780,0,19/12/04,22:46:11.31,BRONZE,79.4003,2.8418,30.8,12.0,130.2,0.32711,3.2085,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133348_80807014,1,19/11/22,22:45:10.49,BRONZE,27.25,-0.04,109.2,65.4,128.44,0.33128,3.0981,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133348_80807014,0,19/11/22,22:45:10.49,BRONZE,28.2526,0.0747,30.8,12.0,128.44,0.33128,3.0981,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
133331_47828126,2,19/11/19,01:01:29.38,GOLD,230.0999,3.1699,220.19,154.19,176.48,0.44999,1.5417,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133331_47828126,1,19/11/19,01:01:29.38,GOLD,230.0999,2.1699,220.19,154.19,176.48,0.44999,1.5417,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133331_47828126,0,19/11/19,01:01:29.38,GOLD,228.668,3.35,35.14,13.69,176.48,0.44999,1.5417,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133119_22683750,1,19/10/01,20:09:18.17,GOLD,314.0799,12.9399,177.0,81.0,217.42,0.58898,0.8578,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133119_22683750,0,19/10/01,20:09:18.17,GOLD,314.355,12.5755,47.2,18.38,217.42,0.58898,0.8578,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133092_52499868,1,19/09/22,23:03:55.56,GOLD,5.7599,-1.57,64.8,36.59,187.37,0.50501,1.3265,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133091_81419,1,19/09/22,09:42:45.62,GOLD,167.43,-22.39,177.0,101.39,3113.9,0.20165,0.2262,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133092_52499868,0,19/09/22,23:03:55.56,GOLD,6.0049,-1.4881,38.02,14.81,187.37,0.50501,1.3265,"IceCube Gold event. The position error is statistical only, there is no systematic added."
133091_81419,0,19/09/22,09:42:45.62,GOLD,166.9361,-24.5066,199.9,77.87,3113.9,0.20165,0.2262,"IceCube Gold event. The position error is statistical only, there is no systematic added."
132974_67924813,0,19/08/19,17:34:24.23,BRONZE,148.807,0.9571,30.8,12.0,113.16,0.29215,3.8699,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132910_57145925,1,19/07/30,20:50:41.31,GOLD,225.7899,10.47,71.1,39.74,298.81,0.67158,0.677,"IceCube Gold event. The position error is statistical only, there is no systematic added."
132910_57145925,0,19/07/30,20:50:41.31,GOLD,226.8302,10.5078,45.31,17.65,298.81,0.67158,0.677,"IceCube Gold event. The position error is statistical only, there is no systematic added."
132814_44222682,1,19/07/12,01:15:17.38,BRONZE,76.4599,13.06,297.59,182.4,108.67,0.30332,2.623,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132814_44222682,0,19/07/12,01:15:17.38,BRONZE,78.8869,12.4438,117.35,45.71,108.67,0.30332,2.623,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132792_60166398,1,19/07/04,18:48:52.25,BRONZE,161.8499,27.1099,151.79,90.6,154.99,0.48607,0.9984,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132792_60166398,0,19/07/04,18:48:52.25,BRONZE,161.408,27.419,51.0,19.87,154.99,0.48607,0.9984,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132768_5390846,1,19/06/29,19:24:15.12,BRONZE,27.2199,84.3299,242.4,186.59,107.67,0.33892,0.6417,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132768_5390846,0,19/06/29,19:24:15.12,BRONZE,25.6392,84.5382,114.81,44.72,107.67,0.33892,0.6417,"IceCube Bronze event. The position error is statistical only, there is no systematic added."
132707_54984442,1,19/06/19,13:14:18.04,GOLD,343.2599,10.73,162.59,97.79,198.7,0.54551,0.9829,"IceCube Gold event. The position error is statistical only, there is no systematic added."
132707_54984442,0,19/06/19,13:14:18.04,GOLD,342.7772,10.0547,40.28,15.69,198.7,0.54551,0.9829,"IceCube Gold event. The position error is statistical only, there is no systematic added."
