# Data for different parent isotopes separated by empty lines
# Column values are:
# [1] - neutrino energy (MeV)
# [2] - capture luminosity (1/MeV/s)
# [3] - decay luminosity (1/MeV/s)


#	h1-->neut	tau_cc (hr) = 0.0057843
#	energy (MeV)	capture (MeV^-1 s^-1)	decay (MeV^-1 s^-1)
0.00	0.00000000e+00	0.00000000e+00
0.10	4.18321901e+49	0.00000000e+00
0.20	1.62918070e+50	0.00000000e+00
0.30	3.55093820e+50	0.00000000e+00
0.40	6.08320640e+50	0.00000000e+00
0.50	9.11108746e+50	0.00000000e+00
0.60	1.25108149e+51	0.00000000e+00
0.70	1.61557299e+51	0.00000000e+00
0.80	1.99217398e+51	0.00000000e+00
0.90	2.36917701e+51	0.00000000e+00
1.00	2.73590626e+51	0.00000000e+00
1.10	3.08294119e+51	0.00000000e+00
1.20	3.40225431e+51	0.00000000e+00
1.30	3.68728489e+51	0.00000000e+00
1.40	3.93296537e+51	0.00000000e+00
1.50	4.13571124e+51	0.00000000e+00
1.60	4.29337937e+51	0.00000000e+00
1.70	4.40519589e+51	0.00000000e+00
1.80	4.47165396e+51	0.00000000e+00
1.90	4.49438208e+51	0.00000000e+00
2.00	4.47598547e+51	0.00000000e+00
2.10	4.41986651e+51	0.00000000e+00
2.20	4.33003060e+51	0.00000000e+00
2.30	4.21088818e+51	0.00000000e+00
2.40	4.06706177e+51	0.00000000e+00
2.50	3.90320789e+51	0.00000000e+00
2.60	3.72386212e+51	0.00000000e+00
2.70	3.53331164e+51	0.00000000e+00
2.80	3.33549943e+51	0.00000000e+00
2.90	3.13395896e+51	0.00000000e+00
3.00	2.93177786e+51	0.00000000e+00
3.10	2.73158638e+51	0.00000000e+00
3.20	2.53556613e+51	0.00000000e+00
3.30	2.34547378e+51	0.00000000e+00
3.40	2.16267526e+51	0.00000000e+00
3.50	1.98818618e+51	0.00000000e+00
3.60	1.82271512e+51	0.00000000e+00
3.70	1.66670697e+51	0.00000000e+00
3.80	1.52038469e+51	0.00000000e+00
3.90	1.38378818e+51	0.00000000e+00
4.00	1.25680941e+51	0.00000000e+00
4.10	1.13922359e+51	0.00000000e+00
4.20	1.03071641e+51	0.00000000e+00
4.30	9.30907204e+50	0.00000000e+00
4.40	8.39368660e+50	0.00000000e+00
4.50	7.55643166e+50	0.00000000e+00
4.60	6.79256173e+50	0.00000000e+00
4.70	6.09727097e+50	0.00000000e+00
4.80	5.46577897e+50	0.00000000e+00
4.90	4.89339811e+50	0.00000000e+00
5.00	4.37558449e+50	0.00000000e+00
5.10	3.90797604e+50	0.00000000e+00
5.20	3.48641880e+50	0.00000000e+00
5.30	3.10698443e+50	0.00000000e+00
5.40	2.76598039e+50	0.00000000e+00
5.50	2.45995424e+50	0.00000000e+00
5.60	2.18569288e+50	0.00000000e+00
5.70	1.94021867e+50	0.00000000e+00
5.80	1.72078251e+50	0.00000000e+00
5.90	1.52485489e+50	0.00000000e+00
6.00	1.35011571e+50	0.00000000e+00
6.10	1.19444291e+50	0.00000000e+00
6.20	1.05590069e+50	0.00000000e+00
6.30	9.32727470e+49	0.00000000e+00
6.40	8.23323793e+49	0.00000000e+00
6.50	7.26240467e+49	0.00000000e+00
6.60	6.40167034e+49	0.00000000e+00
6.70	5.63920669e+49	0.00000000e+00
6.80	4.96435604e+49	0.00000000e+00
6.90	4.36753105e+49	0.00000000e+00
7.00	3.84012062e+49	0.00000000e+00
