progenitor_mass,phase,hierarchy,flavor,total_energy_J,fluence_J_m2_@10kpc,bruno_trigger
m12,pre-collapse,NH,nueb,7.741292846518328e+32,6.468622235415398e-10,False
m15,pre-collapse,NH,nueb,1.0599673803423082e+33,8.857084599739708e-10,False
